fold_name,shuffled,alpha,fold,val_mse,control
holdout_sample_i,False,1000.0,single_train_run,,real
holdout_sample_i,True,1000.0,single_train_run,,shuffled
holdout_sample_ii,False,10.0,1,0.018844440743854888,real
holdout_sample_ii,False,10.0,2,0.040119884167746866,real
holdout_sample_ii,False,10.0,3,0.07470883293504531,real
holdout_sample_ii,False,10.0,4,0.07525496091877251,real
holdout_sample_ii,False,10.0,5,0.08878865529972331,real
holdout_sample_ii,False,10.0,mean,0.05954335481302858,real
holdout_sample_ii,False,30.0,1,0.018844312744055076,real
holdout_sample_ii,False,30.0,2,0.040119987002689615,real
holdout_sample_ii,False,30.0,3,0.07471060219748335,real
holdout_sample_ii,False,30.0,4,0.07525804390643041,real
holdout_sample_ii,False,30.0,5,0.08878945386015707,real
holdout_sample_ii,False,30.0,mean,0.05954447994216311,real
holdout_sample_ii,False,100.0,1,0.018843933429779084,real
holdout_sample_ii,False,100.0,2,0.04012044761993781,real
holdout_sample_ii,False,100.0,3,0.07471692899262031,real
holdout_sample_ii,False,100.0,4,0.07526891819065326,real
holdout_sample_ii,False,100.0,5,0.08879244209675408,real
holdout_sample_ii,False,100.0,mean,0.05954853406594891,real
holdout_sample_ii,False,300.0,1,0.018843406197125462,real
holdout_sample_ii,False,300.0,2,0.0401225753057346,real
holdout_sample_ii,False,300.0,3,0.07473610923477415,real
holdout_sample_ii,False,300.0,4,0.07530065963327208,real
holdout_sample_ii,False,300.0,5,0.08880255567520134,real
holdout_sample_ii,False,300.0,mean,0.059561061209221534,real
holdout_sample_ii,False,1000.0,1,0.0188468997366549,real
holdout_sample_ii,False,1000.0,2,0.04013796278085518,real
holdout_sample_ii,False,1000.0,3,0.07481392644566326,real
holdout_sample_ii,False,1000.0,4,0.07541795370104458,real
holdout_sample_ii,False,1000.0,5,0.08885338555713262,real
holdout_sample_ii,False,1000.0,mean,0.05961402564427011,real
holdout_sample_ii,False,3000.0,1,0.01888370854362063,real
holdout_sample_ii,False,3000.0,2,0.0402239390530619,real
holdout_sample_ii,False,3000.0,3,0.0750909212144727,real
holdout_sample_ii,False,3000.0,4,0.07577953618365893,real
holdout_sample_ii,False,3000.0,5,0.08908160726667902,real
holdout_sample_ii,False,3000.0,mean,0.059811942452298636,real
holdout_sample_ii,True,10.0,1,0.020853249104178812,shuffled
holdout_sample_ii,True,10.0,2,0.05496106792424784,shuffled
holdout_sample_ii,True,10.0,3,0.07814958959806328,shuffled
holdout_sample_ii,True,10.0,4,0.07310404899956004,shuffled
holdout_sample_ii,True,10.0,5,0.10577248671142467,shuffled
holdout_sample_ii,True,10.0,mean,0.06656808846749493,shuffled
holdout_sample_ii,True,30.0,1,0.020854884158218255,shuffled
holdout_sample_ii,True,30.0,2,0.054964347720960365,shuffled
holdout_sample_ii,True,30.0,3,0.07815417689122721,shuffled
holdout_sample_ii,True,30.0,4,0.07310836883350692,shuffled
holdout_sample_ii,True,30.0,5,0.10577877387398935,shuffled
holdout_sample_ii,True,30.0,mean,0.06657211029558041,shuffled
holdout_sample_ii,True,100.0,1,0.020860580092251065,shuffled
holdout_sample_ii,True,100.0,2,0.054975775647560454,shuffled
holdout_sample_ii,True,100.0,3,0.07817016800859257,shuffled
holdout_sample_ii,True,100.0,4,0.07312341525531699,shuffled
holdout_sample_ii,True,100.0,5,0.10580067968549206,shuffled
holdout_sample_ii,True,100.0,mean,0.06658612373784263,shuffled
holdout_sample_ii,True,300.0,1,0.02087663002404713,shuffled
holdout_sample_ii,True,300.0,2,0.05500798859287797,shuffled
holdout_sample_ii,True,300.0,3,0.07821530554248733,shuffled
holdout_sample_ii,True,300.0,4,0.07316578574134715,shuffled
holdout_sample_ii,True,300.0,5,0.10586242617548508,shuffled
holdout_sample_ii,True,300.0,mean,0.06662562721524892,shuffled
holdout_sample_ii,True,1000.0,1,0.02093031856772151,shuffled
holdout_sample_ii,True,1000.0,2,0.0551158579879809,shuffled
holdout_sample_ii,True,1000.0,3,0.07836713018265154,shuffled
holdout_sample_ii,True,1000.0,4,0.07330732367472673,shuffled
holdout_sample_ii,True,1000.0,5,0.1060692369372641,shuffled
holdout_sample_ii,True,1000.0,mean,0.06675797347006895,shuffled
holdout_sample_ii,True,3000.0,1,0.02106535745154526,shuffled
holdout_sample_ii,True,3000.0,2,0.05538823245918735,shuffled
holdout_sample_ii,True,3000.0,3,0.07875510860523888,shuffled
holdout_sample_ii,True,3000.0,4,0.07366369241224757,shuffled
holdout_sample_ii,True,3000.0,5,0.10659272712356657,shuffled
holdout_sample_ii,True,3000.0,mean,0.06709302361035713,shuffled
