fold,subgroup_type,subgroup,stave,n_runs,n_pulses,empirical_mse,mean_template_mse,conditional_mse,shuffled_conditional_mse,delta_conditional_minus_empirical,delta_conditional_minus_mean,delta_conditional_minus_shuffled,empirical_mse_ci,mean_template_mse_ci,conditional_mse_ci,shuffled_conditional_mse_ci,delta_conditional_minus_empirical_ci,delta_conditional_minus_mean_ci,delta_conditional_minus_shuffled_ci,ci_note,claimable_run_bootstrap_ci,point_ml_beats_empirical,point_real_beats_shuffled,negative_controls_pass_for_win,ml_win_after_controls
holdout_sample_i,stave,B2,B2,14,241422,0.04937221555198694,0.07632421576127688,0.056014428515540386,0.07533012929035805,0.006642212963553434,-0.020309787245736493,-0.019315700774817663,"[0.0343515021902785, 0.06555740414951662]","[0.0588607425318856, 0.09600904472054149]","[0.04045523721575452, 0.07308557764706572]","[0.05832667878943864, 0.09445676749248506]","[0.005700868551813456, 0.007600555490767469]","[-0.0226782550886684, -0.01801740469518385]","[-0.021131570394549964, -0.017584894414714166]",run-block bootstrap over held-out runs,True,False,True,True,False
holdout_sample_i,stave,B4,B4,14,6451,0.02864030189220898,0.20488118622582313,0.19507443459620274,0.18825154591795598,0.16643413270399376,-0.009806751629620372,0.006822888678246761,"[0.023095399465410487, 0.03396200783092459]","[0.18754559551723068, 0.2217328936805576]","[0.1813815041194592, 0.20982738360301448]","[0.17217669287602, 0.2036851687686351]","[0.1530438108927845, 0.17957978601704344]","[-0.01406485281163597, -0.0036358314987044458]","[0.0021621975701750225, 0.012707549006588886]",run-block bootstrap over held-out runs,True,False,False,False,False
holdout_sample_i,stave,B6,B6,14,3094,0.01790174017735387,0.13396743599758146,0.12784071623120438,0.1340736635909606,0.10993897605385053,-0.00612671976637705,-0.0062329473597562,"[0.01391992598505471, 0.022066356782797954]","[0.11075800241154511, 0.15187259890880597]","[0.10491593327766482, 0.1453852470392662]","[0.11076056031287018, 0.15206767262319584]","[0.08994055322127584, 0.12555991891310822]","[-0.008681782170178521, -0.003900884331180309]","[-0.008895267548481973, -0.00407071701234026]",run-block bootstrap over held-out runs,True,False,True,True,False
holdout_sample_i,stave,B8,B8,14,1299,0.02685198334103519,0.17072983566322034,0.1567694852507768,0.15392732232437284,0.1299175019097416,-0.013960350412443534,0.002842162926403941,"[0.016745978864831312, 0.03911924142201585]","[0.1350023824631196, 0.20220200523023887]","[0.12343252897048623, 0.18698631418441225]","[0.12207347651862063, 0.1817728283542364]","[0.10075982704988641, 0.15835404307103085]","[-0.017563412914684474, -0.00996008202438122]","[-0.0006599641692634393, 0.006343332600075974]",run-block bootstrap over held-out runs,True,False,False,False,False
holdout_sample_ii,stave,B2,B2,7,88213,0.04439498739750796,0.0945149352081178,0.06562407375467146,0.08522354755350856,0.021229086357163498,-0.028890861453446343,-0.01959947379883711,"[0.03184899165375189, 0.05328319762779047]","[0.07430276325267557, 0.10905801768885126]","[0.05319483315652406, 0.07412241047111225]","[0.06648669116954399, 0.09890202352987396]","[0.018651373803276756, 0.02386686124452903]","[-0.035880845399095404, -0.020765258234722576]","[-0.02571042723594067, -0.012745936500957952]",run-block bootstrap over held-out runs,True,False,True,True,False
holdout_sample_ii,stave,B4,B4,7,21229,0.034178814498520796,0.11534709111764216,0.10220542651875787,0.1217333924366711,0.06802661202023708,-0.013141664598884283,-0.019527965917913222,"[0.028071273225203315, 0.04122360641621205]","[0.0835385697048652, 0.15742093059912188]","[0.07097205799301635, 0.14271451375224495]","[0.09491887285494914, 0.15766374279608666]","[0.038626231950993725, 0.10639243531558858]","[-0.015047486669112273, -0.011258947976770128]","[-0.02488521296193385, -0.01331890879401458]",run-block bootstrap over held-out runs,True,False,True,True,False
holdout_sample_ii,stave,B6,B6,7,11148,0.024344414946275202,0.09198972454251732,0.09391032336776517,0.10678760605181606,0.06956590842148996,0.0019205988252478617,-0.012877282684050891,"[0.01916170640998127, 0.0297016169567265]","[0.07017139949436833, 0.11866707722608999]","[0.07117432057652201, 0.12203962346125102]","[0.0886121021290044, 0.12906039991483054]","[0.043591570421643785, 0.10172553088426868]","[-0.00019933197889116755, 0.004517847324399323]","[-0.018117856664571948, -0.006454895424211604]",run-block bootstrap over held-out runs,True,False,True,True,False
holdout_sample_ii,stave,B8,B8,7,4506,0.025357182899834806,0.10261071504264274,0.10529337977647306,0.10743218559507639,0.07993619687663826,0.0026826647338303333,-0.00213880581860332,"[0.017459827819639635, 0.03231121027517867]","[0.0777184646728023, 0.13306542450395392]","[0.0797880737579148, 0.13564834562278208]","[0.08817623610449896, 0.1318804777722722]","[0.04885451770430407, 0.11448307628840511]","[0.0015122056990028979, 0.003946418483011209]","[-0.008346034789056586, 0.004935392474985116]",run-block bootstrap over held-out runs,True,False,True,False,False
