fold,subgroup_type,subgroup,n_runs,n_pulses,empirical_mse,mean_template_mse,conditional_mse,shuffled_conditional_mse,delta_conditional_minus_empirical,delta_conditional_minus_mean,delta_conditional_minus_shuffled,empirical_mse_ci,mean_template_mse_ci,conditional_mse_ci,shuffled_conditional_mse_ci,delta_conditional_minus_empirical_ci,delta_conditional_minus_mean_ci,delta_conditional_minus_shuffled_ci,ci_note,claimable_run_bootstrap_ci,point_ml_beats_empirical,point_real_beats_shuffled,negative_controls_pass_for_win,ml_win_after_controls
holdout_sample_i,global,all,14,252266,0.047782082970732505,0.08059617790230902,0.06079685235915584,0.07912054417756324,0.013014769388423343,-0.019799325543153185,-0.0183236918184074,"[0.03313297745746242, 0.06307306552052015]","[0.06241917545491713, 0.10032182423378107]","[0.04438895778451854, 0.07825507335325572]","[0.06151005181748915, 0.09821615905099051]","[0.010679917724669204, 0.015280949683401308]","[-0.021958429596715217, -0.01768296370504964]","[-0.019893688023460976, -0.01674388397220774]",run-block bootstrap over held-out runs,True,False,True,True,False
holdout_sample_ii,global,all,7,125096,0.038992194449586605,0.08964995356958542,0.06829568234117922,0.08657693412966282,0.02930348789159262,-0.02135427122840621,-0.01828125178848358,"[0.028947572056155335, 0.04578191951735234]","[0.07507280664103329, 0.10014621110747866]","[0.05802895666328894, 0.07561569145317151]","[0.07083945023264078, 0.0979905864723001]","[0.026338185718751603, 0.03231978157956401]","[-0.024815915033975917, -0.01672842532968147]","[-0.023590608272268592, -0.011469454974835746]",run-block bootstrap over held-out runs,True,False,True,True,False
