fold,subgroup_type,subgroup,run,n_runs,n_pulses,empirical_mse,mean_template_mse,conditional_mse,shuffled_conditional_mse,empirical_mse_ci,mean_template_mse_ci,conditional_mse_ci,shuffled_conditional_mse_ci,delta_conditional_minus_empirical,delta_conditional_minus_mean,delta_conditional_minus_shuffled,delta_conditional_minus_empirical_ci,delta_conditional_minus_mean_ci,delta_conditional_minus_shuffled_ci,ci_note,claimable_run_bootstrap_ci,point_ml_beats_empirical,point_real_beats_shuffled,negative_controls_pass_for_win,ml_win_after_controls
holdout_sample_i,run,run_44,44,1,2038,0.07704352378603631,0.1216934771987101,0.09713161977693462,0.1187004570765277,"[0.07704352378603631, 0.07704352378603631]","[0.1216934771987101, 0.1216934771987101]","[0.09713161977693462, 0.09713161977693462]","[0.1187004570765277, 0.1187004570765277]",0.020088095990898308,-0.024561857421775482,-0.02156883729959308,"[0.020088095990898308, 0.020088095990898308]","[-0.024561857421775482, -0.024561857421775482]","[-0.02156883729959308, -0.02156883729959308]",single held-out run; CI collapses to point estimate,False,False,True,True,False
holdout_sample_i,run,run_45,45,1,24333,0.08988543596692436,0.13364875838592713,0.10745321180697062,0.13057366715074759,"[0.08988543596692436, 0.08988543596692436]","[0.13364875838592713, 0.13364875838592713]","[0.10745321180697062, 0.10745321180697062]","[0.13057366715074759, 0.13057366715074759]",0.017567775840046262,-0.026195546578956508,-0.023120455343776963,"[0.017567775840046262, 0.017567775840046262]","[-0.026195546578956508, -0.026195546578956508]","[-0.023120455343776963, -0.023120455343776963]",single held-out run; CI collapses to point estimate,False,False,True,True,False
holdout_sample_i,run,run_46,46,1,687,0.03232131334341261,0.05132278590332703,0.0380606265364334,0.051230782095226,"[0.03232131334341261, 0.03232131334341261]","[0.05132278590332703, 0.05132278590332703]","[0.0380606265364334, 0.0380606265364334]","[0.051230782095226, 0.051230782095226]",0.00573931319302079,-0.013262159366893629,-0.013170155558792605,"[0.00573931319302079, 0.00573931319302079]","[-0.013262159366893629, -0.013262159366893629]","[-0.013170155558792605, -0.013170155558792605]",single held-out run; CI collapses to point estimate,False,False,True,True,False
holdout_sample_i,run,run_47,47,1,5276,0.044010088123425675,0.06505789596076457,0.05023417625823491,0.06467449128625608,"[0.044010088123425675, 0.044010088123425675]","[0.06505789596076457, 0.06505789596076457]","[0.05023417625823491, 0.05023417625823491]","[0.06467449128625608, 0.06467449128625608]",0.006224088134809236,-0.014823719702529659,-0.014440315028021164,"[0.006224088134809236, 0.006224088134809236]","[-0.014823719702529659, -0.014823719702529659]","[-0.014440315028021164, -0.014440315028021164]",single held-out run; CI collapses to point estimate,False,False,True,True,False
holdout_sample_i,run,run_48,48,1,14000,0.08244446975172921,0.12441719749883731,0.10004203821984485,0.12157280012111399,"[0.08244446975172921, 0.08244446975172921]","[0.12441719749883731, 0.12441719749883731]","[0.10004203821984485, 0.10004203821984485]","[0.12157280012111399, 0.12157280012111399]",0.017597568468115637,-0.02437515927899246,-0.021530761901269138,"[0.017597568468115637, 0.017597568468115637]","[-0.02437515927899246, -0.02437515927899246]","[-0.021530761901269138, -0.021530761901269138]",single held-out run; CI collapses to point estimate,False,False,True,True,False
holdout_sample_i,run,run_49,49,1,14815,0.08486611079015942,0.12610523407174135,0.1013303794682791,0.12321357787355967,"[0.08486611079015942, 0.08486611079015942]","[0.12610523407174135, 0.12610523407174135]","[0.1013303794682791, 0.1013303794682791]","[0.12321357787355967, 0.12321357787355967]",0.016464268678119676,-0.02477485460346225,-0.02188319840528058,"[0.016464268678119676, 0.016464268678119676]","[-0.02477485460346225, -0.02477485460346225]","[-0.02188319840528058, -0.02188319840528058]",single held-out run; CI collapses to point estimate,False,False,True,True,False
holdout_sample_i,run,run_50,50,1,35217,0.02335620342609867,0.05150031247201971,0.03447533051301804,0.050710967530789734,"[0.02335620342609867, 0.02335620342609867]","[0.05150031247201971, 0.05150031247201971]","[0.03447533051301804, 0.03447533051301804]","[0.050710967530789734, 0.050710967530789734]",0.011119127086919374,-0.017024981959001664,-0.01623563701777169,"[0.011119127086919374, 0.011119127086919374]","[-0.017024981959001664, -0.017024981959001664]","[-0.01623563701777169, -0.01623563701777169]",single held-out run; CI collapses to point estimate,False,False,True,True,False
holdout_sample_i,run,run_51,51,1,14740,0.028319881993053155,0.05845790940012071,0.040348557882128225,0.05748842115923476,"[0.028319881993053155, 0.028319881993053155]","[0.05845790940012071, 0.05845790940012071]","[0.040348557882128225, 0.040348557882128225]","[0.05748842115923476, 0.05748842115923476]",0.01202867588907507,-0.018109351517992485,-0.017139863277106537,"[0.01202867588907507, 0.01202867588907507]","[-0.018109351517992485, -0.018109351517992485]","[-0.017139863277106537, -0.017139863277106537]",single held-out run; CI collapses to point estimate,False,False,True,True,False
holdout_sample_i,run,run_52,52,1,7152,0.03169287759263304,0.06032629630791301,0.041902414816314244,0.05938753253451256,"[0.03169287759263304, 0.03169287759263304]","[0.06032629630791301, 0.06032629630791301]","[0.041902414816314244, 0.041902414816314244]","[0.05938753253451256, 0.05938753253451256]",0.010209537223681203,-0.018423881491598765,-0.017485117718198315,"[0.010209537223681203, 0.010209537223681203]","[-0.018423881491598765, -0.018423881491598765]","[-0.017485117718198315, -0.017485117718198315]",single held-out run; CI collapses to point estimate,False,False,True,True,False
holdout_sample_i,run,run_53,53,1,32200,0.0200396414135497,0.048736706759884126,0.030649192863517888,0.048200111704152074,"[0.0200396414135497, 0.0200396414135497]","[0.048736706759884126, 0.048736706759884126]","[0.030649192863517888, 0.030649192863517888]","[0.048200111704152074, 0.048200111704152074]",0.01060955144996819,-0.018087513896366238,-0.017550918840634186,"[0.01060955144996819, 0.01060955144996819]","[-0.018087513896366238, -0.018087513896366238]","[-0.017550918840634186, -0.017550918840634186]",single held-out run; CI collapses to point estimate,False,False,True,True,False
