template_id,amp_bin,shape,amp_low,amp_high,amp_center,late_fraction_center,n_train_pulses,template_cfd20_sample,template_peak_sample,template_area,fallback_used
B2:amp0:fast_tail,0,fast_tail,1504.0,3141.01,2545.5,0.39182261913748234,147,1.881820007436486,6,7.116351392282039,False
B2:amp0:balanced,0,balanced,1504.0,3141.01,2343.0,0.6715331830475959,82,4.270374061835001,7,7.366167573726492,False
B2:amp0:slow_tail,0,slow_tail,1504.0,3141.01,2724.5,0.820895277963853,134,5.3483249435570865,8,7.393577474263721,False
B2:amp1:fast_tail,1,fast_tail,3141.01,4237.17,3546.0,0.4385765628577783,91,1.4561224031113067,5,9.4779509868143,False
B2:amp1:balanced,1,balanced,3141.01,4237.17,3713.5,0.6804547362986023,123,4.056427412596592,7,8.770213619435394,False
B2:amp1:slow_tail,1,slow_tail,3141.01,4237.17,3601.5,0.8435707976929119,149,5.414601781272598,8,8.499431283887668,False
B2:amp2:fast_tail,2,fast_tail,4237.17,9584.5,6111.5,0.5491853041426381,125,2.8983294999682263,5,8.706920070913528,False
B2:amp2:balanced,2,balanced,4237.17,9584.5,5299.0,0.67118844020235,158,3.9672700150428866,6,9.245062001481886,False
B2:amp2:slow_tail,2,slow_tail,4237.17,9584.5,5211.5,0.8198206563192504,91,5.242072063606142,7,8.977773220883327,False
B4:amp0:fast_tail,0,fast_tail,1501.0,2702.335,2211.0,0.15186939589441437,161,0.0,3,8.09701767288401,False
B4:amp0:balanced,0,balanced,1501.0,2702.335,2319.0,0.7378538201274998,79,4.708415137720634,8,7.4939160071647795,False
B4:amp0:slow_tail,0,slow_tail,1501.0,2702.335,2207.0,0.8867373620623326,123,5.943110021332694,9,7.288943175603629,False
B4:amp1:fast_tail,1,fast_tail,2702.335,3422.54,2989.75,0.3232800023117957,118,0.8496657442548752,5,8.895393987190163,False
B4:amp1:balanced,1,balanced,2702.335,3422.54,3067.75,0.7453723282465541,120,4.652738902130009,7,8.504250252469662,False
B4:amp1:slow_tail,1,slow_tail,2702.335,3422.54,3006.0,0.8808722357403019,125,5.7360627307468315,10,8.432251278007683,False
B4:amp2:fast_tail,2,fast_tail,3422.54,8759.0,4190.0,0.4440994941937364,84,1.0792177827331355,4,10.435010061066516,False
B4:amp2:balanced,2,balanced,3422.54,8759.0,4178.5,0.722900921614849,164,4.354774818448654,7,9.341888701896913,False
B4:amp2:slow_tail,2,slow_tail,3422.54,8759.0,3990.5,0.8972754110335817,126,5.897540488561213,8,9.12698768504219,False
B6:amp0:fast_tail,0,fast_tail,1500.0,2532.885,2008.0,0.14441622700940906,149,0.0,2,7.377652449353626,False
B6:amp0:balanced,0,balanced,1500.0,2532.885,2100.0,0.832047011223725,92,5.41367318164678,9,7.139641155546541,False
B6:amp0:slow_tail,0,slow_tail,1500.0,2532.885,2155.25,0.9747224670977265,112,7.087922004559969,10,6.861423749970793,False
B6:amp1:fast_tail,1,fast_tail,2532.885,3204.11,2888.0,0.26426394339255954,109,0.5898358220580832,4,8.093686319624924,False
B6:amp1:balanced,1,balanced,2532.885,3204.11,2870.0,0.8199111733078032,117,5.372555030909653,8,7.64325410372145,False
B6:amp1:slow_tail,1,slow_tail,2532.885,3204.11,2807.75,0.9756833532173192,126,7.074857182253188,10,7.182654410823044,False
B6:amp2:fast_tail,2,fast_tail,3204.11,7291.0,3836.0,0.41580267461623716,95,1.0822976730278682,4,9.979377593446344,False
B6:amp2:balanced,2,balanced,3204.11,7291.0,3982.5,0.8117004071181776,143,5.226637081334558,8,8.804786342995923,False
B6:amp2:slow_tail,2,slow_tail,3204.11,7291.0,3742.5,0.9716760676684778,125,6.907842313141584,9,8.134994839521015,False
B8:amp0:fast_tail,0,fast_tail,1521.5,3008.75,2413.0,0.19249932476623896,133,0.0,3,8.503699894578679,False
B8:amp0:balanced,0,balanced,1521.5,3008.75,2717.0,0.8585225302053189,74,5.577684012755744,9,7.653893225039337,False
B8:amp0:slow_tail,0,slow_tail,1521.5,3008.75,2650.0,0.9768148984094573,107,7.100390678435008,10,7.3131474573995545,False
B8:amp1:fast_tail,1,fast_tail,3008.75,3776.0,3340.5,0.40536471505771143,80,1.0925784525703828,6,9.866330149796216,False
B8:amp1:balanced,1,balanced,3008.75,3776.0,3318.0,0.8285882149405471,107,5.252281759291324,8,8.88100681453076,False
B8:amp1:slow_tail,1,slow_tail,3008.75,3776.0,3329.0,0.976923260200818,126,7.026352765406372,9,8.273928407632829,False
B8:amp2:fast_tail,2,fast_tail,3776.0,7091.5,4457.0,0.4556675091320513,101,1.0220904564637108,4,11.357112394885089,False
B8:amp2:balanced,2,balanced,3776.0,7091.5,4538.25,0.8170367478214184,132,5.253308756554418,8,9.041456254548548,False
B8:amp2:slow_tail,2,slow_tail,3776.0,7091.5,4274.5,0.9726765143774933,91,6.953336301490867,9,8.210451429287069,False
