method,heldout_run,scale,groups,feature_count,feature_mode,shuffle_target,gated
traditional,58,1.0,199.0,,,,
traditional,59,0.9999999999999999,195.0,,,,
traditional,60,1.0,182.0,,,,
traditional,61,1.0000000000000002,184.0,,,,
traditional,62,1.0,188.0,,,,
traditional,63,1.0,195.0,,,,
traditional,65,1.0,198.0,,,,
ridge,58,1.02357201191697,,70.0,full,False,
ridge,59,1.0072904328459573,,70.0,full,False,
ridge,60,1.0225382164795462,,70.0,full,False,
ridge,61,1.0421361232890218,,70.0,full,False,
ridge,62,1.0161421214163544,,70.0,full,False,
ridge,63,1.0144516036323652,,70.0,full,False,
ridge,65,1.021221517115287,,70.0,full,False,
gradient_boosted_trees,58,0.9966049224002994,,70.0,full,False,
gradient_boosted_trees,59,1.0027599796128244,,70.0,full,False,
gradient_boosted_trees,60,0.9933337929442949,,70.0,full,False,
gradient_boosted_trees,61,0.9957726228137458,,70.0,full,False,
gradient_boosted_trees,62,0.9829965138940195,,70.0,full,False,
gradient_boosted_trees,63,0.9889779935760277,,70.0,full,False,
gradient_boosted_trees,65,1.0003280083750952,,70.0,full,False,
mlp,58,1.0394405761251857,,70.0,full,False,
mlp,59,1.0246556603386852,,70.0,full,False,
mlp,60,1.0308785241790663,,70.0,full,False,
mlp,61,1.054828671962688,,70.0,full,False,
mlp,62,1.003868592826639,,70.0,full,False,
mlp,63,1.03085636906437,,70.0,full,False,
mlp,65,1.017367456774375,,70.0,full,False,
cnn1d,58,0.8620248218623451,,70.0,,,False
cnn1d,59,0.9481457169283733,,70.0,,,False
cnn1d,60,0.8491477776966605,,70.0,,,False
cnn1d,61,0.8965079151227282,,70.0,,,False
cnn1d,62,0.9083275718538937,,70.0,,,False
cnn1d,63,0.8494059115635666,,70.0,,,False
cnn1d,65,0.9075939952892998,,70.0,,,False
phase_conformal_gated_cnn,58,0.9397511323937802,,70.0,,,True
phase_conformal_gated_cnn,59,0.9153547853775819,,70.0,,,True
phase_conformal_gated_cnn,60,1.0123991840098745,,70.0,,,True
phase_conformal_gated_cnn,61,0.9364481015791593,,70.0,,,True
phase_conformal_gated_cnn,62,0.900205366079045,,70.0,,,True
phase_conformal_gated_cnn,63,0.9525765044981603,,70.0,,,True
phase_conformal_gated_cnn,65,0.8999832029520269,,70.0,,,True
