dimension,stratum,method,method_label,n,bias_ns,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,pull_width68,coverage68,coverage95,coverage68_error,coverage95_error,calibration_ece,calibration_loss,sigma68_ci_low_ns,sigma68_ci_high_ns,pull_width68_ci_low,pull_width68_ci_high,coverage68_ci_low,coverage68_ci_high,coverage95_ci_low,coverage95_ci_high,calibration_loss_ci_low,calibration_loss_ci_high
all,all,cnn1d,1D-CNN residual scale model,11460,1.2350417473466806,1.590679490732974,1.510096991761467,2.420418697948264,0.012914485165794066,1.009827486398175,0.4545375218150087,0.9361256544502617,0.2281519703219913,0.01387434554973821,0.1374878525257426,0.0973354136989118,1.3857695092920408,1.6794230347470456,0.9197381322222145,1.1131991816242186,0.37492856446027517,0.5269822978882509,0.922058772067786,0.9503348210255275,0.08054456453167781,0.15402088212159046
all,all,gradient_boosted_trees,HistGradientBoosting residual scale model,11460,1.2628787423393077,1.5212649917186951,1.5542951071875146,2.315559803391101,0.015357766143106457,1.045099754589835,0.5027923211169284,0.8697207678883071,0.17989717102007163,0.08027923211169286,0.13075137783115273,0.10900688388818808,1.40696632882881,1.757191986805748,0.8882698811358472,1.2226226781530962,0.4143416113857551,0.5869231545996162,0.807170956796428,0.9215379389131187,0.07524870211150278,0.20855133576634835
all,all,mlp,MLP residual scale model,11460,1.2684239161242667,1.4721173344323866,1.6447738012513373,2.424531198736336,0.01387434554973822,1.05181909683363,0.5169284467713787,0.8760034904013961,0.1657610453656213,0.07399650959860382,0.12231121064284521,0.1034719656101751,1.5286199014995976,1.777010809221952,0.9460352051558344,1.1571900734527978,0.45473268486743224,0.5774937581156432,0.8418911211377091,0.9110665781538204,0.06839129521983636,0.16301767190131658
all,all,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,11460,1.2192959705902011,1.5745709315340974,1.503985568351275,2.415318800709231,0.011431064572425828,0.9010218616401986,0.6319371727748692,0.9609947643979058,0.05075231936213087,0.01099476439790581,0.053068251133420785,0.05344836831331472,1.382576285394718,1.682356756080785,0.8421066922871321,0.9535507115265479,0.5703379274266897,0.6922048683744337,0.9540266718225215,0.9687072102984496,0.04193544782335578,0.0719199429731095
all,all,ridge,Ridge residual scale model,11460,1.2469281174743705,1.3830260011901565,1.5731825855146495,2.5465901524293555,0.01614310645724258,1.0202372113235316,0.48106457242582895,0.8717277486910995,0.20162491971117108,0.07827225130890048,0.13994858551003578,0.11002074196340975,1.4148197920779657,1.8368071087079054,0.8844413701983977,1.1676036279445547,0.3895962488679846,0.5683209715166853,0.8099073154466061,0.9273440517357114,0.0786410064791241,0.20380129509623715
all,all,traditional,S02/S03/S04 atom robust-width baseline,11460,1.244169340772551,1.4947512901245903,1.5510917109777835,2.666988996928635,0.019109947643979056,2.7120725531229497,0.3849912739965096,0.631588132635253,0.2976982181404904,0.3184118673647469,0.3080550427526187,0.6590594203452015,1.3606678672734274,1.86941804756962,2.4067662200026527,2.913045691363728,0.3176468237068652,0.44319021588953544,0.5483244047136081,0.6985974310288988,0.5377698705457024,0.7581038978410366
pair,B4-B6,cnn1d,1D-CNN residual scale model,3820,2.2253439710416907,2.1990145069411042,0.9717440806677896,2.0523401058445576,0.011780104712041885,0.2818177313842377,0.3931937172774869,0.9756544502617801,0.2894957748595131,0.02565445026178015,0.16537615968106548,0.29967716335453026,0.8630148207375072,1.050930972530397,0.2512492630923293,0.30411556830303477,0.2558899780668001,0.5307497941730106,0.9622452898774374,0.9891705195310493,0.2575489492349552,0.3481072685932842
pair,B4-B6,gradient_boosted_trees,HistGradientBoosting residual scale model,3820,2.1717858844573388,2.1632582151113553,1.0581085851789407,1.9662386904999611,0.015968586387434557,0.5741541978174732,0.46963350785340313,0.8895287958115183,0.2130559842835969,0.06047120418848162,0.14421123821509685,0.21089605721742555,0.9264689821506304,1.1674145379161724,0.42064505834712307,0.6956535518083656,0.3016500895160322,0.6225992802828377,0.7833216847151403,0.9733047104165435,0.17169331552631248,0.28417098758690246
pair,B4-B6,mlp,MLP residual scale model,3820,2.2295922024258332,2.2209152269502432,1.076007378329178,2.107375836461888,0.014136125654450262,0.5558460190376302,0.512303664921466,0.9086387434554973,0.17038582721553408,0.04136125654450262,0.13148224031125708,0.1968458262584159,0.9889938325591762,1.1191955667747828,0.46855397849346664,0.6156764927353681,0.4173005511175862,0.6067315788114481,0.8604426184162836,0.9536676553515181,0.1702563457767616,0.23475686139231247
pair,B4-B6,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,3820,2.2584856860315177,2.1902322316515885,0.8671434813854856,2.0486362292260347,0.01099476439790576,0.24093746542920363,0.6573298429319372,0.9887434554973822,0.02535964920506284,0.03874345549738223,0.06275199319467697,0.2214794081169796,0.7718289482416275,0.9168252736330031,0.21729101029960457,0.25578212151335583,0.5366793087059684,0.7651217451015926,0.9841619334739934,0.9933839240402265,0.21556552550015026,0.26153924459939976
pair,B4-B6,ridge,Ridge residual scale model,3820,2.1823016777571147,2.043576439388765,1.1443353376982124,2.2222223575268294,0.012565445026178011,0.5772950494387837,0.44659685863874343,0.9047120418848168,0.2360926334982566,0.04528795811518316,0.1406902958067199,0.21119395949534397,0.9412947513337401,1.3309142953131323,0.4766590013926285,0.6817492199964131,0.2953677293014265,0.5800280854772325,0.8106745370247312,0.9709753567536522,0.17432778317314376,0.28039207387775916
pair,B4-B6,traditional,S02/S03/S04 atom robust-width baseline,3820,2.174971655947137,2.0562048259577246,1.196986056387738,2.3910801927774727,0.014921465968586388,7.249260013005334,0.23141361256544501,0.4746073298429319,0.451275879571555,0.47539267015706804,0.4633342748643115,1.9098157093995671,0.9744399461066603,1.3115921881664836,6.914447606754758,7.670809876149783,0.11542207139093136,0.30683441994762745,0.3088670548277535,0.5752790399594082,1.7762641275564985,2.1246794709230667
pair,B4-B8,cnn1d,1D-CNN residual scale model,3820,1.852562621020021,1.8757125735223887,0.8772924751901812,2.453243007848807,0.015445026178010472,0.3070427387460473,0.42643979057591624,0.9706806282722513,0.2562497015610838,0.020680628272251367,0.14836045287478278,0.2795620109905177,0.8129110665221871,0.9442113208639822,0.28764913628111305,0.3332972490273637,0.3615657043283443,0.4873706422702119,0.9598544430868481,0.9814591386641544,0.2558028237373892,0.3003314670195578
pair,B4-B8,gradient_boosted_trees,HistGradientBoosting residual scale model,3820,1.8943181135089617,1.9516328173802826,1.054132087089478,2.2868071533366114,0.01780104712041885,0.6156637877371562,0.468848167539267,0.8829842931937173,0.21384132459773303,0.06701570680628266,0.1481248507805419,0.20332952361185036,0.9760069275745785,1.1531707839702852,0.5050236229676658,0.7341691393691576,0.35789899481081433,0.5746880420494793,0.7945731962536217,0.9649146687466416,0.16345406923768227,0.24861478539129112
pair,B4-B8,mlp,MLP residual scale model,3820,1.9026358741864005,1.9458166502890641,1.150371096818951,2.467819901773756,0.016492146596858638,0.6561742707126186,0.4806282722513089,0.8801047120418848,0.20206121988569115,0.06989528795811517,0.13922432722033246,0.18875164108788006,1.0743767755256068,1.1919251570496554,0.5646649218830058,0.7428737377159907,0.3841781794869674,0.5835012863064573,0.8097518425584818,0.9365364126449696,0.15218303461584887,0.22965444351071845
