dimension,stratum,method,method_label,pull_width68,coverage68,coverage95,calibration_ece,calibration_loss,sigma68_ns,tail_frac_abs_gt5ns,traditional_pull_width68,traditional_coverage68,traditional_coverage95,traditional_calibration_ece,traditional_calibration_loss,traditional_sigma68_ns,traditional_tail_frac_abs_gt5ns,ml_minus_traditional_pull_width68,ml_minus_traditional_coverage68,ml_minus_traditional_coverage95,ml_minus_traditional_calibration_ece,ml_minus_traditional_calibration_loss,ml_minus_traditional_sigma68_ns,ml_minus_traditional_tail_frac_abs_gt5ns
all,all,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,0.9010218616401986,0.6319371727748692,0.9609947643979058,0.053068251133420785,0.05344836831331472,1.503985568351275,0.011431064572425828,2.7120725531229497,0.3849912739965096,0.631588132635253,0.3080550427526187,0.6590594203452015,1.5510917109777835,0.019109947643979056,-1.811050691482751,0.24694589877835954,0.3294066317626527,-0.2549867916191979,-0.6056110520318868,-0.047106142626508474,-0.007678883071553228
all,all,cnn1d,1D-CNN residual scale model,1.009827486398175,0.4545375218150087,0.9361256544502617,0.1374878525257426,0.0973354136989118,1.510096991761467,0.012914485165794066,2.7120725531229497,0.3849912739965096,0.631588132635253,0.3080550427526187,0.6590594203452015,1.5510917109777835,0.019109947643979056,-1.7022450667247746,0.06954624781849911,0.3045375218150087,-0.17056719022687608,-0.5617240066462896,-0.04099471921631648,-0.00619546247818499
all,all,mlp,MLP residual scale model,1.05181909683363,0.5169284467713787,0.8760034904013961,0.12231121064284521,0.1034719656101751,1.6447738012513373,0.01387434554973822,2.7120725531229497,0.3849912739965096,0.631588132635253,0.3080550427526187,0.6590594203452015,1.5510917109777835,0.019109947643979056,-1.6602534562893196,0.1319371727748691,0.2444153577661431,-0.18574383210977347,-0.5555874547350264,0.09368209027355379,-0.005235602094240836
all,all,gradient_boosted_trees,HistGradientBoosting residual scale model,1.045099754589835,0.5027923211169284,0.8697207678883071,0.13075137783115273,0.10900688388818808,1.5542951071875146,0.015357766143106457,2.7120725531229497,0.3849912739965096,0.631588132635253,0.3080550427526187,0.6590594203452015,1.5510917109777835,0.019109947643979056,-1.6669727985331146,0.11780104712041878,0.23813263525305406,-0.17730366492146596,-0.5500525364570135,0.003203396209731091,-0.003752181500872599
all,all,ridge,Ridge residual scale model,1.0202372113235316,0.48106457242582895,0.8717277486910995,0.13994858551003578,0.11002074196340975,1.5731825855146495,0.01614310645724258,2.7120725531229497,0.3849912739965096,0.631588132635253,0.3080550427526187,0.6590594203452015,1.5510917109777835,0.019109947643979056,-1.691835341799418,0.09607329842931933,0.24013961605584644,-0.1681064572425829,-0.5490386783817918,0.02209087453686598,-0.002966841186736475
amplitude_bin,"amp_adc[1000,1500)",ridge,Ridge residual scale model,0.6018232243365756,0.484375,0.9375,0.1274781304781719,0.18411734956964906,1.0400312471636608,0.0078125,7.264392032815385,0.14453125,0.27734375,0.6054072460684999,2.0201534427552215,0.9439871224763401,0.0078125,-6.6625688084788095,0.33984375,0.66015625,-0.477929115590328,-1.8360360931855724,0.09604412468732071,0.0
amplitude_bin,"amp_adc[1000,1500)",mlp,MLP residual scale model,0.49877362585848933,0.55859375,0.9375,0.12324190154516408,0.19026600445591868,1.0792514091428995,0.0234375,7.264392032815385,0.14453125,0.27734375,0.6054072460684999,2.0201534427552215,0.9439871224763401,0.0078125,-6.765618406956896,0.4140625,0.66015625,-0.48216534452333587,-1.829887438299303,0.13526428666655943,0.015625
amplitude_bin,"amp_adc[1000,1500)",phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,0.37220468565469705,0.61328125,0.953125,0.10781278595483595,0.20203533560928477,0.7132174964672557,0.015625,7.264392032815385,0.14453125,0.27734375,0.6054072460684999,2.0201534427552215,0.9439871224763401,0.0078125,-6.892187347160688,0.46875,0.67578125,-0.497594460113664,-1.8181181071459367,-0.23076962600908435,0.0078125
amplitude_bin,"amp_adc[1000,1500)",gradient_boosted_trees,HistGradientBoosting residual scale model,0.41309866910202697,0.515625,0.94140625,0.09837599606850003,0.21523389227586825,0.8516052908047049,0.0078125,7.264392032815385,0.14453125,0.27734375,0.6054072460684999,2.0201534427552215,0.9439871224763401,0.0078125,-6.851293363713358,0.37109375,0.6640625,-0.5070312499999999,-1.8049195504793532,-0.09238183167163516,0.0
amplitude_bin,"amp_adc[1000,1500)",cnn1d,1D-CNN residual scale model,0.4013613912807553,0.421875,0.953125,0.1708375054781719,0.25835390158360416,0.6722003659548632,0.0078125,7.264392032815385,0.14453125,0.27734375,0.6054072460684999,2.0201534427552215,0.9439871224763401,0.0078125,-6.86303064153463,0.27734375,0.67578125,-0.43456974059032805,-1.7617995411716172,-0.2717867565214769,0.0
