method,average_precision,average_precision_ci_low,average_precision_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,action_precision,action_precision_ci_low,action_precision_ci_high,balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,positive_action_rate
gradient_boosted_trees,0.5083478989678135,0.419198627337289,0.5713211853713968,0.8191780174979627,0.8029760321572094,0.8297517616985952,0.5522284122562674,0.48350398179749715,0.5849134377576257,0.741718066657441,0.7006542699724518,0.7635715285395445,0.3331786542923434
mlp,0.4277872238014743,0.3704775451220134,0.4659308453964884,0.7826889663549719,0.7642130955157506,0.804358683895875,0.5045045045045045,0.43845248460844977,0.5428718935002254,0.7176981810114376,0.6979935620788519,0.7417721214389796,0.3605568445475638
cnn1d,0.4222037467577478,0.36883254956767497,0.45702173137378926,0.7829513204745494,0.7697853450610364,0.8018527631865173,0.4610526315789474,0.41089108910891087,0.4939375544308148,0.6086593608389181,0.5957153676898133,0.6244964078599518,0.22041763341067286
atom_gated_cnn,0.4199206062923593,0.3684266769498964,0.45437376253228995,0.781219591084518,0.7644109332633209,0.8031124628837695,0.4468980021030494,0.4,0.4766107678729038,0.6008087810514153,0.5758684798496582,0.6384397228794734,0.22064965197215777
ridge,0.3948599132249376,0.3328455949641049,0.430503699942051,0.7483778250774845,0.7186232069284915,0.7849247243001736,0.43118383060635224,0.3464812467471417,0.48344966850724747,0.6004762736324637,0.5671828553807866,0.6259251697207902,0.24106728538283062
traditional_atom_rubric,0.26475544092849085,0.21194281496130996,0.30474250768953587,0.49666696320507503,0.46595731668669627,0.5163844063413825,0.02109704641350211,0.0,0.04335890240623736,0.46541099125101865,0.4519238541270828,0.4729895755770663,0.05498839907192576
