method,run,n,locked_positive_rate,average_precision,action_precision
traditional_atom_rubric,58,74,0.13513513513513514,0.11206571036061762,0.0
traditional_atom_rubric,59,830,0.25542168674698795,0.25084630032408045,0.0
traditional_atom_rubric,60,856,0.2546728971962617,0.24855390475007355,0.0
traditional_atom_rubric,61,1214,0.32784184514003295,0.33598299674466725,0.05952380952380952
traditional_atom_rubric,62,840,0.26666666666666666,0.2640271205337728,0.0
traditional_atom_rubric,63,388,0.2036082474226804,0.18082348298057313,0.0
traditional_atom_rubric,65,108,0.12037037037037036,0.16977033548253814,0.0
ridge,58,74,0.13513513513513514,0.2225209613675218,0.08333333333333333
ridge,59,830,0.25542168674698795,0.418390032797426,0.4090909090909091
ridge,60,856,0.2546728971962617,0.3452700830397897,0.38073394495412843
ridge,61,1214,0.32784184514003295,0.44141350114793054,0.5085995085995086
ridge,62,840,0.26666666666666666,0.449813320919765,0.4413793103448276
ridge,63,388,0.2036082474226804,0.2836738294321526,0.27586206896551724
ridge,65,108,0.12037037037037036,0.3114564437932247,0.375
gradient_boosted_trees,58,74,0.13513513513513514,0.28944155259944737,0.3333333333333333
gradient_boosted_trees,59,830,0.25542168674698795,0.5041663110972542,0.5894308943089431
gradient_boosted_trees,60,856,0.2546728971962617,0.43948106754346195,0.492
gradient_boosted_trees,61,1214,0.32784184514003295,0.6064337932807369,0.5887850467289719
gradient_boosted_trees,62,840,0.26666666666666666,0.5056407395519947,0.5952380952380952
gradient_boosted_trees,63,388,0.2036082474226804,0.38212311748146055,0.4107142857142857
gradient_boosted_trees,65,108,0.12037037037037036,0.311990287512946,0.35
mlp,58,74,0.13513513513513514,0.24038961540181053,0.2608695652173913
mlp,59,830,0.25542168674698795,0.45536021399549126,0.4965986394557823
mlp,60,856,0.2546728971962617,0.38033395659462405,0.45098039215686275
mlp,61,1214,0.32784184514003295,0.49131411843886186,0.5659574468085107
mlp,62,840,0.26666666666666666,0.45361485486511893,0.5466666666666666
mlp,63,388,0.2036082474226804,0.36960616204861385,0.4198473282442748
mlp,65,108,0.12037037037037036,0.22445909969782646,0.3
cnn1d,58,74,0.13513513513513514,0.2400402145584034,0.1875
cnn1d,59,830,0.25542168674698795,0.408017413270983,0.4426229508196721
cnn1d,60,856,0.2546728971962617,0.39127217924242547,0.43636363636363634
cnn1d,61,1214,0.32784184514003295,0.48157418220351095,0.5155038759689923
cnn1d,62,840,0.26666666666666666,0.4567181576787902,0.5
cnn1d,63,388,0.2036082474226804,0.3429548913568589,0.3855421686746988
cnn1d,65,108,0.12037037037037036,0.3293125958353187,0.375
atom_gated_cnn,58,74,0.13513513513513514,0.2393741864301321,0.23529411764705882
atom_gated_cnn,59,830,0.25542168674698795,0.41336313433059835,0.3987730061349693
atom_gated_cnn,60,856,0.2546728971962617,0.3805483835284237,0.45081967213114754
atom_gated_cnn,61,1214,0.32784184514003295,0.4726703853071343,0.48559670781893005
atom_gated_cnn,62,840,0.26666666666666666,0.45902377863257526,0.4972972972972973
atom_gated_cnn,63,388,0.2036082474226804,0.34217951069699165,0.3614457831325301
atom_gated_cnn,65,108,0.12037037037037036,0.3526728945894923,0.375
