run,event_index,run_group,stave,stave_index,amplitude_adc,log10_amplitude,topology_mask,topology_n,amp_bin
31,0,sample_i_calib,B2,0,7858.5,3.8953397,1,1,4
31,1,sample_i_calib,B2,0,5667.5,3.7533915,1,1,2
31,2,sample_i_calib,B2,0,4843.0,3.6851144,1,1,1
31,4,sample_i_calib,B2,0,4226.0,3.6259296,1,1,1
31,5,sample_i_calib,B2,0,8382.0,3.9233477,1,1,4
31,8,sample_i_calib,B2,0,1315.0,3.1189258,1,1,0
31,10,sample_i_calib,B2,0,7556.0,3.8782918,1,1,4
31,12,sample_i_calib,B2,0,7100.0,3.8512583,1,1,3
31,13,sample_i_calib,B2,0,5000.5,3.6990135,1,1,1
31,14,sample_i_calib,B2,0,8608.0,3.9349022,1,1,5
31,15,sample_i_calib,B2,0,4782.0,3.6796095,1,1,1
31,16,sample_i_calib,B2,0,4299.0,3.6333675,1,1,1
31,17,sample_i_calib,B2,0,8246.5,3.9162698,1,1,4
31,18,sample_i_calib,B2,0,5993.0,3.7776442,1,1,2
31,19,sample_i_calib,B2,0,2261.0,3.3543005,3,2,0
31,19,sample_i_calib,B4,1,1965.5,3.293473,3,2,0
31,21,sample_i_calib,B2,0,8870.0,3.9479237,1,1,5
31,22,sample_i_calib,B8,3,1812.0,3.2581582,8,1,0
31,23,sample_i_calib,B2,0,7831.0,3.8938172,1,1,4
31,27,sample_i_calib,B2,0,4005.0,3.6026025,1,1,1
31,29,sample_i_calib,B2,0,1599.5,3.2039843,1,1,0
31,30,sample_i_calib,B2,0,7708.5,3.8869698,1,1,4
31,31,sample_i_calib,B2,0,4464.5,3.649773,1,1,1
31,32,sample_i_calib,B2,0,4149.5,3.6179957,1,1,1
31,35,sample_i_calib,B2,0,8358.5,3.9221284,1,1,4
31,36,sample_i_calib,B2,0,6934.0,3.8409839,1,1,3
31,37,sample_i_calib,B2,0,3051.0,3.4844422,1,1,0
31,38,sample_i_calib,B2,0,4782.5,3.679655,1,1,1
31,39,sample_i_calib,B2,0,2305.5,3.362765,1,1,0
31,40,sample_i_calib,B2,0,9605.5,3.9825199,1,1,5
31,41,sample_i_calib,B2,0,4108.5,3.6136832,1,1,1
31,42,sample_i_calib,B2,0,7331.5,3.865193,1,1,3
31,44,sample_i_calib,B2,0,8520.5,3.930465,1,1,5
31,45,sample_i_calib,B2,0,7603.0,3.880985,1,1,4
31,47,sample_i_calib,B2,0,8215.0,3.9146075,1,1,4
31,50,sample_i_calib,B2,0,7834.0,3.8939836,1,1,4
31,51,sample_i_calib,B2,0,6812.0,3.8332746,1,1,3
31,52,sample_i_calib,B2,0,5855.0,3.7675269,1,1,2
31,53,sample_i_calib,B2,0,4400.5,3.643502,1,1,1
31,54,sample_i_calib,B2,0,9038.0,3.9560723,1,1,5
31,55,sample_i_calib,B2,0,1962.0,3.2926989,1,1,0
31,56,sample_i_calib,B2,0,1637.0,3.2140486,1,1,0
31,61,sample_i_calib,B2,0,7939.0,3.8997657,1,1,4
31,65,sample_i_calib,B2,0,5679.0,3.754272,1,1,2
31,66,sample_i_calib,B2,0,2176.0,3.337659,1,1,0
31,67,sample_i_calib,B2,0,2438.0,3.3870337,1,1,0
31,68,sample_i_calib,B2,0,1785.0,3.2516382,1,1,0
31,70,sample_i_calib,B2,0,3459.0,3.5389504,1,1,1
31,71,sample_i_calib,B2,0,8643.0,3.9366646,1,1,5
31,72,sample_i_calib,B2,0,3163.5,3.5001678,1,1,0
31,73,sample_i_calib,B2,0,6568.0,3.817433,1,1,2
31,77,sample_i_calib,B2,0,9087.5,3.9584444,1,1,5
