peak_sample,area_over_peak,tail_fraction,late_fraction,early_fraction,width50,width20,max_down_step,asymmetry,peak_group,manual_flag
6.0,8.050137,0.32147262,0.5320809,0.053958144,7.0,14.0,-0.2254883,0.40429485,nominal_6_9,nominal
5.0,8.847639,0.31654838,0.54781234,0.068871655,11.0,14.0,-0.17962068,0.39906076,prepeak_4_5,nominal
6.0,9.083419,0.34525245,0.6044646,0.017867291,10.0,13.0,-0.19264919,0.49994314,nominal_6_9,nominal
6.0,8.869617,0.33351114,0.6199611,0.0052557155,9.0,13.0,-0.2382868,0.5202625,nominal_6_9,nominal
6.0,7.7610364,0.31400546,0.5243878,0.0543403,7.0,14.0,-0.25626343,0.397522,nominal_6_9,nominal
0.0,-23.847149,-0.6898498,-0.8589241,0.014700721,1.0,1.0,-0.8638783,-0.83704835,early_0_3,large_negative_step
6.0,8.05082,0.332884,0.54941475,0.041261178,7.0,14.0,-0.24854422,0.43365335,nominal_6_9,nominal
6.0,8.001972,0.3455134,0.57001793,0.019079804,9.0,13.0,-0.2064789,0.4743901,nominal_6_9,nominal
6.0,9.125688,0.31444347,0.56227946,0.044452477,10.0,14.0,-0.16918308,0.43329388,nominal_6_9,nominal
6.0,7.3906827,0.3254845,0.5402946,0.023184897,6.0,13.0,-0.23338753,0.44054452,nominal_6_9,nominal
6.0,9.056671,0.33143222,0.5927174,0.025191067,10.0,14.0,-0.18381429,0.47976172,nominal_6_9,nominal
6.0,9.071178,0.33464116,0.61486787,0.0090519795,10.0,13.0,-0.22144687,0.5134754,nominal_6_9,nominal
6.0,7.800642,0.32023382,0.53571546,0.04513587,7.0,14.0,-0.2546535,0.4157677,nominal_6_9,nominal
5.0,8.83414,0.32329106,0.54432124,0.0754774,12.0,14.0,-0.17153347,0.39249763,prepeak_4_5,nominal
17.0,2.7142859,1.0042366,1.0040736,-0.0009776764,3.0,4.0,-0.005307386,1.005377,late_10_17,late_peak
17.0,2.8298142,1.003596,1.0008091,-8.989572e-05,3.0,4.0,-0.002543882,1.0013485,late_10_17,late_peak
5.0,7.506088,0.30050018,0.4931435,0.09645684,6.0,14.0,-0.25310034,0.32815152,prepeak_4_5,nominal
7.0,7.4889627,0.20574798,0.52210754,0.01982314,8.0,10.0,-0.14403972,0.3822402,nominal_6_9,nominal
6.0,7.7235346,0.3409553,0.56229025,0.0138882,7.0,13.0,-0.2149151,0.4700164,nominal_6_9,nominal
6.0,8.645444,0.27376175,0.5802743,0.020418772,8.0,13.0,-0.23345819,0.4581949,nominal_6_9,nominal
7.0,6.662707,0.18213381,0.50600547,0.010181102,6.0,9.0,-0.13941854,0.3673173,nominal_6_9,nominal
