method,target,value,macro_f1,observed_minus_controls
traditional,manual_flag,0.38739017522980135,0.1715138980783682,0.4279875614082439
traditional,peak_group,0.4733889689288525,0.3053146424133302,0.3399879398477038
ml,manual_flag,0.5234956888400438,0.25626610249644355,0.4441029573511489
ml,peak_group,0.4787905741841556,0.33665456644641056,0.4729187085240747
