method,target,run,heldout_rows,balanced_accuracy,macro_f1
traditional,manual_flag,42,1224,0.8044607843137255,0.7192698476384365
traditional,manual_flag,57,1203,0.8538454976441523,0.7815673861825903
traditional,manual_flag,64,1471,0.8154089407013034,0.693131096955543
traditional,manual_flag,65,1228,0.8109865019555713,0.7183382355622858
traditional,peak_group,42,1224,0.8455712473827482,0.809701851850726
traditional,peak_group,57,1203,0.8249852515091319,0.8042856659994092
traditional,peak_group,64,1471,0.757686395530812,0.7320294294456565
traditional,peak_group,65,1228,0.793760842561632,0.7575774238093882
ml,manual_flag,42,1224,0.9689950980392158,0.9058965362702807
ml,manual_flag,57,1203,0.9707433884232183,0.9102787838259487
ml,manual_flag,64,1471,0.9765534545009485,0.868134667022467
ml,manual_flag,65,1228,0.9440832919301091,0.8650573142166547
ml,peak_group,42,1224,0.9690895262929161,0.9428993698541928
ml,peak_group,57,1203,0.9611958363249158,0.9382090422231946
ml,peak_group,64,1471,0.9248018334615076,0.8964169861763243
ml,peak_group,65,1228,0.9346370396640964,0.8941779709495059
