gallery_row_id,method,run,event_index,eventno,evt,stave,amplitude_adc,taxon,traditional_score,ml_score,q_template_rmse,pca_recon_mse,ae_recon_mse,isolation_anomaly_score,peak_sample,late_fraction,baseline_mad,saturation_count,secondary_peak,post_peak_min,timing_span_dup,normalized_waveform,review_peak_sample,review_width_half,review_width_035,review_early_fraction,review_late_fraction,review_secondary_peak,review_secondary_sep,review_post_peak_min,review_undershoot_area,review_first4_span,review_first4_mean,review_last4_mean,review_tail_rise,review_positive_area,review_negative_area,review_centroid,review_peak_to_end_drop,review_pretrigger_max,review_post12_max,external_reviewer_alpha_label,external_reviewer_beta_label,traditional_fixed_morphology_label,external_reviewers_agree,p09b_consensus_label,p09b_reviewer_a_label,p09b_reviewer_b_label,wave_00,wave_01,wave_02,wave_03,wave_04,wave_05,wave_06,wave_07,wave_08,wave_09,wave_10,wave_11,wave_12,wave_13,wave_14,wave_15,wave_16,wave_17,ml_loro_label,ml_loro_confidence,ml_loro_target_probability,ml_train_runs
0,traditional_robust_template,42,31984,799290,14156,B2,9003.0,baseline_excursion,2012.5721,31.232725,0.4394563,0.10213863,0.1661224,0.6440067,5,0.22902526,7341.0,1,0.9603466,0.32033765,5.157401,"[0.96035, -0.81539, -0.81539, 0.81539, 0.80851, 1.0, 0.82295, 0.62635, 0.48695, 0.40275, 0.37721, 0.36266, 0.34755, 0.32245, 0.32034, 0.32067, 0.33389, 0.33444]",5,6,10,0.2054669317656037,0.22902504249208008,0.960349977016449,5,0.32034000754356384,-1.6307799816131592,1.7757399082183838,0.036239996552467346,0.327335000038147,-0.01311001181602478,8.642460823059082,-1.6307799816131592,7.401717078114032,0.6655600070953369,0.960349977016449,0.34755000472068787,baseline_excursion,baseline_excursion,baseline_excursion,True,baseline_excursion,baseline_excursion,baseline_excursion,0.96035,-0.81539,-0.81539,0.81539,0.80851,1.0,0.82295,0.62635,0.48695,0.40275,0.37721,0.36266,0.34755,0.32245,0.32034,0.32067,0.33389,0.33444,baseline_excursion,0.29152556678625546,0.3921050689724501,"57,64,65"
1,traditional_robust_template,42,25326,792632,7946,B2,9081.5,baseline_excursion,1766.15,16.497889,0.42981544,0.029659119,0.13094012,0.6118094,2,0.2811615,6442.5,1,0.65886694,0.21664923,0.4248755,"[-0.70941, -0.70941, 1.0, 0.70941, 0.65887, 0.59258, 0.52144, 0.4731, 0.41518, 0.38876, 0.34526, 0.42906, 0.44315, 0.44084, 0.41518, 0.387, 0.26158, 0.21665]",2,5,13,0.22205722459293398,0.2811617106364512,0.6588699817657471,2,0.21664999425411224,-1.4188200235366821,1.7094099521636963,0.07264749705791473,0.3201025128364563,-0.2265000194311142,7.698060512542725,-1.4188200235366821,8.014234250405552,0.7833499908447266,1.0,0.44315001368522644,baseline_excursion,baseline_excursion,baseline_excursion,True,baseline_excursion,baseline_excursion,baseline_excursion,-0.70941,-0.70941,1.0,0.70941,0.65887,0.59258,0.52144,0.4731,0.41518,0.38876,0.34526,0.42906,0.44315,0.44084,0.41518,0.387,0.26158,0.21665,baseline_excursion,0.6313266500105389,0.12157864485212702,"57,64,65"
2,traditional_robust_template,42,15089,782391,14806,B2,8639.5,baseline_excursion,1653.3973,16.928087,0.41283575,0.030125298,0.1347822,0.61625713,2,0.29197112,6031.5,1,0.6756757,0.26673996,0.37670445,"[-0.69813, -0.69813, 1.0, 0.69813, 0.67568, 0.64616, 0.58724, 0.54396, 0.46513, 0.45147, 0.45599, 0.51074, 0.51074, 0.5112, 0.47948, 0.41964, 0.30065, 0.26674]",2,9,14,0.1992420660940633,0.2919705638158837,0.6756799817085266,2,0.26673999428749084,-1.3962600231170654,1.6981300115585327,0.07546749711036682,0.3666274845600128,-0.24399998784065247,8.52294921875,-1.3962600231170654,8.265702088573743,0.7332600355148315,1.0,0.5112000107765198,baseline_excursion,baseline_excursion,baseline_excursion,True,baseline_excursion,baseline_excursion,baseline_excursion,-0.69813,-0.69813,1.0,0.69813,0.67568,0.64616,0.58724,0.54396,0.46513,0.45147,0.45599,0.51074,0.51074,0.5112,0.47948,0.41964,0.30065,0.26674,baseline_excursion,0.6153470020761218,0.1471597982121099,"57,64,65"
3,traditional_robust_template,42,1005,768306,1682,B2,7070.5,baseline_excursion,1264.493,45.274616,0.5269346,0.1811834,0.18326767,0.6480088,2,0.16565777,4612.5,1,0.8215119,-1.2820169,0.8281736,"[-0.30472, 0.30472, 1.0, -1.28202, 0.82151, 0.45874, 0.4214, 0.35648, 0.28492, 0.2217, 0.15918, 0.12354, 0.07602, 0.18436, 0.19624, 0.19581, 0.15508, 0.0169]",2,2,5,0.2621709851192227,0.16565729054222766,0.8215100169181824,2,-1.2820199728012085,-1.5867400169372559,2.282020092010498,-0.07050499320030212,0.14100749790668488,-0.05912000313401222,4.97659969329834,-1.5867400169372559,6.409121124362417,0.9830999970436096,1.0,0.19623999297618866,dropout,dropout,dropout,True,dropout,dropout,dropout,-0.30472,0.30472,1.0,-1.28202,0.82151,0.45874,0.4214,0.35648,0.28492,0.2217,0.15918,0.12354,0.07602,0.18436,0.19624,0.19581,0.15508,0.0169,dropout,0.6735053358984923,0.05331020765752957,"57,64,65"
4,traditional_robust_template,42,31400,798706,13620,B2,7533.5,baseline_excursion,1199.7439,39.627613,0.44639018,0.15986148,0.15832001,0.62584925,4,0.25144818,4377.5,1,0.99495584,0.22068095,1.0396408,"[-0.16719, 0.16719, 0.99496, -1.06624, 1.0, 0.62103, 0.46174, 0.49652, 0.41793, 0.3886, 0.29077, 0.25572, 0.22068, 0.29263, 0.32621, 0.32289, 0.30006, 0.24882]",4,3,7,0.17076003747296148,0.25144771227794394,0.9949600100517273,2,0.22067999839782715,-1.2334299087524414,2.061199903488159,-0.01781998574733734,0.29949498176574707,0.028140008449554443,6.805749416351318,-1.2334299087524414,7.782146616132165,0.7511799931526184,0.9949600100517273,0.32620999217033386,baseline_excursion,baseline_excursion,baseline_excursion,True,baseline_excursion,baseline_excursion,baseline_excursion,-0.16719,0.16719,0.99496,-1.06624,1.0,0.62103,0.46174,0.49652,0.41793,0.3886,0.29077,0.25572,0.22068,0.29263,0.32621,0.32289,0.30006,0.24882,baseline_excursion,0.3090424511299764,0.2811561039761545,"57,64,65"
5,traditional_robust_template,42,33597,800903,15650,B2,7194.5,baseline_excursion,1146.6116,39.1422,0.4426626,0.15763655,0.15787448,0.61587125,2,0.24511443,4183.0,1,0.9074293,-1.1075822,1.0443965,"[-0.16283, 0.16283, 1.0, -1.10758, 0.90743, 0.57579, 0.55299, 0.49086, 0.42859, 0.36952, 0.31225, 0.27361, 0.23052, 0.33199, 0.34367, 0.34089, 0.27389, 0.12656]",2,4,7,0.17300438634918813,0.24511596629259955,0.9074299931526184,2,-1.1075799465179443,-1.2704099416732788,2.1075799465179443,-0.026894986629486084,0.27125248312950134,-0.10395999252796173,6.721390247344971,-1.2704099416732788,7.714575077166729,0.8734400272369385,1.0,0.3436700105667114,dropout,dropout,dropout,True,dropout,dropout,dropout,-0.16283,0.16283,1.0,-1.10758,0.90743,0.57579,0.55299,0.49086,0.42859,0.36952,0.31225,0.27361,0.23052,0.33199,0.34367,0.34089,0.27389,0.12656,dropout,0.6539693707556961,0.09253377979520881,"57,64,65"
6,traditional_robust_template,42,7189,774490,7434,B2,10260.5,baseline_excursion,1136.7227,24.481483,0.35551137,0.06899301,0.1519179,0.6116251,1,0.3345411,4147.5,1,0.94093853,-0.40422007,2.9158018,"[0.40422, 1.0, -0.40422, -0.40422, 0.94094, 0.69631, 0.75235, 0.70333, 0.69066, 0.61269, 0.57312, 0.55343, 0.58287, 0.61717, 0.60889, 0.60694, 0.5778, 0.48872]",1,14,16,0.1348987177199121,0.33454155385645995,0.9409400224685669,3,-0.40422001481056213,-0.8084400296211243,1.4042199850082397,0.14894500374794006,0.5705874562263489,-0.09415000677108765,10.409439086914062,-0.8084400296211243,8.717125660141265,0.5112800002098083,1.0,0.617169976234436,baseline_excursion,baseline_excursion,baseline_excursion,True,baseline_excursion,baseline_excursion,baseline_excursion,0.40422,1.0,-0.40422,-0.40422,0.94094,0.69631,0.75235,0.70333,0.69066,0.61269,0.57312,0.55343,0.58287,0.61717,0.60889,0.60694,0.5778,0.48872,baseline_excursion,0.36179459624586535,0.35237924367974904,"57,64,65"
7,traditional_robust_template,42,24541,791847,7211,B2,10066.5,baseline_excursion,1134.5353,25.359816,0.36205313,0.071028866,0.15829132,0.61512774,1,0.3320187,4139.5,1,0.9918542,-0.41121542,3.072713,"[0.41122, 1.0, -0.41122, -0.41122, 0.99185, 0.73884, 0.78861, 0.73705, 0.71142, 0.62946, 0.58993, 0.56917, 0.59489, 0.62499, 0.62112, 0.61625, 0.5942, 0.51115]",1,15,16,0.13151913481175373,0.3320176870779739,0.9918500185012817,3,-0.4112200140953064,-0.8224400281906128,1.4112200736999512,0.1471949964761734,0.5856800079345703,-0.0837399959564209,10.73015022277832,-0.8224400281906128,8.71087609224399,0.4888499975204468,1.0,0.6249899864196777,baseline_excursion,baseline_excursion,baseline_excursion,True,baseline_excursion,baseline_excursion,baseline_excursion,0.41122,1.0,-0.41122,-0.41122,0.99185,0.73884,0.78861,0.73705,0.71142,0.62946,0.58993,0.56917,0.59489,0.62499,0.62112,0.61625,0.5942,0.51115,baseline_excursion,0.3304713286998657,0.4070916710827274,"57,64,65"
8,traditional_robust_template,42,22973,790277,5765,B4,3101.0,baseline_excursion,626.4071,6.677193,0.6527002,0.010976592,0.05252426,0.5656374,3,0.05930903,2286.5,1,0.39471138,-0.5272493,18.0,"[-0.85714, -0.61754, 0.61754, 1.0, 0.73138, 0.37923, 0.39471, 0.35569, 0.31699, 0.188, 0.11029, 0.05934, 0.10319, 0.15866, -0.08965, -0.26056, -0.38794, -0.52725]",3,3,6,0.36637206759975843,0.059308904620903755,0.3947100043296814,3,-0.5272499918937683,-2.740079879760742,1.857140064239502,0.0357150137424469,-0.31634998321533203,-0.6304399967193604,4.415019989013672,-2.740079879760742,5.254621664504079,1.527250051498413,1.0,0.15865999460220337,dropout,baseline_excursion,dropout,False,baseline_excursion,baseline_excursion,baseline_excursion,-0.85714,-0.61754,0.61754,1.0,0.73138,0.37923,0.39471,0.35569,0.31699,0.188,0.11029,0.05934,0.10319,0.15866,-0.08965,-0.26056,-0.38794,-0.52725,baseline_excursion,0.9472985214116615,0.027353850767981153,"57,64,65"
9,traditional_robust_template,42,16250,783552,15902,B4,2267.5,baseline_excursion,583.681,13.4945965,1.2460182,0.0069809994,0.130817,0.67772985,3,0.0,2129.0,1,0.0,-1.5173098,1.6139162,"[-2.14311, -0.87784, 0.87784, 1.0, 0.30937, -0.28423, -0.24146, -0.41213, -0.53693, -0.77552, -0.86505, -0.9806, -0.85623, -0.74333, -0.69305, -0.78479, -1.18523, -1.51731]",3,2,2,0.8585549493864282,0.0,0.0,3,-1.5173100233078003,-12.896810531616211,3.1431100368499756,-0.2857775092124939,-1.0450949668884277,-0.661080002784729,2.1872100830078125,-12.896810531616211,2.7400934441297324,2.51731014251709,1.0,-0.6930500268936157,dropout,dropout,dropout,True,dropout,dropout,dropout,-2.14311,-0.87784,0.87784,1.0,0.30937,-0.28423,-0.24146,-0.41213,-0.53693,-0.77552,-0.86505,-0.9806,-0.85623,-0.74333,-0.69305,-0.78479,-1.18523,-1.51731,dropout,0.9904926094948354,0.0,"57,64,65"
