reviewer_or_method,selection_method,metric,ci_low,ci_high,n_boot_valid
external_pair,all_gallery,cohen_kappa,0.8821827744904668,0.9471583872299436,5000
external_pair,all_gallery,reviewer_agreement,0.9453125,0.9765625,5000
external_reviewer_alpha,all_gallery,curated_f1,0.9800796812749004,0.9960159362549801,5000
external_reviewer_alpha,all_gallery,curated_precision,0.9609375,0.9920634920634921,5000
external_reviewer_alpha,all_gallery,curated_recall,1.0,1.0,5000
external_reviewer_alpha,all_gallery,exact_agreement,0.703125,0.796875,5000
external_reviewer_alpha,all_gallery,target_f1,0.7460317460317459,0.8433734939759037,5000
external_reviewer_alpha,all_gallery,target_precision,1.0,1.0,5000
external_reviewer_alpha,all_gallery,target_recall,0.5949367088607594,0.7291666666666666,5000
external_reviewer_alpha,ml_pca_ae_isolation,curated_f1,0.9841269841269841,1.0,5000
external_reviewer_alpha,ml_pca_ae_isolation,curated_precision,0.96875,1.0,5000
external_reviewer_alpha,ml_pca_ae_isolation,curated_recall,1.0,1.0,5000
external_reviewer_alpha,ml_pca_ae_isolation,exact_agreement,0.859375,0.953125,5000
external_reviewer_alpha,ml_pca_ae_isolation,target_f1,0.8837209302325582,1.0,5000
external_reviewer_alpha,ml_pca_ae_isolation,target_precision,1.0,1.0,5000
external_reviewer_alpha,ml_pca_ae_isolation,target_recall,0.7916666666666666,1.0,5000
external_reviewer_alpha,traditional_robust_template,curated_f1,0.9718875502008032,0.996078431372549,5000
external_reviewer_alpha,traditional_robust_template,curated_precision,0.9453125,0.9921875,5000
external_reviewer_alpha,traditional_robust_template,curated_recall,1.0,1.0,5000
external_reviewer_alpha,traditional_robust_template,exact_agreement,0.53125,0.640625,5000
external_reviewer_alpha,traditional_robust_template,target_f1,0.0,0.2222222222222222,5000
external_reviewer_alpha,traditional_robust_template,target_precision,0.0,1.0,5000
external_reviewer_alpha,traditional_robust_template,target_recall,0.0,0.125,5000
external_reviewer_beta,all_gallery,curated_f1,0.9718875502008032,0.9960159362549801,5000
external_reviewer_beta,all_gallery,curated_precision,0.9603174603174603,0.9920634920634921,5000
external_reviewer_beta,all_gallery,curated_recall,0.9758064516129032,1.0,5000
external_reviewer_beta,all_gallery,exact_agreement,0.7109375,0.8203125,5000
external_reviewer_beta,all_gallery,target_f1,0.7154471544715447,0.8433734939759037,5000
external_reviewer_beta,all_gallery,target_precision,1.0,1.0,5000
external_reviewer_beta,all_gallery,target_recall,0.5569620253164557,0.7291666666666666,5000
external_reviewer_beta,ml_pca_ae_isolation,curated_f1,0.9841269841269841,1.0,5000
external_reviewer_beta,ml_pca_ae_isolation,curated_precision,0.96875,1.0,5000
external_reviewer_beta,ml_pca_ae_isolation,curated_recall,1.0,1.0,5000
external_reviewer_beta,ml_pca_ae_isolation,exact_agreement,0.859375,0.96875,5000
external_reviewer_beta,ml_pca_ae_isolation,target_f1,0.8837209302325582,1.0,5000
external_reviewer_beta,ml_pca_ae_isolation,target_precision,1.0,1.0,5000
external_reviewer_beta,ml_pca_ae_isolation,target_recall,0.7916666666666666,1.0,5000
external_reviewer_beta,traditional_robust_template,curated_f1,0.959349593495935,0.9921259842519685,5000
external_reviewer_beta,traditional_robust_template,curated_precision,0.9453125,0.9920634920634921,5000
external_reviewer_beta,traditional_robust_template,curated_recall,0.9516129032258065,1.0,5000
external_reviewer_beta,traditional_robust_template,exact_agreement,0.5625,0.671875,5000
external_reviewer_beta,traditional_robust_template,target_f1,0.0,0.0,5000
external_reviewer_beta,traditional_robust_template,target_precision,0.0,0.0,5000
external_reviewer_beta,traditional_robust_template,target_recall,0.0,0.0,5000
ml_loro_random_forest,all_gallery,curated_f1,0.9672131147540985,0.9959514170040485,5000
ml_loro_random_forest,all_gallery,curated_precision,0.975609756097561,1.0,5000
ml_loro_random_forest,all_gallery,curated_recall,0.951417004048583,1.0,5000
ml_loro_random_forest,all_gallery,exact_agreement,0.8984375,0.98828125,5000
