reviewer_or_method,selection_method,n,exact_agreement,target_precision,target_recall,target_f1,curated_precision,curated_recall,curated_f1
external_reviewer_alpha,all_gallery,256,0.75,1.0,0.6557377049180327,0.7920792079207921,0.9763779527559056,1.0,0.9880478087649402
external_reviewer_alpha,ml_pca_ae_isolation,128,0.90625,1.0,0.8863636363636364,0.9397590361445783,0.9841269841269841,1.0,0.9919999999999999
external_reviewer_alpha,traditional_robust_template,128,0.59375,1.0,0.058823529411764705,0.1111111111111111,0.96875,1.0,0.9841269841269841
external_reviewer_beta,all_gallery,256,0.765625,1.0,0.639344262295082,0.78,0.9761904761904762,0.9919354838709677,0.9840000000000001
external_reviewer_beta,ml_pca_ae_isolation,128,0.9140625,1.0,0.8863636363636364,0.9397590361445783,0.9841269841269841,1.0,0.9919999999999999
external_reviewer_beta,traditional_robust_template,128,0.6171875,0.0,0.0,0.0,0.9682539682539683,0.9838709677419355,0.976
traditional_fixed_morphology,all_gallery,256,0.75,1.0,0.6721311475409836,0.8039215686274509,0.9763779527559056,1.0,0.9880478087649402
traditional_fixed_morphology,ml_pca_ae_isolation,128,0.90625,1.0,0.8863636363636364,0.9397590361445783,0.9841269841269841,1.0,0.9919999999999999
traditional_fixed_morphology,traditional_robust_template,128,0.59375,1.0,0.11764705882352941,0.21052631578947367,0.96875,1.0,0.9841269841269841
ml_loro_random_forest,all_gallery,256,0.94921875,0.9333333333333333,0.9180327868852459,0.9256198347107439,0.9878048780487805,0.9798387096774194,0.9838056680161943
ml_loro_random_forest,ml_pca_ae_isolation,128,0.9453125,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.983739837398374,0.9758064516129032,0.979757085020243
ml_loro_random_forest,traditional_robust_template,128,0.953125,0.875,0.8235294117647058,0.8484848484848485,0.991869918699187,0.9838709677419355,0.9878542510121457
