method,value,ci_low,ci_high,n_pair_residuals,s03a_report_value,delta_ns,pass
template_phase_base,2.889152765080617,2.6391527650806132,3.205407715356344,198,2.889152765080617,0.0,True
analytic_timewalk,1.494640076269676,1.3346197774931907,1.624810233092593,198,1.494640076269676,0.0,True
s03b_binned_timewalk,1.5695763825403084,1.3195763825403155,1.8195763825403137,198,1.5695763825403084,0.0,True
ml_ridge_on_template_phase,1.3915306248207993,1.288574320940427,1.6084849788071842,198,1.3915306248207993,0.0,True
