heldout_run,heldout_group,matched_downstream_high_minus_low
44,high_20nA,0.020152848243295288
45,high_20nA,0.02050494089162761
46,low_2nA,0.01925481091346332
47,low_2nA,0.02704696788918906
48,high_20nA,0.02069480332286653
49,high_20nA,0.020164239777843897
50,high_20nA,0.02038897328474279
51,high_20nA,0.020018666482590236
52,high_20nA,0.020317435290679673
53,high_20nA,0.020384339203727668
54,high_20nA,0.020130859645662767
55,high_20nA,0.020169975830988604
56,high_20nA,0.02024291025733819
57,high_20nA,0.02021710889733565
