C,cv_mode,validation_brier,validation_auc,n,heldout_run,selected
0.1,group_kfold,0.2356868781446598,0.6316152774447598,11676,44,True
1.0,group_kfold,0.23587899545446142,0.6303440289905794,11676,44,False
10.0,group_kfold,0.235931252918323,0.6300693111639011,11676,44,False
0.1,group_kfold,0.23019535822959986,0.6508715799347016,11676,45,True
1.0,group_kfold,0.23035767968463408,0.6496422007893612,11676,45,False
10.0,group_kfold,0.2304002364425363,0.6493824467661226,11676,45,False
0.1,stratified_row_fallback_one_low_run,0.229611655764919,0.6602701291988364,10322,46,True
1.0,stratified_row_fallback_one_low_run,0.2296487264673092,0.6602807914920606,10322,46,False
10.0,stratified_row_fallback_one_low_run,0.22966444045987078,0.6602705421749825,10322,46,False
0.1,stratified_row_fallback_one_low_run,0.22259698753518473,0.6919919970152445,1354,47,False
1.0,stratified_row_fallback_one_low_run,0.22206430130871851,0.6957120321864861,1354,47,False
10.0,stratified_row_fallback_one_low_run,0.22200267317630584,0.697064772248756,1354,47,True
0.1,group_kfold,0.2347650396123236,0.6385986204429497,11676,48,True
1.0,group_kfold,0.23495918916415529,0.6376777597155867,11676,48,False
10.0,group_kfold,0.23503072863107588,0.6375232804506652,11676,48,False
0.1,group_kfold,0.23936849463803228,0.6230756695480497,11676,49,True
1.0,group_kfold,0.23962549430503752,0.6220903764435228,11676,49,False
10.0,group_kfold,0.23967268509612635,0.621959399152239,11676,49,False
0.1,group_kfold,0.23657517248626908,0.6299377177160048,11676,50,True
1.0,group_kfold,0.23671445869706914,0.6287909622382845,11676,50,False
10.0,group_kfold,0.23675515122337137,0.6286333728495108,11676,50,False
0.1,group_kfold,0.2348689253204578,0.638082868017728,11676,51,True
1.0,group_kfold,0.2350004409933923,0.6373898972145144,11676,51,False
10.0,group_kfold,0.23505215089510884,0.637242078309163,11676,51,False
0.1,group_kfold,0.2364820984837938,0.6303380728099944,11676,52,True
1.0,group_kfold,0.23670233551071623,0.6288930975319582,11676,52,False
10.0,group_kfold,0.23676671216242956,0.6286137145195018,11676,52,False
0.1,group_kfold,0.23618001537691904,0.632079360736928,11676,53,True
1.0,group_kfold,0.2364537480430097,0.6305246509003339,11676,53,False
10.0,group_kfold,0.2365402581716548,0.6301378805926042,11676,53,False
0.1,group_kfold,0.23946057416424066,0.619099464225419,11676,54,True
1.0,group_kfold,0.23972698466482928,0.6177045736777191,11676,54,False
10.0,group_kfold,0.23980718883831412,0.6174328192709377,11676,54,False
0.1,group_kfold,0.23503570618782268,0.6341999370698713,11676,55,True
1.0,group_kfold,0.23530109373824526,0.6327274988114046,11676,55,False
10.0,group_kfold,0.23536930105202872,0.6324247605292657,11676,55,False
0.1,group_kfold,0.2406855039890705,0.6169049490990088,11676,56,True
1.0,group_kfold,0.24084023892078238,0.6164577367616991,11676,56,False
10.0,group_kfold,0.24089302157787085,0.6164942953873578,11676,56,False
0.1,group_kfold,0.2342262354141942,0.6409283085937652,11676,57,True
1.0,group_kfold,0.2344881284072108,0.6398187278983156,11676,57,False
10.0,group_kfold,0.2345531182626735,0.6395665144583789,11676,57,False
