atom,stave,n_total,runs_present,effective_runs,max_run_fraction,sample_i_fraction,sample_ii_fraction,sample_balance_absdiff,prevalence_ci_low,prevalence_ci_high,support_ci_width,harm_rate,harm_ci_low,harm_ci_high,traditional_pass,traditional_decision
baseline_excursion,B2,23032,33,24.291066559808012,0.07077110107676277,1.0,0.2847342827370615,0.7152657172629385,0.033547682079023124,0.03441174253926176,0.0008640604602386387,0.8963181660298715,0.8923093223239222,0.9002266829533025,False,defer
baseline_excursion,B4,2320,32,12.217289062003468,0.15129310344827587,1.0,0.6668103448275862,0.33318965517241383,0.03829608476102782,0.04149291432923303,0.0031968295682052103,0.8258620689655173,0.8098065661348184,0.8410900791055783,False,defer
baseline_excursion,B6,909,32,9.328813521050433,0.18811881188118812,1.0,0.7337733773377337,0.26622662266226627,0.025065680211434408,0.028527371639728915,0.003461691428294507,0.8272827282728272,0.8011099090394551,0.8513136829860379,False,defer
baseline_excursion,B8,546,30,7.752132307052215,0.21062271062271062,1.0,0.815018315018315,0.184981684981685,0.03453423769367574,0.04078679318608733,0.006252555492411591,0.8388278388278388,0.8052522341846223,0.8686821268084937,False,defer
delayed_peak,B2,6229,33,24.45510239197176,0.0635736073205972,1.0,0.4212554182051694,0.5787445817948307,0.00896347777728379,0.009419266241718226,0.00045578846443443573,0.18670733665114786,0.17709841432504173,0.19661052452463118,False,defer
delayed_peak,B4,5433,33,27.298629126008873,0.0522731455917541,1.0,0.3108779679734953,0.6891220320265047,0.09101904972445192,0.09576433986283209,0.004745290138380168,0.5646972206883858,0.5513898422678306,0.5779350493698437,False,defer
delayed_peak,B6,2306,32,26.625988904244025,0.060277536860364266,1.0,0.3326105810928014,0.6673894189071986,0.06522308605752226,0.07060194211282224,0.005378856055299974,0.5533391153512576,0.5327743112028449,0.5737682225669664,False,defer
delayed_peak,B8,1000,32,25.81311306143521,0.069,1.0,0.34,0.6599999999999999,0.06474127687990337,0.07304070609441368,0.00829942921451031,0.574,0.5426711369656402,0.6048919473777103,False,defer
secondary_delayed_peak,B2,137341,33,27.42964335737585,0.0527737529215602,1.0,0.3440851602944496,0.6559148397055504,0.20165455918678077,0.20356974099955785,0.0019151818127770837,0.3392286352946316,0.33672449353713263,0.3417395661958836,False,defer
secondary_delayed_peak,B8,4167,33,11.781561372190207,0.156227501799856,1.0,0.6724262059035278,0.32757379409647225,0.2793638564242119,0.294135675424974,0.014771819000762076,0.49268058555315575,0.477390639710273,0.507980801871363,False,defer
