atom,stave,n_total,runs_present,timing_tail_rate,timing_tail_rate_ci_low,timing_tail_rate_ci_high,charge_res68_proxy,charge_res68_proxy_ci_low,charge_res68_proxy_ci_high,charge_bias_abs_mean,charge_bias_abs_mean_ci_low,charge_bias_abs_mean_ci_high,pileup_excess_proxy,pileup_excess_proxy_ci_low,pileup_excess_proxy_ci_high,qshape_abs_mean,qshape_abs_mean_ci_low,qshape_abs_mean_ci_high
saturation_boundary,B2,436614,33,0.00960573870741662,0.008370163596234029,0.011410775487385482,0.23805178833857324,0.22550937538600566,0.2554380393320229,1.1610132082216347,1.1225060805352005,1.191987218998312,0.9858907628384932,0.9749594600311973,1.001915554491984,0.08825331814063338,0.07867621797801004,0.10071853536681977
secondary_delayed_peak,B2,137341,33,0.014198236506214459,0.012319170422284115,0.016559526208533376,0.3901469301491835,0.37620856840189143,0.4052492995072164,0.49751931974220226,0.47488903286671874,0.5254248434762853,1.111646515874448,1.1085626118241658,1.1147651700171763,0.17126568369548364,0.16510860276290687,0.17826332337825782
baseline_excursion,B2,23032,33,0.03278047933310177,0.017565053184766918,0.05041749847840924,0.5908791970864494,0.5813674587138064,0.6009969697075151,0.4351236146432309,0.412143603829238,0.4556358542666925,0.6341109104883597,0.6084355825783151,0.6632384908680644,0.7869232096208574,0.7419358625065693,0.8271595664876837
secondary_delayed_peak,B4,21144,33,0.11341278849791903,0.07954410900318984,0.16829215641734063,0.28456633421498856,0.2763767745461292,0.2980749118909398,0.42788002503938005,0.41718060266025714,0.4467853239633734,1.1932756968525757,1.1761084423790906,1.22692393554512,0.21773363236576465,0.20903568077040333,0.23684342041010423
rare_s03f_topology,B6,14820,33,0.1427800269905533,0.10064394233348221,0.2239433452535117,0.3399512798080299,0.33503744900110555,0.3507805560499178,0.5023251874444583,0.44996429631204804,0.5638915941797896,1.1442246078100233,1.1246697402297416,1.185629808156783,0.21438450212251658,0.20276079723415288,0.24150151843490691
rare_s03f_topology,B4,14681,33,0.1441318711259451,0.1017946567994024,0.22921408183281355,0.2809147722040435,0.27601821173899127,0.2882362854424712,0.3215990505411954,0.30115876610511066,0.35331336901610516,1.1500213816653548,1.1259083573456525,1.1975665967502498,0.2415087754638468,0.22965134132613188,0.2676007312888248
dropout_subclass,B2,14633,33,0.02296179867422948,0.015624498298227587,0.0325295711721311,0.30267474926277305,0.28920467683439355,0.313471659875268,0.26416709992588394,0.25292948097614,0.2778563413375614,0.23414934775189924,0.20009979245129839,0.27958682221118625,1.624966147042967,1.5633862454044467,1.672072256062482
qtemplate_shift_proxy,B2,13668,33,0.01997366110623354,0.015299767559098853,0.025919056153672154,0.28837339915601057,0.27887318777369274,0.296317350012654,0.27330019428430535,0.2610151685290222,0.2875578676711546,0.20634840015782707,0.17215747639335954,0.24877841189832817,1.7004872746204716,1.6529638384901504,1.7399797857711656
saturation_boundary,B4,10277,33,0.14245402354772793,0.10247399198619864,0.20786760644630736,0.17077790331121206,0.16585509802357526,0.17643796103745316,0.8829503315745111,0.8662935284282871,0.9054682927101966,1.1689735104557148,1.1520470697249312,1.1927998840005742,0.19632491020884282,0.18277974334020233,0.21852959764591495
secondary_delayed_peak,B6,10095,33,0.1030212976721149,0.07498347063796464,0.15225256265464548,0.29196334431474313,0.27974227876051755,0.30777396190849143,0.5256419612657516,0.4927911992213269,0.5629029369439061,1.1819081127577336,1.1675559713837662,1.2150785400623731,0.20027945703419014,0.1928281158316697,0.21428603648386083
