blind_id,run,eventno,evt,event_index,group,stave,stave_index,channel,amplitude_adc,dup_amplitude_adc,dup_cfd20_sample,peak_sample,area_norm,late_fraction,early_fraction,width_half,baseline_mad,baseline_slope,raw_max_adc,saturation_count,secondary_peak,secondary_sep,post_peak_min,undershoot_area,cfd20_sample,timing_span_dup,amplitude_log,dup_amplitude_log,baseline_mad_log,baseline_slope_scaled,baseline_slope_abs_scaled,charge_bias_log,charge_bias_abs,dropout_depth,secondary_fraction,timing_tail_gt5,dropout_harm,cfd20_centered,n_selected_event,downstream_any,three_stave_event,current_group,current_nA,taxon,label_baseline_excursion,label_pileup_or_long_tail,q_template_rmse,template_bin,_row,subtype_true,ledger_subtype_visible_to_reviewer
P09I0000,47,55805,1470,1872,sample_i_analysis,B2,0,0,6665.5,4033.5,,5,4.1122193,0.17880999,0.115025125,4,2000.5,5250.0,15750.0,1,0.98019654,2,-1.3629135,-1.3629135,1.8910531,18.0,8.804851,8.302638,7.601652,5.25,5.25,0.5022125,0.5022125,1.3629135,0.17526893,True,True,-2.1905737,1,0,0,low_2nA,2.0,baseline_excursion,True,False,0.6292183,4,276706,rising_edge_distortion,False
P09I0001,50,131997,6441,3012,sample_i_analysis,B2,0,0,7589.0,5580.5,,4,6.0449333,0.2220015,0.16920936,3,1479.0,8323.0,15859.0,1,0.4412966,2,0.13796285,0.0,2.0128238,18.0,8.934587,8.627213,7.2997975,8.323,8.323,0.307374,0.307374,-0.0,0.097968504,True,False,-2.068803,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.3685845,5,312182,tail_recovery_dropout,False
P09I0002,57,359079,12592,1428,sample_i_analysis,B2,0,0,5810.5,4608.0,,4,6.551415,0.20093472,0.16462922,4,1294.0,6758.0,13873.0,1,0.5279236,3,0.03949746,0.0,1.9606024,18.0,8.667594,8.435766,7.166266,6.758,6.758,0.23182774,0.23182774,-0.0,0.10607818,True,False,-2.1210246,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.39683616,4,487805,rising_edge_distortion,False
P09I0003,45,35378,16207,31070,sample_i_analysis,B2,0,0,3834.5,5274.0,,7,-5.5923853,0.0,0.38207546,4,2916.0,7958.0,15190.0,1,0.8875994,4,-0.32924762,-1.8291824,1.6578958,18.0,8.252055,8.570734,7.978311,7.958,7.958,-0.31867886,0.31867886,0.32924762,0.0,True,True,-2.423731,1,0,0,high_20nA,20.0,baseline_excursion,True,False,1.3921474,3,266284,pretrigger_slope,False
P09I0004,57,359589,13074,1938,sample_i_analysis,B2,0,0,2773.5,4825.0,0.0,3,-2.8552372,0.0,0.6065462,3,2441.5,6427.0,13201.0,1,0.21002343,3,-0.9614206,-3.6800072,1.6314766,1.6314766,7.928226,8.481773,7.8007774,6.427,6.427,-0.5535474,0.5535474,0.9614206,0.0,False,True,-2.4501503,1,0,0,high_20nA,20.0,baseline_excursion,True,False,0.878414,3,488039,early_sample_offset,False
P09I0005,56,309675,15580,3854,sample_i_analysis,B2,0,0,5936.0,3738.0,,4,0.79127353,0.16365394,0.1556359,3,2138.0,5496.0,15418.0,1,0.7481469,3,-1.5973719,-3.1947439,1.8795396,18.0,8.688959,8.226574,7.6680937,5.496,5.496,0.46238518,0.46238518,1.5973719,0.12243719,True,True,-2.2020874,2,1,0,high_20nA,20.0,baseline_excursion,True,False,0.9172604,4,449959,tail_recovery_dropout,False
P09I0006,48,88632,15612,23724,sample_i_analysis,B2,0,0,3195.0,5723.5,0.0,3,-5.7233176,0.0,0.79266256,2,2852.0,7875.0,14690.0,1,0.0,3,-1.0403756,-5.7255087,1.6273416,1.6273416,8.069655,8.652511,7.956126,7.875,7.875,-0.5828552,0.5828552,1.0403756,0.0,False,True,-2.4542851,1,0,0,high_20nA,20.0,baseline_excursion,True,False,1.0321827,3,291511,pretrigger_slope,False
P09I0007,47,64878,9943,10942,sample_i_analysis,B2,0,0,1582.5,5156.5,3.2167618,2,-27.162716,0.0,1.0,2,1225.0,6452.0,14414.0,1,0.0,2,-3.142812,-24.633806,1.4832653,1.7334965,7.367393,8.548207,7.111512,6.452,6.452,-1.1808143,1.1808143,3.142812,0.0,False,True,-2.5983615,1,0,0,low_2nA,2.0,baseline_excursion,True,False,2.2428923,2,281066,early_sample_offset,False
P09I0008,50,163119,2689,34132,sample_i_analysis,B2,0,0,3191.5,5975.5,0.0,3,-6.555852,0.0,0.78980196,2,2881.0,8241.0,15022.0,1,0.0,3,-1.105593,-6.454175,1.6241587,1.6241587,8.06856,8.69559,7.96624,8.241,8.241,-0.6270304,0.6270304,1.105593,0.0,False,True,-2.457468,1,0,0,high_20nA,20.0,baseline_excursion,True,False,1.0878842,3,336651,pretrigger_slope,False
P09I0009,48,83512,10861,18604,sample_i_analysis,B2,0,0,3525.0,3477.0,0.0,6,-5.39234,0.0,0.2762505,2,1643.0,6565.0,15386.0,1,0.98865247,2,-0.5202837,-3.5458157,1.7159927,1.7159927,8.167919,8.154213,7.4048877,6.565,6.565,0.013706207,0.013706207,0.5202837,0.0,False,True,-2.3656342,1,0,0,high_20nA,20.0,baseline_excursion,True,False,1.219543,3,288858,peak_phase_late,False
