method,n_eval,n_runs,calibrated_f1,balanced_accuracy,curated_precision,curated_recall,average_precision,action_rate
traditional_train_frozen_cuts,187,13,0.22797927461139894,0.5484848484848485,0.1286549707602339,1.0,0.18911632571395834,0.9144385026737968
ridge,187,13,0.22459893048128343,0.5409090909090909,0.12727272727272726,0.9545454545454546,0.16311712095896655,0.8823529411764706
gradient_boosted_trees,187,13,0.22335025380710663,0.5363636363636364,0.12571428571428572,1.0,0.17036926771252217,0.9358288770053476
temporal_gate_cnn_new,187,13,0.22105263157894736,0.5318181818181819,0.125,0.9545454545454546,0.18110100139946245,0.8983957219251337
cnn_1d,187,13,0.21714285714285714,0.5257575757575758,0.12418300653594772,0.8636363636363636,0.17684230990701877,0.8181818181818182
mlp,187,13,0.21153846153846156,0.503030303030303,0.11827956989247312,1.0,0.1567999831971484,0.9946524064171123
