# NIST PSTAR proton stopping-power table for POLYSTYRENE (reference data).
# Source: NIST PSTAR database, https://physics.nist.gov/PhysRefData/Star/Text/PSTAR.html
# Queried: 2026-07-23. Material: Polystyrene (matno=226). Method: ICRU Report 49 / NISTIR 4999.
# Density used by NIST for polystyrene: rho = 1.060 g/cm^3.
# Columns are MASS stopping powers [MeV cm^2/g] and MASS ranges [g/cm^2].
# Fetched on Mac (network allowed); committed as static data so the LUNARC
# comparison script is strictly no-network (HARD RULE: no network from LUNARC).
# For deuterons, use velocity scaling: S_deuteron(E) ~= S_proton(E/2) (same z=1, same v).
energy_MeV,electronic_MeV_cm2_g,nuclear_MeV_cm2_g,total_MeV_cm2_g,csda_range_g_cm2,projected_range_g_cm2,detour_factor
0.001,186,40.73,226.8,5.4e-06,2.603e-06,0.48210
0.0015,227.8,32.79,260.6,7.439e-06,3.905e-06,0.52490
0.002,263.1,27.79,290.9,9.254e-06,5.165e-06,0.55820
0.0025,294.1,24.29,318.4,1.089e-05,6.373e-06,0.58490
0.003,322.2,21.68,343.9,1.24e-05,7.531e-06,0.60710
0.004,372.1,17.99,390,1.513e-05,9.718e-06,0.64230
0.005,416,15.49,431.5,1.756e-05,1.175e-05,0.66920
0.006,455.7,13.66,469.3,1.979e-05,1.367e-05,0.69070
0.007,492.2,12.25,504.4,2.184e-05,1.547e-05,0.70840
0.008,526.2,11.14,537.3,2.376e-05,1.719e-05,0.72340
0.009,558.1,10.23,568.3,2.557e-05,1.882e-05,0.73620
0.01,588.3,9.469,597.7,2.728e-05,2.039e-05,0.74740
0.0125,645.3,8.022,653.3,3.127e-05,2.409e-05,0.77040
0.015,693.8,6.99,700.7,3.497e-05,2.756e-05,0.78830
0.0175,735.8,6.212,742,3.843e-05,3.085e-05,0.80280
0.02,772.4,5.602,778,4.172e-05,3.4e-05,0.81490
0.0225,804.5,5.11,809.6,4.487e-05,3.702e-05,0.82520
0.025,832.6,4.704,837.3,4.79e-05,3.996e-05,0.83410
