split_name,method,joint_loss,pid_separation,energy_scale,pileup_sideband,saturation_clipping,pedestal_noise_color,pulse_shape_harmonics,mean_joint_loss
particle_heldout,gradient_boosted_trees,0.09673056587645015,0.9331190694827058,0.11845362248442608,0.9958960328317373,1.0,0.6132723112128147,1.0,0.06952142300981579
run_heldout,gradient_boosted_trees,0.042312280143181405,0.9985086188474962,0.13912369136461103,0.9995847446586763,0.9894600557997046,0.9388206067842902,1.0,0.06952142300981579
particle_heldout,ridge,0.1315099110661517,0.9318251384367087,0.11875354290008545,0.9978720170238639,0.7935818385650224,0.5961556064073226,0.8816539626187742,0.09483809540483211
run_heldout,ridge,0.058166279743512524,0.9906733029418049,0.14287952037528157,0.9993079077644607,0.9036087456007585,0.9148978513440251,0.9904378255208334,0.09483809540483211
particle_heldout,traditional_dE_E_tail_pedestal_likelihood,0.13769014778904756,0.9198875810446059,0.12274965994982956,0.9978530171758626,0.790779147982063,0.5853546910755149,0.8834290487626605,0.09896386861990697
run_heldout,traditional_dE_E_tail_pedestal_likelihood,0.06023758945076638,0.9913099223591424,0.14911248942779848,0.9993079077644607,0.9001622932584474,0.9114185521448815,0.9902682834201388,0.09896386861990697
particle_heldout,mlp,0.2792326243206605,0.795684113865932,0.3324403536319733,0.9353055175558597,0.65625,0.4977116704805492,0.6834708154954579,0.21430448318169537
run_heldout,mlp,0.14937634204273026,0.9205872925422038,0.29044816419482233,0.9857998957790515,0.8053575010485239,0.8479608012681943,0.8515624999999999,0.21430448318169537
particle_heldout,spectral_transformer_new,0.28689480850560944,0.5723349194423575,0.1767889138225722,0.8985218118255054,0.8643497757847534,0.6353318077803204,0.6188994465907904,0.31594545721847345
run_heldout,spectral_transformer_new,0.3449961059313375,0.6009776337345965,0.422571285749771,0.8381969775924961,0.6383413264282718,0.7105456392097119,0.7442491319444444,0.31594545721847345
particle_heldout,1d_cnn,0.3513895893639669,0.41775885577538474,0.17194468052183942,0.8629920960632315,0.8448710762331839,0.4750572082379863,0.7114127597368696,0.3495804947777632
run_heldout,1d_cnn,0.34777140019155944,0.5912903340693781,0.4295949520529424,0.6978081031787389,0.7867575995185908,0.695523576198025,0.8024291992187501,0.3495804947777632
