split_name,endpoint,method,auc,ece,n,positives
particle_heldout,pedestal_noise_color,1d_cnn,0.4750572082379863,0.43546936805971576,462,25
particle_heldout,pedestal_noise_color,gradient_boosted_trees,0.6132723112128147,0.014155322226678256,462,25
particle_heldout,pedestal_noise_color,mlp,0.4977116704805492,0.4468876994745888,462,25
particle_heldout,pedestal_noise_color,ridge,0.5961556064073226,0.2543253948898967,462,25
particle_heldout,pedestal_noise_color,spectral_transformer_new,0.6353318077803204,0.4073272756087913,462,25
particle_heldout,pedestal_noise_color,traditional_dE_E_tail_pedestal_likelihood,0.5853546910755149,0.256305431186085,462,25
particle_heldout,pid_separation,1d_cnn,0.41775885577538474,0.3252194023635624,462,99
particle_heldout,pid_separation,gradient_boosted_trees,0.9331190694827058,0.20085167110546265,462,99
particle_heldout,pid_separation,mlp,0.795684113865932,0.3977426874742882,462,99
particle_heldout,pid_separation,ridge,0.9318251384367087,0.26863588429250784,462,99
particle_heldout,pid_separation,spectral_transformer_new,0.5723349194423575,0.31164329165303717,462,99
particle_heldout,pid_separation,traditional_dE_E_tail_pedestal_likelihood,0.9198875810446059,0.262791568768371,462,99
particle_heldout,pileup_sideband,1d_cnn,0.8629920960632315,0.03751212802164932,462,204
particle_heldout,pileup_sideband,gradient_boosted_trees,0.9958960328317373,0.04059947696620255,462,204
particle_heldout,pileup_sideband,mlp,0.9353055175558597,0.3243729186954305,462,204
particle_heldout,pileup_sideband,ridge,0.9978720170238639,0.27264258187862245,462,204
particle_heldout,pileup_sideband,spectral_transformer_new,0.8985218118255054,0.3226524572012947,462,204
particle_heldout,pileup_sideband,traditional_dE_E_tail_pedestal_likelihood,0.9978530171758626,0.2710478769057677,462,204
particle_heldout,pulse_shape_harmonics,1d_cnn,0.7114127597368696,0.18675974727531275,462,305
particle_heldout,pulse_shape_harmonics,gradient_boosted_trees,1.0,0.039237778239537294,462,305
particle_heldout,pulse_shape_harmonics,mlp,0.6834708154954579,0.08065299999530134,462,305
particle_heldout,pulse_shape_harmonics,ridge,0.8816539626187742,0.20819577996684163,462,305
particle_heldout,pulse_shape_harmonics,spectral_transformer_new,0.6188994465907904,0.17407766603729727,462,305
particle_heldout,pulse_shape_harmonics,traditional_dE_E_tail_pedestal_likelihood,0.8834290487626605,0.21695258283113886,462,305
particle_heldout,saturation_clipping,1d_cnn,0.8448710762331839,0.430354974855519,462,16
particle_heldout,saturation_clipping,gradient_boosted_trees,1.0,0.016648141347853466,462,16
particle_heldout,saturation_clipping,mlp,0.65625,0.47368984222261895,462,16
particle_heldout,saturation_clipping,ridge,0.7935818385650224,0.37769751201702756,462,16
particle_heldout,saturation_clipping,spectral_transformer_new,0.8643497757847534,0.47817878256998486,462,16
particle_heldout,saturation_clipping,traditional_dE_E_tail_pedestal_likelihood,0.790779147982063,0.3796160971632324,462,16
run_heldout,pedestal_noise_color,1d_cnn,0.695523576198025,0.30416437357622206,960,189
run_heldout,pedestal_noise_color,gradient_boosted_trees,0.9388206067842902,0.03735118155959924,960,189
run_heldout,pedestal_noise_color,mlp,0.8479608012681943,0.4019613099691972,960,189
run_heldout,pedestal_noise_color,ridge,0.9148978513440251,0.3031388131995968,960,189
run_heldout,pedestal_noise_color,spectral_transformer_new,0.7105456392097119,0.30649538190793696,960,189
run_heldout,pedestal_noise_color,traditional_dE_E_tail_pedestal_likelihood,0.9114185521448815,0.30659762804834856,960,189
run_heldout,pid_separation,1d_cnn,0.5912903340693781,0.07403271617227303,960,556
run_heldout,pid_separation,gradient_boosted_trees,0.9985086188474962,0.05322860077459267,960,556
run_heldout,pid_separation,mlp,0.9205872925422038,0.2871658334692574,960,556
run_heldout,pid_separation,ridge,0.9906733029418049,0.26663038842665815,960,556
run_heldout,pid_separation,spectral_transformer_new,0.6009776337345965,0.07748065721827893,960,556
