split_name,endpoint,method,pileup_flag,saturation_flag,energy_bin,metric,metric_value,ci_low,ci_high,n,runs
particle_heldout,energy_scale,gradient_boosted_trees,single_proxy,linear_proxy,energy_high,sigma68,0.11528159088123315,0.10014345901537083,0.14754476192295268,231,32
particle_heldout,energy_scale,gradient_boosted_trees,pileup_proxy,linear_proxy,energy_high,sigma68,0.11166929673171959,0.08886520966240487,0.12880148126632823,192,31
particle_heldout,pid_separation,gradient_boosted_trees,single_proxy,linear_proxy,energy_high,auc,0.8802580861404392,0.8604695647915485,0.8987171855921856,231,32
particle_heldout,pid_separation,gradient_boosted_trees,pileup_proxy,linear_proxy,energy_high,auc,0.9898395721925134,0.9767971461949265,1.0,192,31
particle_heldout,pileup_sideband,gradient_boosted_trees,single_proxy,linear_proxy,energy_high,auc,,,,231,32
particle_heldout,pileup_sideband,gradient_boosted_trees,pileup_proxy,linear_proxy,energy_high,auc,,,,192,31
particle_heldout,saturation_clipping,gradient_boosted_trees,single_proxy,linear_proxy,energy_high,auc,,,,231,32
particle_heldout,saturation_clipping,gradient_boosted_trees,pileup_proxy,linear_proxy,energy_high,auc,,,,192,31
run_heldout,energy_scale,gradient_boosted_trees,single_proxy,linear_proxy,energy_low,sigma68,0.14763665142022453,0.10768463908637829,0.17870281718518188,270,8
run_heldout,energy_scale,gradient_boosted_trees,single_proxy,linear_proxy,energy_high,sigma68,0.14239951798878553,0.10761980446579283,0.22089686937826933,253,8
run_heldout,energy_scale,gradient_boosted_trees,single_proxy,linear_proxy,energy_mid,sigma68,0.10219276946853409,0.07096440033806294,0.14972533567038218,231,8
run_heldout,energy_scale,gradient_boosted_trees,pileup_proxy,linear_proxy,energy_mid,sigma68,0.056518138203652105,0.04549099856698486,0.08713273679521961,65,8
run_heldout,energy_scale,gradient_boosted_trees,pileup_proxy,linear_proxy,energy_low,sigma68,0.07294551609854501,0.06217198303500224,0.08940767375920333,44,8
run_heldout,energy_scale,gradient_boosted_trees,pileup_proxy,linear_proxy,energy_high,sigma68,0.06553304165673712,0.035547973331109005,0.1928047396607156,36,7
run_heldout,energy_scale,gradient_boosted_trees,single_proxy,saturation_proxy,energy_mid,sigma68,0.09525788106139815,0.02167539199294011,0.09722738613800853,27,6
run_heldout,energy_scale,gradient_boosted_trees,single_proxy,saturation_proxy,energy_high,sigma68,0.3416560675965015,0.167321912934066,0.4456850283830873,25,7
run_heldout,pid_separation,gradient_boosted_trees,single_proxy,linear_proxy,energy_low,auc,0.9991139464823675,0.9963294324722896,1.0,270,8
run_heldout,pid_separation,gradient_boosted_trees,single_proxy,linear_proxy,energy_high,auc,0.9949967083607636,0.9912023864197992,0.9986535647637271,253,8
run_heldout,pid_separation,gradient_boosted_trees,single_proxy,linear_proxy,energy_mid,auc,0.9997649823736781,0.9992785163325661,1.0,231,8
run_heldout,pid_separation,gradient_boosted_trees,pileup_proxy,linear_proxy,energy_mid,auc,1.0,1.0,1.0,65,8
run_heldout,pid_separation,gradient_boosted_trees,pileup_proxy,linear_proxy,energy_low,auc,1.0,1.0,1.0,44,8
run_heldout,pid_separation,gradient_boosted_trees,pileup_proxy,linear_proxy,energy_high,auc,1.0,1.0,1.0,36,7
run_heldout,pid_separation,gradient_boosted_trees,single_proxy,saturation_proxy,energy_mid,auc,1.0,1.0,1.0,27,6
run_heldout,pid_separation,gradient_boosted_trees,single_proxy,saturation_proxy,energy_high,auc,1.0,1.0,1.0,25,7
run_heldout,pileup_sideband,gradient_boosted_trees,single_proxy,linear_proxy,energy_low,auc,,,,270,8
run_heldout,pileup_sideband,gradient_boosted_trees,single_proxy,linear_proxy,energy_high,auc,,,,253,8
run_heldout,pileup_sideband,gradient_boosted_trees,single_proxy,linear_proxy,energy_mid,auc,,,,231,8
run_heldout,pileup_sideband,gradient_boosted_trees,pileup_proxy,linear_proxy,energy_mid,auc,,,,65,8
run_heldout,pileup_sideband,gradient_boosted_trees,pileup_proxy,linear_proxy,energy_low,auc,,,,44,8
run_heldout,pileup_sideband,gradient_boosted_trees,pileup_proxy,linear_proxy,energy_high,auc,,,,36,7
run_heldout,pileup_sideband,gradient_boosted_trees,single_proxy,saturation_proxy,energy_mid,auc,,,,27,6
run_heldout,pileup_sideband,gradient_boosted_trees,single_proxy,saturation_proxy,energy_high,auc,,,,25,7
run_heldout,saturation_clipping,gradient_boosted_trees,single_proxy,linear_proxy,energy_low,auc,,,,270,8
run_heldout,saturation_clipping,gradient_boosted_trees,single_proxy,linear_proxy,energy_high,auc,,,,253,8
run_heldout,saturation_clipping,gradient_boosted_trees,single_proxy,linear_proxy,energy_mid,auc,,,,231,8
run_heldout,saturation_clipping,gradient_boosted_trees,pileup_proxy,linear_proxy,energy_mid,auc,,,,65,8
run_heldout,saturation_clipping,gradient_boosted_trees,pileup_proxy,linear_proxy,energy_low,auc,,,,44,8
run_heldout,saturation_clipping,gradient_boosted_trees,pileup_proxy,linear_proxy,energy_high,auc,,,,36,7
run_heldout,saturation_clipping,gradient_boosted_trees,single_proxy,saturation_proxy,energy_mid,auc,,,,27,6
run_heldout,saturation_clipping,gradient_boosted_trees,single_proxy,saturation_proxy,energy_high,auc,,,,25,7
