split_name,endpoint,method,kind,n,positives,metric_value,ci_low,ci_high,average_precision
run_heldout,pid_separation,gradient_boosted_trees,classification,960,556,0.9985086188474962,0.9974682604652927,0.999383015549813,0.9988913725372267
run_heldout,pid_separation,traditional_dE_E_tail_pedestal_likelihood,classification,960,556,0.9913099223591424,0.9870567724687511,0.9944374985159328,0.986236380901339
run_heldout,pid_separation,ridge,classification,960,556,0.9906733029418049,0.9870479478009913,0.9940597658486228,0.9858508530880429
run_heldout,pid_separation,mlp,classification,960,556,0.9205872925422038,0.9056961799773005,0.9346815955959797,0.9049395881907992
run_heldout,pid_separation,spectral_transformer_new,classification,960,556,0.6009776337345965,0.5620534942527723,0.6271635138877504,0.6522290747988226
run_heldout,pid_separation,1d_cnn,classification,960,556,0.5912903340693781,0.5609583201185573,0.6242877604559635,0.6371482447610031
run_heldout,energy_scale,gradient_boosted_trees,regression,960,,0.13912369136461103,0.10314243029984292,0.21120206803987854,
run_heldout,energy_scale,ridge,regression,960,,0.14287952037528157,0.10981856545386835,0.22521847254969174,
run_heldout,energy_scale,traditional_dE_E_tail_pedestal_likelihood,regression,960,,0.14911248942779848,0.12691069228243215,0.16087767428614846,
run_heldout,energy_scale,mlp,regression,960,,0.29044816419482233,0.25963827391993255,0.32728148481994845,
run_heldout,energy_scale,spectral_transformer_new,regression,960,,0.422571285749771,0.39464898759045425,0.44671871145350633,
run_heldout,energy_scale,1d_cnn,regression,960,,0.4295949520529424,0.39667289578413883,0.44988290098989714,
run_heldout,pileup_sideband,gradient_boosted_trees,classification,960,152,0.9995847446586763,0.9990335849176921,0.9999999999999999,0.997732902988204
run_heldout,pileup_sideband,ridge,classification,960,152,0.9993079077644607,0.9987105251834498,0.9998850890555226,0.9964517217235015
run_heldout,pileup_sideband,traditional_dE_E_tail_pedestal_likelihood,classification,960,152,0.9993079077644607,0.9985347956150277,0.9998192605011682,0.9964517217235015
run_heldout,pileup_sideband,mlp,classification,960,152,0.9857998957790515,0.9740262224710714,0.9942304982642163,0.9394019905533064
run_heldout,pileup_sideband,spectral_transformer_new,classification,960,152,0.8381969775924961,0.799348477378839,0.8639970485179456,0.4608972823267799
run_heldout,pileup_sideband,1d_cnn,classification,960,152,0.6978081031787389,0.6549610760923342,0.724757934018774,0.39857663974629015
run_heldout,saturation_clipping,gradient_boosted_trees,classification,960,61,0.9894600557997046,0.9582479445545008,0.997883441370428,0.9496988594741461
run_heldout,saturation_clipping,ridge,classification,960,61,0.9036087456007585,0.7607932378880272,0.9662350113656007,0.6668673843223593
run_heldout,saturation_clipping,traditional_dE_E_tail_pedestal_likelihood,classification,960,61,0.9001622932584474,0.7493342654447139,0.9617111476077846,0.6749355323157639
run_heldout,saturation_clipping,mlp,classification,960,61,0.8053575010485239,0.6416376684447423,0.8692412019632415,0.507063050630088
run_heldout,saturation_clipping,1d_cnn,classification,960,61,0.7867575995185908,0.6295778101826728,0.8848664776997284,0.23460993314421152
run_heldout,saturation_clipping,spectral_transformer_new,classification,960,61,0.6383413264282718,0.5794163638418612,0.6815574205801157,0.08059338803241055
run_heldout,pedestal_noise_color,gradient_boosted_trees,classification,960,189,0.9388206067842902,0.9103381822640065,0.9717347015432537,0.9049120992651396
run_heldout,pedestal_noise_color,ridge,classification,960,189,0.9148978513440251,0.8878638616144257,0.9389296692586999,0.86093888985149
run_heldout,pedestal_noise_color,traditional_dE_E_tail_pedestal_likelihood,classification,960,189,0.9114185521448815,0.8930282140248509,0.9368751239852392,0.8610477412618461
run_heldout,pedestal_noise_color,mlp,classification,960,189,0.8479608012681943,0.8261493126666755,0.8632326983159027,0.7316613375965895
run_heldout,pedestal_noise_color,spectral_transformer_new,classification,960,189,0.7105456392097119,0.6722859691327229,0.7595540786246493,0.519700293749566
run_heldout,pedestal_noise_color,1d_cnn,classification,960,189,0.695523576198025,0.6411351169709271,0.745531012723943,0.5315625142043758
run_heldout,pulse_shape_harmonics,gradient_boosted_trees,classification,960,192,1.0,1.0,1.0,1.0
run_heldout,pulse_shape_harmonics,ridge,classification,960,192,0.9904378255208334,0.9884590911777186,0.9927326432310503,0.962602522441693
run_heldout,pulse_shape_harmonics,traditional_dE_E_tail_pedestal_likelihood,classification,960,192,0.9902682834201388,0.9877767400044819,0.9923296111644961,0.962274011702058
run_heldout,pulse_shape_harmonics,mlp,classification,960,192,0.8515624999999999,0.7819624919618471,0.8907178688428686,0.6921875
run_heldout,pulse_shape_harmonics,1d_cnn,classification,960,192,0.8024291992187501,0.7335958777950197,0.8584417594416466,0.5686507282275671
run_heldout,pulse_shape_harmonics,spectral_transformer_new,classification,960,192,0.7442491319444444,0.7246191698129173,0.7687545128054125,0.4422385611162935
particle_heldout,pid_separation,gradient_boosted_trees,classification,462,99,0.9331190694827058,0.9105366589929996,0.9544575134046822,0.7783086337510552
particle_heldout,pid_separation,ridge,classification,462,99,0.9318251384367087,0.8947691334598354,0.9689522709335076,0.8527256116671788
particle_heldout,pid_separation,traditional_dE_E_tail_pedestal_likelihood,classification,462,99,0.9198875810446059,0.8846266650780412,0.9524525955221276,0.8322392730733168
particle_heldout,pid_separation,mlp,classification,462,99,0.795684113865932,0.7535088371780925,0.8316826122504088,0.4092712842712843
particle_heldout,pid_separation,spectral_transformer_new,classification,462,99,0.5723349194423575,0.5095982550945787,0.6392664858286043,0.31941866048081285
particle_heldout,pid_separation,1d_cnn,classification,462,99,0.41775885577538474,0.3675429031614723,0.4736049128818246,0.1910715339417392
particle_heldout,energy_scale,gradient_boosted_trees,regression,462,,0.11845362248442608,0.10420378663914322,0.14187784131121503,
particle_heldout,energy_scale,ridge,regression,462,,0.11875354290008545,0.09900038535892963,0.13753898325562477,
particle_heldout,energy_scale,traditional_dE_E_tail_pedestal_likelihood,regression,462,,0.12274965994982956,0.10993028511055813,0.1526906160944276,
particle_heldout,energy_scale,1d_cnn,regression,462,,0.17194468052183942,0.15786063741430253,0.1884014081166732,
particle_heldout,energy_scale,spectral_transformer_new,regression,462,,0.1767889138225722,0.15684274387101485,0.1901946811627554,
particle_heldout,energy_scale,mlp,regression,462,,0.3324403536319733,0.3081408340111375,0.37290290161222217,
particle_heldout,pileup_sideband,ridge,classification,462,204,0.9978720170238639,0.9953127917951439,0.9994638626976545,0.9974168649027221
particle_heldout,pileup_sideband,traditional_dE_E_tail_pedestal_likelihood,classification,462,204,0.9978530171758626,0.9961514935488393,0.9993585026571413,0.9973999048812485
particle_heldout,pileup_sideband,gradient_boosted_trees,classification,462,204,0.9958960328317373,0.9931121762923101,0.998246498035912,0.9950127571903992
particle_heldout,pileup_sideband,mlp,classification,462,204,0.9353055175558597,0.9083739054030399,0.9612170458088011,0.8784531407871066
particle_heldout,pileup_sideband,spectral_transformer_new,classification,462,204,0.8985218118255054,0.8697542849241269,0.926556741869242,0.9100363738573327
particle_heldout,pileup_sideband,1d_cnn,classification,462,204,0.8629920960632315,0.8238679115118689,0.8998682151403083,0.8261661426431973
