atom,run,stave,n,timing_tail_rate,pileup_excess_proxy,charge_res68_proxy,qshape_abs_mean,shuffled_atom,shuffled_gate_pass,timing_shuffled_label,pileup_shuffled_label,charge_shuffled_label,pid_shuffled_label
baseline_excursion,31,B2,839,0.013110846245530394,0.5847032763691052,0.5968691509002375,0.818596414829963,baseline_excursion,False,0,0,0,0
delayed_peak,31,B2,110,0.14545454545454545,1.3451716193782004,0.47120971955295704,0.37704992025714873,qtemplate_shift_proxy,False,0,0,0,0
secondary_delayed_peak,31,B2,4648,0.012048192771084338,1.1078665758669324,0.44227133275914443,0.15358186001028143,delayed_peak,False,0,0,0,0
dropout_subclass,31,B2,585,0.015384615384615385,0.15859526382023306,0.3259547625580726,1.696890371755141,nominal_control,False,0,0,0,0
saturation_boundary,31,B2,22828,0.007008936393902225,0.9652592555227427,0.25332009511850173,0.08403461521819519,saturation_boundary,False,0,0,0,0
qtemplate_shift_proxy,31,B2,549,0.012750455373406194,0.12673501665620268,0.2969225336665928,1.766103861195301,secondary_delayed_peak,False,0,0,0,0
nominal_control,31,B2,1230,0.0,0.9281146714100043,0.30875141861088234,0.17076691640338482,dropout_subclass,False,0,0,0,0
baseline_excursion,31,B4,49,0.02040816326530612,0.7473375974899009,0.47027017795245046,0.6352569220815129,saturation_boundary,False,0,0,0,0
delayed_peak,31,B4,151,0.695364238410596,1.4922395212035753,0.3976951335388527,0.3995603404793435,baseline_excursion,False,0,0,0,0
secondary_delayed_peak,31,B4,300,0.23,1.2370661548920883,0.3170680560586008,0.2545814932422121,qtemplate_shift_proxy,False,0,0,0,0
dropout_subclass,31,B4,32,0.15625,0.4827426703195373,0.19751146810058867,1.1570869105986104,delayed_peak,False,0,0,0,0
saturation_boundary,31,B4,186,0.2849462365591398,1.1701410316148815,0.17717853711105117,0.22013125120511715,secondary_delayed_peak,False,0,0,0,0
qtemplate_shift_proxy,31,B4,28,0.17857142857142858,0.47497721218087813,0.1606759400283291,1.205908856971153,dropout_subclass,False,0,0,0,0
rare_s03f_topology,31,B4,157,0.3248407643312102,1.2598689079000707,0.2720030812283489,0.2902646174948964,rare_s03f_topology,False,0,0,0,0
nominal_control,31,B4,34,0.058823529411764705,0.9445299489799586,0.2852791847189881,0.1945315471411103,nominal_control,False,0,0,0,0
baseline_excursion,31,B6,12,0.0,0.7294048666874225,0.43233383913248846,0.7939426542468458,baseline_excursion,False,0,0,0,0
delayed_peak,31,B6,59,0.7288135593220338,1.5006773932290463,0.39641725616815743,0.4143235067149772,saturation_boundary,False,0,0,0,0
secondary_delayed_peak,31,B6,119,0.15966386554621848,1.2218350160200788,0.27562648333098827,0.20239648541229224,delayed_peak,False,0,0,0,0
dropout_subclass,31,B6,8,0.25,0.30765656690484894,0.13114546096405238,1.340527464586925,dropout_subclass,False,0,0,0,0
saturation_boundary,31,B6,53,0.22641509433962265,1.2155202844553858,0.13505838073069454,0.19850761176915585,rare_s03f_topology,False,0,0,0,0
qtemplate_shift_proxy,31,B6,9,0.2222222222222222,0.34241837286129023,0.12467501983072479,1.293629808849969,secondary_delayed_peak,False,0,0,0,0
rare_s03f_topology,31,B6,159,0.32075471698113206,1.2247670410348137,0.3108948979227529,0.2583647450581667,qtemplate_shift_proxy,False,0,0,0,0
nominal_control,31,B6,13,0.07692307692307693,0.9942316983873366,0.3158468350302657,0.12742555581699713,nominal_control,False,0,0,0,0
