consumer,method,method_variant,shuffled_false_steer_rate,shuffled_false_steer_rate_ci_low,shuffled_false_steer_rate_ci_high,n_shuffled_negative
timing,traditional_support_scorecard,traditional_support_scorecard,0.0,0.0,0.0,851
timing,gradient_boosted_trees,gradient_boosted_trees_learning_rate0.03,0.005875440658049354,0.001217409062235646,0.01072070438207028,851
timing,ridge,ridge_C3,0.010575793184488837,0.005705834258916451,0.015789258297584107,851
timing,support_gated_cnn_new,support_gated_cnn_new_width8,0.02702702702702703,0.0188538923189845,0.03535136874554205,851
timing,cnn_1d,cnn_1d_width8,0.08695652173913043,0.07159272859100659,0.10320493542512489,851
timing,mlp,mlp_hidden32,0.381903642773208,0.2740646167366887,0.4711111732312079,851
pileup,traditional_support_scorecard,traditional_support_scorecard,0.0,0.0,0.0,848
pileup,gradient_boosted_trees,gradient_boosted_trees_learning_rate0.08,0.009433962264150943,0.004716703662597114,0.015589407991678947,848
pileup,ridge,ridge_C3,0.014150943396226415,0.009142335885323344,0.021506664091172495,848
pileup,support_gated_cnn_new,support_gated_cnn_new_width8,0.024764150943396228,0.01646009145707753,0.03505603890586898,848
pileup,cnn_1d,cnn_1d_width8,0.11556603773584906,0.09938345813785636,0.1354376481042654,848
pileup,mlp,mlp_hidden16,0.3018867924528302,0.21148292279001238,0.3981781744392526,848
charge,traditional_support_scorecard,traditional_support_scorecard,0.0,0.0,0.0,848
charge,ridge,ridge_C3,0.015330188679245283,0.009258054041452503,0.021431134654818867,848
charge,gradient_boosted_trees,gradient_boosted_trees_learning_rate0.03,0.020047169811320754,0.013013569374550683,0.026129042735573815,848
charge,support_gated_cnn_new,support_gated_cnn_new_width8,0.0294811320754717,0.019628228610867778,0.040534714816441185,848
charge,cnn_1d,cnn_1d_width8,0.11320754716981132,0.09117741536940945,0.1330264782227709,848
charge,mlp,mlp_hidden16,0.30542452830188677,0.21006132951555487,0.39257623192304336,848
pid,traditional_support_scorecard,traditional_support_scorecard,0.0,0.0,0.0,851
pid,ridge,ridge_C3,0.01527614571092832,0.00940715109573241,0.020982095278695514,851
pid,gradient_boosted_trees,gradient_boosted_trees_learning_rate0.03,0.0199764982373678,0.012802633893384785,0.026500307869764126,851
pid,support_gated_cnn_new,support_gated_cnn_new_width8,0.02937720329024677,0.019647876442452892,0.03885859164420485,851
pid,cnn_1d,cnn_1d_width8,0.1128084606345476,0.09457415055417065,0.1337477741812231,851
pid,mlp,mlp_hidden16,0.30669800235017625,0.22518983114441535,0.39978189551104354,851
