method,method_variant,n_cells,n_positive,average_precision,average_precision_ci_low,average_precision_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,brier,brier_ci_low,brier_ci_high,ece,ece_ci_low,ece_ci_high,precision,precision_ci_low,precision_ci_high,recall,recall_ci_low,recall_ci_high,f1,f1_ci_low,f1_ci_high,promotion_rate,promotion_rate_ci_low,promotion_rate_ci_high,defer_rate,defer_rate_ci_low,defer_rate_ci_high,false_promotion_control_rate,false_promotion_control_rate_ci_low,false_promotion_control_rate_ci_high,promotion_utility,promotion_utility_ci_low,promotion_utility_ci_high,shuffled_false_steer_rate,shuffled_false_steer_rate_ci_low,shuffled_false_steer_rate_ci_high,consumer,consumer_utility
gradient_boosted_trees,gradient_boosted_trees_learning_rate0.03,1003,17,0.96578210231461,0.9057431722689077,1.0,0.9993437537286719,0.9980480137253217,1.0,0.002907016699103092,0.001091800541623886,0.005370922952725757,0.002886409499194687,0.002108326887172689,0.00656472779157399,1.0,1.0,1.0,0.35294117647058826,0.133125,0.588529411764706,0.5217391304347826,0.2349673202614379,0.7409722222222223,0.005982053838484547,0.002005967803209227,0.009931228413060766,0.9940179461615155,0.9900687715869392,0.9979940321967908,0.0,0.0,0.0,1.0532957940574583,0.962394612019723,1.1302174990936373,0.005875440658049354,0.001217409062235646,0.01072070438207028,timing,1.0474203533994089
ridge,ridge_C3,1003,17,0.7998707561788057,0.6216258584292471,0.9868727772989788,0.9979119436821382,0.9954632183556562,0.9997311380186025,0.01061406114548312,0.006697286446310597,0.01519302223316277,0.0220261006333738,0.017599655129059883,0.026785065387610735,0.9090909090909091,0.7142857142857143,1.0,0.5882352941176471,0.3333333333333333,0.8335526315789474,0.7142857142857143,0.4995689655172414,0.8890350877192982,0.010967098703888335,0.005882208907069194,0.01681838756726852,0.9890329012961117,0.9831816124327315,0.9941177910929309,0.0,0.0,0.0,0.941423054549874,0.753405528667626,1.1672217231139421,0.010575793184488837,0.005705834258916451,0.015789258297584107,timing,0.9308472613653851
traditional_support_scorecard,traditional_support_scorecard,1003,17,0.9328855538647216,0.7882764320783711,1.0,0.9702004534065147,0.8990480788878169,1.0,0.01564700904699215,0.011071422128235434,0.020700212230989376,0.01624162420126129,0.011406823631153284,0.021394102692296794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9288251478144063,0.7848995880242722,0.9966718678339089,0.0,0.0,0.0,timing,0.9288251478144063
support_gated_cnn_new,support_gated_cnn_new_width8,1003,17,0.4240100618999475,0.28770341863387044,0.6365575073512002,0.9738098078988188,0.9560732441628037,0.9889514298043101,0.0552575660936636,0.045800898892976914,0.06606310886242436,0.08008819028970057,0.06613110894046827,0.09374405101926402,0.4,0.2222222222222222,0.6320938215102976,0.5882352941176471,0.375,0.8237745098039216,0.4761904761904762,0.2857142857142857,0.6832449628844115,0.024925224327018942,0.018923832035043903,0.0309189099368561,0.9750747756729811,0.9690810900631438,0.9810761679649561,0.0,0.0,0.0,0.5510468378569342,0.39139240564291455,0.8003800964627222,0.02702702702702703,0.0188538923189845,0.03535136874554205,timing,0.5240198108299072
cnn_1d,cnn_1d_width8,1003,17,0.14850712528060678,0.09074362345249677,0.24356513836037386,0.9204152249134947,0.8779818610042626,0.9528785119519216,0.14924274581123512,0.13556489237273286,0.16276033303715978,0.25972580109437887,0.2360606472963302,0.2822566883696714,0.13414634146341464,0.07573863636363637,0.19318181818181818,0.6470588235294118,0.4375,0.8575892857142857,0.22222222222222224,0.12819148936170213,0.3094167621229477,0.08175473579262213,0.07048507039394337,0.09350697603287637,0.9182452642073778,0.9064930239671236,0.9295149296060566,0.0,0.0,0.0,0.24534038088936505,0.14914146381958016,0.37970372790176193,0.08695652173913043,0.07159272859100659,0.10320493542512489,timing,0.15838385915023462
mlp,mlp_hidden32,1003,17,0.03623675240085664,0.01402115150048156,0.14035916527725245,0.5761842262259873,0.42483881367480564,0.7346667714536972,0.06630380547266108,0.05927242209271431,0.07314820606184602,0.1996867511094597,0.18288539654361238,0.21739357519295388,0.015463917525773196,0.004254421402280276,0.03195401826530927,0.35294117647058826,0.1332608695652174,0.6002777777777778,0.02962962962962963,0.00831260708561322,0.0603272793545538,0.386839481555334,0.28713235294117645,0.48016615873620555,0.613160518444666,0.5198338412637945,0.7128676470588236,0.35384615384615387,0.23428485576923078,0.4682783882783883,-0.6331419489511689,-0.8882398386598829,-0.3379173291048305,0.381903642773208,0.2740646167366887,0.4711111732312079,timing,-1.0150455917243768
gradient_boosted_trees,gradient_boosted_trees_learning_rate0.08,1003,24,0.9758309064852676,0.9317354794974084,1.0,0.9994467143343547,0.9985633076135086,1.0,0.002697170442561777,0.00027157834310402004,0.005746280712070032,0.00220073010910871,0.0007649827208237538,0.006008588285373363,1.0,1.0,1.0,0.4583333333333333,0.26059782608695653,0.6666666666666666,0.6285714285714286,0.41344827586206895,0.8,0.010967098703888335,0.005911184593305148,0.01678644192365516,0.9890329012961117,0.9832135580763448,0.9940888154066949,0.0,0.0,0.0,1.0898640572913239,1.0075773147558817,1.15840660602228,0.009433962264150943,0.004716703662597114,0.015589407991678947,pileup,1.0804300950271728
ridge,ridge_C3,1003,24,0.905014279111295,0.7662092215539026,0.9959692827748383,0.9982975825672454,0.9961216695534781,0.9998873648143228,0.008823839171228833,0.004752038721566396,0.01379033018089129,0.018847092779680975,0.014333442132930172,0.023572525590011044,0.875,0.6998076923076922,1.0,0.5833333333333334,0.39972222222222226,0.7897368421052632,0.7000000000000001,0.5185185185185185,0.85,0.015952143569292122,0.010272825418488908,0.02110659035358059,0.9840478564307079,0.9788934096464194,0.989727174581511,0.0,0.0,0.0,1.046135839249708,0.8924358459292606,1.1517053958005883,0.014150943396226415,0.009142335885323344,0.021506664091172495,pileup,1.0319848958534816
traditional_support_scorecard,traditional_support_scorecard,1003,24,0.6680637910828915,0.5053363147295622,0.8667576489753839,0.8320139598229485,0.7483396561699102,0.9340448326055841,0.022626071858557455,0.017570942982669736,0.02670836714464426,0.023220687012826594,0.01786077277562624,0.027342481090500276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6622586193296849,0.4990542818074252,0.8613608377550606,0.0,0.0,0.0,pileup,0.6622586193296849
support_gated_cnn_new,support_gated_cnn_new_width8,1003,24,0.4625353820446431,0.2998561621952195,0.6679146669882069,0.9744637385086823,0.960963353656186,0.9867858945884994,0.05001520851796743,0.04033136242700345,0.059985834337471323,0.06971293189449805,0.05618453489706172,0.08513866742014307,0.5,0.2957854406130268,0.7409722222222223,0.5,0.2962962962962963,0.6959692028985508,0.5,0.30769230769230765,0.6670454545454546,0.023928215353938187,0.015935858555826445,0.03236304092795229,0.9760717846460618,0.9676369590720477,0.9840641414441735,0.0,0.0,0.0,0.5701071490710187,0.35834391463824866,0.7962816901737362,0.024764150943396228,0.01646009145707753,0.03505603890586898,pileup,0.5453429981276224
cnn_1d,cnn_1d_width8,1003,24,0.11888636285150309,0.08612025238540896,0.18402948739856265,0.894194756554307,0.8566801269122809,0.9255480335569792,0.1607550675921085,0.14452056552427076,0.17555251897936835,0.26674048684340285,0.24119266666054828,0.2887846647611618,0.11711711711711711,0.07138198757763975,0.1667016806722689,0.5416666666666666,0.3528132992327366,0.7407407407407407,0.1925925925925926,0.11762254901960785,0.268726012793177,0.1106679960119641,0.09561155574359397,0.12590350223546948,0.8893320039880359,0.8740964977645306,0.904388444256406,0.0,0.0,0.0,0.18761790780731902,0.11008532360578403,0.2905902189873508,0.11556603773584906,0.09938345813785636,0.1354376481042654,pileup,0.07205187007146996
mlp,mlp_hidden16,1003,24,0.12337631729402149,0.04665054360498236,0.26436922481645736,0.6890108954715697,0.5850411834055426,0.782607555212019,0.06255910886088267,0.054952614743005244,0.06960312589507955,0.17508156540091427,0.15513150214177016,0.19396941308479726,0.046511627906976744,0.025573979591836736,0.07723166183174474,0.5833333333333334,0.36980676328502415,0.8,0.08615384615384615,0.04836231565045124,0.14032271053842618,0.3000997008973081,0.22271293944466894,0.399471948353557,0.6999002991026919,0.6005280516464431,0.7772870605553311,0.2692307692307692,0.1640625,0.4,-0.3130222791844122,-0.5808686805344606,0.004420176944193142,0.3018867924528302,0.21148292279001238,0.3981781744392526,pileup,-0.6149090716372424
gradient_boosted_trees,gradient_boosted_trees_learning_rate0.03,1003,25,0.9970370370370372,0.9847546583850931,1.0,0.999918200408998,0.9996092810083583,1.0,0.0014404311391631101,0.00024913351848559746,0.0031862058936484522,0.002797815477516502,0.0021753753399828065,0.0052915101257202165,1.0,1.0,1.0,0.84,0.692,0.9651785714285717,0.9130434782608696,0.8179653679653679,0.9822727272727274,0.020937188434695914,0.015763158915480392,0.025897706578874125,0.9790628115653041,0.9741022934211259,0.9842368410845196,0.0,0.0,0.0,1.206337583167658,1.1663059442553416,1.2407168154587462,0.020047169811320754,0.013013569374550683,0.026129042735573815,charge,1.1862904133563372
ridge,ridge_C3,1003,25,0.9024299665286192,0.7607994263492114,0.9999999999999998,0.998200408997955,0.9959337076534441,1.0,0.007953638016123601,0.004101947954549439,0.012409192503995125,0.018128416975162306,0.014012902518816999,0.022474761400407814,0.8823529411764706,0.7057352941176471,1.0,0.6,0.4074074074074074,0.8001923076923078,0.7142857142857143,0.5401849217638691,0.8571428571428571,0.01694915254237288,0.011585299052197975,0.022935815668572175,0.9830508474576272,0.9770641843314278,0.988414700947802,0.0,0.0,0.0,1.0478978622848287,0.8859483789416763,1.167386006119798,0.015330188679245283,0.009258054041452503,0.021431134654818867,charge,1.0325676736055835
