method,axis,stratum,nominal_coverage,heldout_run,n_train_rows,n_train_runs,n_test_rows,calibration_mode,interval_center_ns,half_width_ns,interval_width_ns,coverage,coverage_error,abs_coverage_error
pair_median,rate_residual_quantile,high_rate_residual,0.68,44,5461,6,169,same_rate_atom,0.2819598244321208,3.460875970251007,6.921751940502014,0.5443786982248521,-0.13562130177514797,0.13562130177514797
pair_median,rate_residual_quantile,high_rate_residual,0.68,45,3843,6,1787,same_rate_atom,0.3063837418006443,3.2939225093933793,6.5878450187867585,0.6368214885282597,-0.043178511471740344,0.043178511471740344
pair_median,rate_residual_quantile,high_rate_residual,0.68,47,5474,6,156,same_rate_atom,0.2659651806017518,3.551150392450848,7.102300784901696,0.6923076923076923,0.012307692307692242,0.012307692307692242
pair_median,rate_residual_quantile,high_rate_residual,0.68,48,4532,6,1098,same_rate_atom,0.2968697289274793,3.7170067483812903,7.434013496762581,0.7231329690346083,0.04313296903460828,0.04313296903460828
pair_median,rate_residual_quantile,high_rate_residual,0.68,49,4444,6,1186,same_rate_atom,0.306560054829621,3.5779745138136643,7.1559490276273285,0.6863406408094435,0.00634064080944341,0.00634064080944341
pair_median,rate_residual_quantile,high_rate_residual,0.68,57,4409,6,1221,same_rate_atom,0.2901685278010504,3.7322021302036705,7.464404260407341,0.7207207207207207,0.04072072072072064,0.04072072072072064
pair_median,rate_residual_quantile,high_rate_residual,0.95,44,5461,6,169,same_rate_atom,0.2819598244321208,94.75533370796126,189.5106674159225,0.9053254437869822,-0.044674556213017746,0.044674556213017746
pair_median,rate_residual_quantile,high_rate_residual,0.95,45,3843,6,1787,same_rate_atom,0.3063837418006443,91.9318013276602,183.8636026553204,0.936205931729155,-0.01379406827084495,0.01379406827084495
pair_median,rate_residual_quantile,high_rate_residual,0.95,47,5474,6,156,same_rate_atom,0.2659651806017518,95.68572928280096,191.37145856560193,0.9358974358974359,-0.014102564102564052,0.014102564102564052
pair_median,rate_residual_quantile,high_rate_residual,0.95,48,4532,6,1098,same_rate_atom,0.2968697289274793,97.49458400692116,194.98916801384232,0.9590163934426229,0.00901639344262295,0.00901639344262295
pair_median,rate_residual_quantile,high_rate_residual,0.95,49,4444,6,1186,same_rate_atom,0.306560054829621,98.01696698443806,196.0339339688761,0.9662731871838112,0.01627318718381121,0.01627318718381121
pair_median,rate_residual_quantile,high_rate_residual,0.95,57,4409,6,1221,same_rate_atom,0.2901685278010504,95.98796193386818,191.97592386773636,0.95004095004095,4.095004095006072e-05,4.095004095006072e-05
pair_median,rate_residual_quantile,low_rate_residual,0.68,51,16096,6,616,same_rate_atom,0.0210005403116664,2.361088717288334,4.722177434576668,0.4772727272727273,-0.20272727272727276,0.20272727272727276
pair_median,rate_residual_quantile,low_rate_residual,0.68,52,16400,6,312,same_rate_atom,0.027692897452567353,2.3881590757575015,4.776318151515003,0.46153846153846156,-0.21846153846153848,0.21846153846153848
pair_median,rate_residual_quantile,low_rate_residual,0.68,53,15592,6,1120,same_rate_atom,-0.015605575277447749,2.2745248120410255,4.549049624082051,0.4,-0.28,0.28
pair_median,rate_residual_quantile,low_rate_residual,0.68,55,15956,6,756,same_rate_atom,0.0133322080851332,2.3446902557179063,4.689380511435813,0.4708994708994709,-0.20910052910052918,0.20910052910052918
pair_median,rate_residual_quantile,low_rate_residual,0.68,58,15505,6,1207,same_rate_atom,0.0242863735093763,2.3990516620693456,4.798103324138691,0.6445733222866611,-0.03542667771333896,0.03542667771333896
pair_median,rate_residual_quantile,low_rate_residual,0.68,59,5525,6,11187,same_rate_atom,0.3669422231571353,5.273939708894441,10.547879417788883,0.8660945740591758,0.18609457405917573,0.18609457405917573
pair_median,rate_residual_quantile,low_rate_residual,0.68,65,15198,6,1514,same_rate_atom,0.03651062075913275,2.4314045016272,4.8628090032544,0.691545574636724,0.011545574636723899,0.011545574636723899
pair_median,rate_residual_quantile,low_rate_residual,0.95,51,16096,6,616,same_rate_atom,0.0210005403116664,52.0111387971814,104.0222775943628,0.8116883116883117,-0.13831168831168827,0.13831168831168827
pair_median,rate_residual_quantile,low_rate_residual,0.95,52,16400,6,312,same_rate_atom,0.027692897452567353,53.618214940372226,107.23642988074445,0.7852564102564102,-0.1647435897435897,0.1647435897435897
