method,axis,stratum,nominal_coverage,n_runs,n_pair_rows,coverage,coverage_ci_low,coverage_ci_high,coverage_error,abs_coverage_error,mean_interval_width_ns,interval_width_ci_low_ns,interval_width_ci_high_ns,fallback_fraction
cnn_1d,current_group,low_current_2nA,0.68,1,156,0.5641025641025641,0.5641025641025641,0.5641025641025641,-0.11589743589743595,0.11589743589743595,11.2402068688865,11.2402068688865,11.2402068688865,1.0
cnn_1d,current_group,low_current_2nA,0.95,1,156,0.8910256410256411,0.8910256410256411,0.8910256410256411,-0.058974358974358876,0.058974358974358876,87.17637798976146,87.17637798976146,87.17637798976146,1.0
cnn_1d,current_group,nominal_current_20nA,0.68,19,65315,0.6533721197274746,0.5333123674352662,0.7694405814994565,-0.026627880272525495,0.026627880272525495,11.35960401405113,10.737669248184988,11.888395187755126,0.0
cnn_1d,current_group,nominal_current_20nA,0.95,19,65315,0.9504861057949935,0.8784574059233677,0.9743841485579319,0.0004861057949935299,0.0004861057949935299,96.87662796066199,88.96248452335159,100.24888200097901,0.0
cnn_1d,rate_residual_quantile,high_rate_residual,0.68,6,5617,0.6373508990564358,0.44880783961781173,0.7711397605429325,-0.04264910094356422,0.04264910094356422,15.36060649074441,13.88843087201151,16.584967157966286,0.0
cnn_1d,rate_residual_quantile,high_rate_residual,0.95,6,5617,0.9499732953533915,0.9327057592356292,0.9619167825321522,-2.670464660847749e-05,2.670464660847749e-05,187.08445303488452,183.08296867299492,189.81902082910048,0.0
cnn_1d,rate_residual_quantile,low_rate_residual,0.68,7,16712,0.6786141694590714,0.2795501057763061,0.7533164832012068,-0.0013858305409286675,0.0013858305409286675,15.486579328694045,11.901835875249597,16.61140339821627,0.0
cnn_1d,rate_residual_quantile,low_rate_residual,0.95,7,16712,0.9497965533748205,0.7944534822728689,0.9818759368880189,-0.00020344662517945977,0.00020344662517945977,157.87658117377177,91.58026189856837,179.19163023189606,0.0
cnn_1d,rate_residual_quantile,mid_rate_residual,0.68,7,43142,0.6443836632515878,0.5315384317518332,0.7433904652966195,-0.03561633674841225,0.03561633674841225,9.355684346452653,8.842009716702051,9.850521388589163,0.0
cnn_1d,rate_residual_quantile,mid_rate_residual,0.95,7,43142,0.9508599508599509,0.8721053974538963,0.9777364025727786,0.000859950859950942,0.000859950859950942,70.4615220569889,62.64445840764508,74.52059290522773,0.0
cnn_1d,topology,B2_containing,0.68,20,43946,0.6538706594456833,0.5150874335743555,0.7858669380745186,-0.026129340554316705,0.026129340554316705,12.222037493497327,11.630168787436375,12.747597947544536,0.0
cnn_1d,topology,B2_containing,0.95,20,43946,0.9487780457834615,0.8823015404535515,0.9686510072538311,-0.001221954216538479,0.001221954216538479,140.13617498074325,131.80597342543993,142.7708647136806,0.0
cnn_1d,topology,downstream_only,0.68,20,21525,0.630150987224158,0.42984110304947887,0.7462273180937402,-0.04984901277584208,0.04984901277584208,8.525842626819063,8.033031174319952,8.839603211568823,0.0
cnn_1d,topology,downstream_only,0.95,20,21525,0.9008594657375145,0.7675169565381557,0.9773967495565467,-0.049140534262485436,0.049140534262485436,16.849481852331834,15.727095320964485,17.677027293324894,0.0
extra_trees_s05e_dynamic,current_group,low_current_2nA,0.68,1,156,0.5128205128205128,0.5128205128205128,0.5128205128205128,-0.16717948717948727,0.16717948717948727,4.3015559142240996,4.3015559142240996,4.3015559142240996,1.0
extra_trees_s05e_dynamic,current_group,low_current_2nA,0.95,1,156,0.9551282051282052,0.9551282051282052,0.9551282051282052,0.005128205128205221,0.005128205128205221,33.134347158008325,33.134347158008325,33.134347158008325,1.0
extra_trees_s05e_dynamic,current_group,nominal_current_20nA,0.68,19,65315,0.6910204394090178,0.595435526253713,0.746517390013406,0.011020439409017757,0.011020439409017757,4.473258739951581,4.3532753801336055,4.564634370355365,0.0
extra_trees_s05e_dynamic,current_group,nominal_current_20nA,0.95,19,65315,0.9503023807701141,0.9201816543859911,0.967344344076769,0.0003023807701141301,0.0003023807701141301,34.137598503199904,32.35872011854584,35.5174985189611,0.0
extra_trees_s05e_dynamic,rate_residual_quantile,high_rate_residual,0.68,6,5617,0.6786540858109311,0.6485259574098364,0.7124713854053445,-0.0013459141890689308,0.0013459141890689308,8.380326829633391,8.0905839364337,8.701394326014485,0.0
extra_trees_s05e_dynamic,rate_residual_quantile,high_rate_residual,0.95,6,5617,0.9481929855794908,0.9345861347300614,0.9650743592256622,-0.0018070144205091232,0.0018070144205091232,54.7715607216742,52.07640037413128,57.69803467342873,0.0
extra_trees_s05e_dynamic,rate_residual_quantile,low_rate_residual,0.68,7,16712,0.7410842508377214,0.41677900677416085,0.8312457962767935,0.0610842508377214,0.0610842508377214,8.183890680039653,4.9415931416255425,9.3500919294071,0.0
extra_trees_s05e_dynamic,rate_residual_quantile,low_rate_residual,0.95,7,16712,0.9532671134514121,0.9327419214056057,0.9575352561018537,0.0032671134514121736,0.0032671134514121736,47.66099125809878,43.67718241139473,48.92506524883313,0.0
extra_trees_s05e_dynamic,rate_residual_quantile,mid_rate_residual,0.68,7,43142,0.6940336562978072,0.5803545643224647,0.7377167121833424,0.014033656297807173,0.014033656297807173,3.874863504060915,3.713242599953368,3.947255825136249,0.0
extra_trees_s05e_dynamic,rate_residual_quantile,mid_rate_residual,0.95,7,43142,0.949585091094525,0.9127300212651633,0.9674933869622208,-0.0004149089054749089,0.0004149089054749089,27.69446524009993,25.276986715301753,29.159009654284848,0.0
extra_trees_s05e_dynamic,topology,B2_containing,0.68,20,43946,0.6901879579483912,0.4956491729291874,0.7537056201434584,0.010187957948391113,0.010187957948391113,5.615999107448233,5.177899815492228,5.866577244069019,0.0
extra_trees_s05e_dynamic,topology,B2_containing,0.95,20,43946,0.9496882537659855,0.9267741810576534,0.9668777041236648,-0.0003117462340144206,0.0003117462340144206,43.4610367295538,41.603291864379266,44.68871125869737,0.0
extra_trees_s05e_dynamic,topology,downstream_only,0.68,20,21525,0.6859001161440186,0.6333765708571414,0.7150597030397787,0.00590011614401853,0.00590011614401853,3.335898928441282,3.2779248795080047,3.363842492112718,0.0
extra_trees_s05e_dynamic,topology,downstream_only,0.95,20,21525,0.9508943089430895,0.9188990071669686,0.961923224825545,0.0008943089430895057,0.0008943089430895057,11.582674096529672,11.365284038570445,11.697810283542935,0.0
gradient_boosted_trees,current_group,low_current_2nA,0.68,1,156,0.5641025641025641,0.5641025641025641,0.5641025641025641,-0.11589743589743595,0.11589743589743595,7.699879936404771,7.699879936404771,7.699879936404771,1.0
