b2_signed_cov_ns2,downstream_signed_cov_ns2,b2_minus_downstream_cov_ns2,b2_mean_abs_cov_ns2,downstream_mean_abs_cov_ns2,b2_minus_downstream_abs_cov_ns2,inferred_correlated_fraction,method,axis,stratum,n_b2_pair_rows,n_downstream_pair_rows,n_b2_runs,n_downstream_runs,control_mode,delta_ci_low_ns2,delta_ci_high_ns2,interval_excludes_zero
1346.098751941751,3.317442517231866,1342.7813094245191,1346.098751941751,4.006767573391716,1342.0919843683594,0.9975355132656898,pair_median,rate_residual_quantile,high_rate_residual,4069,1561,7,7,same_rate_atom_downstream,962.5433364762624,1742.4801789402484,True
1055.35604013851,27.978164009662535,1027.3778761288474,1055.35604013851,28.35848460394089,1026.997555534569,0.9734893600400576,pair_median,rate_residual_quantile,low_rate_residual,11415,5297,7,7,same_rate_atom_downstream,718.4087065485994,1424.6360808808008,True
767.5309579321913,13.209696510180223,754.321261422011,767.5309579321913,13.887757504572608,753.6432004276187,0.9827893632515247,pair_median,rate_residual_quantile,mid_rate_residual,28472,14670,7,7,same_rate_atom_downstream,258.32450083579414,1288.3498940801487,True
2059.731521155317,0.27762162414488967,2059.453899531172,2059.731521155317,0.7992821614466951,2058.93223899387,0.9998652146547773,pair_median,current_group,low_current_2nA,122,47,2,2,same_rate_atom_downstream,2059.453899531172,2059.453899531172,True
988.2668408942159,16.20747669042872,972.0593642037871,988.2668408942159,16.78763252834201,971.4792083658739,0.983600100681549,pair_median,current_group,nominal_current_20nA,43834,21481,19,19,same_rate_atom_downstream,756.8851599090517,1248.796562804754,True
1041.840074907271,15.41098393711453,1026.4290909701565,1041.840074907271,15.988215009997242,1025.8518598972737,0.9852079178865469,pair_median,topology,all,43956,21528,21,21,same_rate_atom_downstream,744.9883459854099,1313.6051528648336,True
202.24331627324906,46.017047164010414,156.22626910923864,202.24331627324906,46.017047164010414,156.22626910923864,0.7724669076240956,traditional_s05d_static_priors,rate_residual_quantile,high_rate_residual,4069,1561,7,7,same_rate_atom_downstream,110.14087775291122,198.1700540639755,True
157.52945337846555,69.93831001437289,87.59114336409266,157.52945337846555,69.93831001437289,87.59114336409266,0.5560302628211016,traditional_s05d_static_priors,rate_residual_quantile,low_rate_residual,11415,5297,7,7,same_rate_atom_downstream,40.734831612571554,128.17243682517383,True
112.49596465195877,33.745971529139396,78.74999312281938,112.49596465195877,35.749824894004995,76.74613975795378,0.7000250486002494,traditional_s05d_static_priors,rate_residual_quantile,mid_rate_residual,28472,14670,7,7,same_rate_atom_downstream,36.433088209869645,128.30368073670394,True
140.58633068369178,52.82340052746971,87.76293015622207,140.58633068369178,52.82340052746971,87.76293015622207,0.624263608911465,traditional_s05d_static_priors,current_group,low_current_2nA,122,47,2,2,same_rate_atom_downstream,87.76293015622207,87.76293015622207,True
155.95007858783015,49.950992276904145,105.999086310926,155.95007858783015,50.68925404290726,105.26082454492288,0.679698832285153,traditional_s05d_static_priors,current_group,nominal_current_20nA,43834,21481,19,19,same_rate_atom_downstream,63.17739779630351,144.04807691810183,True
