axis,stratum,n_pair_rows,n_runs,b2_fraction,rate_residual_pp_median,target_rate_percent_median
rate_residual_quantile,high_rate_residual,5630,7,0.7227353463587922,1.6618860489360672,3.95474137931034
rate_residual_quantile,low_rate_residual,16712,7,0.6830421254188607,-0.1452192266158717,0.15507789959607
rate_residual_quantile,mid_rate_residual,43142,7,0.6599601316582449,0.0216856554270117,0.20216962524654
current_group,low_current_2nA,169,2,0.7218934911242604,3.004827837261682,3.5686503306106503
current_group,nominal_current_20nA,65315,19,0.6711168950470795,0.0216856554270117,0.20216962524654
topology,B2_containing,43956,21,1.0,0.0216856554270117,0.20216962524654
topology,downstream_only,21528,21,0.0,0.0216856554270117,0.20216962524654
rate_support_atom,sample_i_analysis|topo=B2_containing|amp=amp_high|sat=deep|anom=saturation_boundary|rateq=high_rate_residual,439,7,1.0,1.6618860489360672,3.95474137931034
rate_support_atom,sample_i_analysis|topo=B2_containing|amp=amp_high|sat=deep|anom=saturation_boundary|rateq=low_rate_residual,353,4,1.0,-0.2541353599775764,0.15142774733198
rate_support_atom,sample_i_analysis|topo=B2_containing|amp=amp_high|sat=deep|anom=saturation_boundary|rateq=mid_rate_residual,630,3,1.0,0.2196540940819623,0.48026392619409003
rate_support_atom,sample_i_analysis|topo=B2_containing|amp=amp_high|sat=mild|anom=saturation_boundary|rateq=high_rate_residual,385,6,1.0,1.6618860489360672,3.95474137931034
rate_support_atom,sample_i_analysis|topo=B2_containing|amp=amp_high|sat=mild|anom=saturation_boundary|rateq=low_rate_residual,127,4,1.0,-0.224436510079744,0.27049521431543
rate_support_atom,sample_i_analysis|topo=B2_containing|amp=amp_high|sat=mild|anom=saturation_boundary|rateq=mid_rate_residual,151,3,1.0,0.2196540940819623,0.48026392619409003
rate_support_atom,sample_i_analysis|topo=B2_containing|amp=amp_high|sat=moderate|anom=saturation_boundary|rateq=high_rate_residual,266,6,1.0,1.6618860489360672,3.95474137931034
rate_support_atom,sample_i_analysis|topo=B2_containing|amp=amp_high|sat=moderate|anom=saturation_boundary|rateq=low_rate_residual,210,4,1.0,-0.3382157130671011,0.11629388899509
rate_support_atom,sample_i_analysis|topo=B2_containing|amp=amp_high|sat=moderate|anom=saturation_boundary|rateq=mid_rate_residual,321,3,1.0,0.2196540940819623,0.48026392619409003
rate_support_atom,sample_i_analysis|topo=B2_containing|amp=amp_high|sat=none|anom=baseline_contamination|rateq=high_rate_residual,40,5,1.0,1.3672035763604533,3.95474137931034
rate_support_atom,sample_i_analysis|topo=B2_containing|amp=amp_high|sat=none|anom=baseline_contamination|rateq=low_rate_residual,11,4,1.0,-0.224436510079744,0.27049521431543
rate_support_atom,sample_i_analysis|topo=B2_containing|amp=amp_high|sat=none|anom=baseline_contamination|rateq=mid_rate_residual,9,1,1.0,0.2291278461980778,0.5589248085521901
rate_support_atom,sample_i_analysis|topo=B2_containing|amp=amp_high|sat=none|anom=common_support|rateq=high_rate_residual,298,6,1.0,1.6618860489360672,3.95474137931034
rate_support_atom,sample_i_analysis|topo=B2_containing|amp=amp_high|sat=none|anom=common_support|rateq=low_rate_residual,77,4,1.0,-0.224436510079744,0.27049521431543
rate_support_atom,sample_i_analysis|topo=B2_containing|amp=amp_high|sat=none|anom=common_support|rateq=mid_rate_residual,110,3,1.0,0.2196540940819623,0.48026392619409003
rate_support_atom,sample_i_analysis|topo=B2_containing|amp=amp_high|sat=none|anom=timing_tail_high_q_shift|rateq=high_rate_residual,369,7,1.0,1.6618860489360672,3.95474137931034
rate_support_atom,sample_i_analysis|topo=B2_containing|amp=amp_high|sat=none|anom=timing_tail_high_q_shift|rateq=low_rate_residual,124,4,1.0,-0.224436510079744,0.27049521431543
rate_support_atom,sample_i_analysis|topo=B2_containing|amp=amp_high|sat=none|anom=timing_tail_high_q_shift|rateq=mid_rate_residual,168,3,1.0,0.2196540940819623,0.48026392619409003
