method,method_class,axis,stratum,n_pair_rows,n_runs,sigma68_ns,sigma68_ci_low_ns,sigma68_ci_high_ns,full_rms_ns,full_rms_ci_low_ns,full_rms_ci_high_ns,tail_fraction_abs_gt_5ns
pair_median,traditional,rate_residual_quantile,high_rate_residual,5630,7,10.382399768746135,6.533303197378759,13.166366563256897,32.40806518384539,30.414761862326685,35.39819996022218,0.2616341030195382
pair_median,traditional,rate_residual_quantile,low_rate_residual,16712,7,3.015824435734922,2.1473332687051703,32.01589993665559,23.216463782835955,15.44589951876183,41.55929885310969,0.19824078506462423
pair_median,traditional,rate_residual_quantile,mid_rate_residual,43142,7,1.8438623153318527,1.6635857448273017,9.706077263112432,17.391385246977027,12.056706140189782,29.72763750810751,0.10414445320105697
pair_median,traditional,current_group,low_current_2nA,169,2,7.024373889346425,3.3394246873334437,7.223312423199521,33.984485200287054,29.79144607736124,34.27646494077162,0.24260355029585798
pair_median,traditional,current_group,nominal_current_20nA,65315,19,2.0864599722981243,1.8152594794336365,11.830681898816977,20.633974819824914,16.458275341007024,29.37063088398872,0.14152951083212126
pair_median,traditional,topology,B2_containing,43956,21,3.526279240861914,1.8525022635970638,18.32934013884911,24.825131582303122,20.106815246823317,32.37197732820489,0.20274820274820274
pair_median,traditional,topology,downstream_only,21528,21,1.7393739588381734,1.7045503111312779,1.7660485273833737,6.5376836511413465,5.748850690676529,7.4991430035037485,0.01741917502787068
traditional_s05d_static_priors,traditional,rate_residual_quantile,high_rate_residual,5630,7,9.551615079252713,9.017174649933503,10.130904184688314,15.21329833150645,14.146454721947824,16.02978889594969,0.6014209591474245
traditional_s05d_static_priors,traditional,rate_residual_quantile,low_rate_residual,16712,7,8.062287067990885,7.370173085822799,10.822900275182997,11.437918042713433,9.836822723963216,15.989342352759403,0.5025730014360938
traditional_s05d_static_priors,traditional,rate_residual_quantile,mid_rate_residual,43142,7,7.367083600432684,7.000782246027972,8.81284424970418,9.860168996701221,9.257737038643713,11.447489855235624,0.4570719948078439
traditional_s05d_static_priors,traditional,current_group,low_current_2nA,169,2,8.53740048376363,5.729210627762209,8.781041335324868,12.099347518543075,7.115253659854911,12.431778151692578,0.5562130177514792
traditional_s05d_static_priors,traditional,current_group,nominal_current_20nA,65315,19,7.807016657094557,7.224632635425815,8.685595915138478,10.818477430243194,9.916680979209216,13.254226598632345,0.48423792390721887
traditional_s05d_static_priors,traditional,topology,B2_containing,43956,21,7.91002367025639,7.175738595172503,9.12759295577594,11.812901202431451,10.545453044568866,14.231576323991092,0.48707798707798705
traditional_s05d_static_priors,traditional,topology,downstream_only,21528,21,7.421527447938758,6.904887370018827,8.365320085647948,8.452385526280477,7.947657746315863,9.443174409832356,0.47394091415830547
ridge,ml,rate_residual_quantile,high_rate_residual,5630,7,9.465603039614685,8.591716845541649,10.092278154659427,14.821008321988028,13.769954540121091,15.798398934893655,0.5790408525754884
ridge,ml,rate_residual_quantile,low_rate_residual,16712,7,6.890105815560494,5.931447310383515,9.698669387235897,10.72724964155354,9.041225859009504,14.932068525152092,0.43429870751555766
ridge,ml,rate_residual_quantile,mid_rate_residual,43142,7,6.843532268827573,6.386606085439223,7.924828166888191,9.713368788175986,8.937081860761385,11.109451509907016,0.4363033702656344
ridge,ml,current_group,low_current_2nA,169,2,7.150753446005605,3.6401111218470383,7.479956948618051,11.277481945227153,4.830207242493011,11.584403779646951,0.5266272189349113
ridge,ml,current_group,nominal_current_20nA,65315,19,7.066128729353076,6.44891920447623,8.7773066211195,10.496407581178772,9.621406957134658,12.89480011143743,0.44868713159304907
ridge,ml,topology,B2_containing,43956,21,7.36964155088298,6.891088363800151,8.515180284648803,11.412333834818936,10.32466189477156,13.753205621940609,0.4677177177177177
ridge,ml,topology,downstream_only,21528,21,6.421599009463135,5.618453392861049,7.396097964721439,8.341138527394348,7.689191870437052,9.276971751559708,0.4076086956521739
gradient_boosted_trees,ml,rate_residual_quantile,high_rate_residual,5630,7,8.466329215457728,6.400484252811979,11.108982336705655,19.09749140240654,17.429142684081906,20.800681700138565,0.32291296625222027
gradient_boosted_trees,ml,rate_residual_quantile,low_rate_residual,16712,7,4.48518663753665,4.070181646911411,16.67891038923511,13.749937833418889,11.366980410149235,20.600082396322467,0.25610339875538535
gradient_boosted_trees,ml,rate_residual_quantile,mid_rate_residual,43142,7,3.668461459645469,3.364506946915409,4.909223741097291,10.45732102104557,8.489901703868743,16.003865986806968,0.16218534143062444
gradient_boosted_trees,ml,current_group,low_current_2nA,169,2,6.606278726920914,4.0457681104539045,6.719939721044913,16.872325216366853,10.685776836827523,17.275174850064865,0.3668639053254438
gradient_boosted_trees,ml,current_group,nominal_current_20nA,65315,19,3.9199880444009185,3.5868735951159567,6.960299670907827,12.335558113397745,9.945859228858671,15.299426017257542,0.19675419122713006
gradient_boosted_trees,ml,topology,B2_containing,43956,21,4.367468249931983,3.4419677887781224,12.400886348569532,14.858111049021135,12.521974282632533,18.871593560668327,0.2471107471107471
gradient_boosted_trees,ml,topology,downstream_only,21528,21,3.36468624871487,3.2241923065507967,3.4577104604174367,5.549599823822943,4.85603506424355,6.390862407197119,0.13196767001114829
extra_trees_s05e_dynamic,ml,rate_residual_quantile,high_rate_residual,5630,7,4.170587726220988,3.8212467541965993,4.66376867314402,13.905191104184697,12.060389216444056,15.396531651638256,0.27317939609236236
extra_trees_s05e_dynamic,ml,rate_residual_quantile,low_rate_residual,16712,7,2.5936865315132414,2.0437667394388512,6.72261029037678,10.12470146300608,9.113682365535436,14.234095896110423,0.20242939205361418
extra_trees_s05e_dynamic,ml,rate_residual_quantile,mid_rate_residual,43142,7,1.8954179494108254,1.658189464682023,3.1043845584598,7.3716296512573685,6.419583872694494,8.983614967992644,0.12855222289184554
extra_trees_s05e_dynamic,ml,current_group,low_current_2nA,169,2,3.5511535916944346,2.6581877679572763,3.603275896456161,12.563023293684875,2.9984561502433387,13.072868302260346,0.20710059171597633
extra_trees_s05e_dynamic,ml,current_group,nominal_current_20nA,65315,19,2.1957297423332083,1.876904476847034,3.2107228526029505,8.848206652373245,7.557543263013409,11.313575890123458,0.1602235321136033
extra_trees_s05e_dynamic,ml,topology,B2_containing,43956,21,2.61107003868222,2.056515668215892,4.740256994627388,10.314763098199716,8.707668182597933,13.240834773183783,0.20936845936845938
extra_trees_s05e_dynamic,ml,topology,downstream_only,21528,21,1.7005912014160078,1.573048923512207,2.135260063354949,4.67745140619669,3.8989270931807787,6.296247086239598,0.059318097361575624
mlp,ml,rate_residual_quantile,high_rate_residual,5630,7,10.282520182225309,6.902441327160963,13.009926340997009,30.142764331449435,28.21902549419337,32.19283840531667,0.3689165186500888
mlp,ml,rate_residual_quantile,low_rate_residual,16712,7,4.463318801587461,3.9053167914235725,32.54134355365422,21.478786002937422,16.131849460340874,38.901945548532424,0.2743537577788416
mlp,ml,rate_residual_quantile,mid_rate_residual,43142,7,4.09476360556648,3.5482228606381,5.078395088412336,16.151887950694626,12.228154411007592,21.434815569940305,0.2222891845533355
mlp,ml,current_group,low_current_2nA,169,2,6.218012852903488,4.545376731408611,6.3958495322509785,31.81305180947834,27.511226788022967,32.147142241373125,0.33727810650887574
mlp,ml,current_group,nominal_current_20nA,65315,19,4.26720154734454,3.8601256707828053,5.761962972987814,19.141506817170416,15.321357379012015,25.820454710506382,0.24582408328867794
mlp,ml,topology,B2_containing,43956,21,4.949625045190333,4.103718441044166,18.550975567594627,23.187719492354784,18.64841587331229,34.51700394438494,0.28414778414778413
mlp,ml,topology,downstream_only,21528,21,3.0307937358074115,2.7119845139220753,3.1684405443803088,6.733857304186332,6.0634818471723495,7.298734617645002,0.08361204013377926
cnn_1d,ml,rate_residual_quantile,high_rate_residual,5630,7,12.278199109206366,7.790528714136041,15.089199397498536,32.2951482021175,30.377898440875224,34.31060317769155,0.4669626998223801
cnn_1d,ml,rate_residual_quantile,low_rate_residual,16712,7,6.380601958364325,5.264201268547635,33.007873857869775,21.87738409117282,15.78958773540175,38.18356110933506,0.4149114408808042
cnn_1d,ml,rate_residual_quantile,mid_rate_residual,43142,7,4.662482686463051,3.8438668338596584,6.247768291352917,17.407310445938393,12.616733704535871,25.960867906779264,0.2859162764823142
cnn_1d,ml,current_group,low_current_2nA,169,2,9.074103027549977,3.771856430706491,9.162487550194959,33.92118558457581,28.46072672138713,34.34707786135589,0.4378698224852071
cnn_1d,ml,current_group,nominal_current_20nA,65315,19,5.7930617310717345,4.454726057249071,10.015299915607025,20.47774099691514,16.153340266313133,28.87211898851304,0.3706039960192911
cnn_1d,ml,topology,B2_containing,43956,21,6.885457843952743,4.769238206457342,17.621127350059993,24.669709119145015,19.810234428994697,33.0042393424451,0.39908089908089905
cnn_1d,ml,topology,downstream_only,21528,21,4.3119292338036015,3.3610099779886475,4.950622910480875,7.536359686496945,6.854751649683793,8.079202405808902,0.2525083612040134
support_gated_cnn_new,ml,rate_residual_quantile,high_rate_residual,5630,7,10.715341991822129,7.505690764804877,14.367390077769617,31.545973984640185,29.612004396640067,34.426081991833655,0.3783303730017762
support_gated_cnn_new,ml,rate_residual_quantile,low_rate_residual,16712,7,5.339151979334304,4.021713374535106,31.61220426522685,22.950613789627162,16.270423083300095,41.8815127868078,0.292484442316898
support_gated_cnn_new,ml,rate_residual_quantile,mid_rate_residual,43142,7,4.760338489631603,3.2574785158145176,5.7204430761173155,17.19430399983125,11.920552240051963,27.88905019322221,0.2944926058133605
support_gated_cnn_new,ml,current_group,low_current_2nA,169,2,10.221316700603488,5.6623828419885225,10.534780667070322,34.20661526913143,28.45025223077401,34.5577689937089,0.39644970414201186
support_gated_cnn_new,ml,current_group,nominal_current_20nA,65315,19,4.883900494215723,3.8321035636841474,6.263621949331826,20.282877829198505,15.952994435330607,30.444152406439656,0.3068973436423486
support_gated_cnn_new,ml,topology,B2_containing,43956,21,5.726682914355387,4.483209224573744,18.203072967369668,24.482521170755167,19.083730393928413,33.762362249060814,0.34286559286559287
support_gated_cnn_new,ml,topology,downstream_only,21528,21,3.4872432707261574,3.141120399441075,3.792515527119785,7.117906726455443,6.219652444787957,7.927813314099538,0.15454292084726867
waveform_only_mlp,control,rate_residual_quantile,high_rate_residual,5630,7,11.29062790755855,7.356543978057469,14.678492871549427,30.755804829805847,28.683506008718552,32.26551188834022,0.386145648312611
waveform_only_mlp,control,rate_residual_quantile,low_rate_residual,16712,7,4.6538140319124865,3.9160451418722957,33.49402216914096,22.06273291296549,14.844383022055336,39.11826959490256,0.28392771661081856
waveform_only_mlp,control,rate_residual_quantile,mid_rate_residual,43142,7,3.4892995230919532,3.182752298110325,5.342419977396175,16.672862116894514,12.58467543945083,28.68747939744376,0.1653840804784201
waveform_only_mlp,control,current_group,low_current_2nA,169,2,7.6570739753391655,3.59272006566536,7.969364112542168,32.42037706257093,27.544312634350195,32.78813840848617,0.4260355029585799
waveform_only_mlp,control,current_group,nominal_current_20nA,65315,19,3.883513818976538,3.3985506496164555,11.500282687344342,19.659417975047084,15.535070129347215,26.617288251597994,0.21782132741330476
waveform_only_mlp,control,topology,B2_containing,43956,21,4.672488982987291,3.5326313717326734,24.37594168950488,23.76521826468425,18.224434254730262,31.93692094405925,0.26144326144326147
waveform_only_mlp,control,topology,downstream_only,21528,21,3.0419685163148724,2.8705489710845824,3.4022309797372747,6.749489883568035,6.112772303395696,7.535396571644072,0.1014957264957265
pool_label_control,control,rate_residual_quantile,high_rate_residual,5630,7,10.75457983911278,6.328406081723153,13.578363406753214,31.732976455088732,29.632309948386293,33.22434327434036,0.42735346358792187
pool_label_control,control,rate_residual_quantile,low_rate_residual,16712,7,6.517064340450085,5.5812041503903025,32.62118971282631,21.61316552896996,15.872879182268303,40.5569577845935,0.4794159885112494
pool_label_control,control,rate_residual_quantile,mid_rate_residual,43142,7,5.023065625707054,4.475434492587469,9.405462785927186,16.579972336249178,12.199771961164375,24.11845841577088,0.3844049881785731
pool_label_control,control,current_group,low_current_2nA,169,2,7.556371926472439,4.41208212048557,7.556371926472439,32.90857874596457,29.00886854562931,33.14372679398954,0.4319526627218935
pool_label_control,control,current_group,nominal_current_20nA,65315,19,6.342126795921688,5.102843619967565,11.3583077873979,19.529520920073868,16.113127758554807,28.650479410468076,0.46802419046160915
pool_label_control,control,topology,B2_containing,43956,21,4.47718455393346,2.617627884322359,18.991460403341197,23.127179543771167,18.7880579509504,30.081336072059948,0.30635180635180637
pool_label_control,control,topology,downstream_only,21528,21,4.551120347873682,2.1778851500321394,8.375997648907376,8.709441824978969,7.525001128752839,10.600867911507812,0.17623560014864362
ml_shuffled_target_control,control,rate_residual_quantile,high_rate_residual,5630,7,12.00198129238187,7.417894606697011,15.457261086433741,31.884001599505044,30.011948849386055,33.7092874923573,0.43801065719360566
ml_shuffled_target_control,control,rate_residual_quantile,low_rate_residual,16712,7,6.136385355692624,5.398454259463985,34.88393280999865,23.06328360201967,16.725764826305962,39.80793840315675,0.38702728578267115
ml_shuffled_target_control,control,rate_residual_quantile,mid_rate_residual,43142,7,4.556971514446515,4.191428200011806,11.26454371267992,17.514853084143937,12.438461197030012,25.43523270498149,0.27305178248574474
ml_shuffled_target_control,control,current_group,low_current_2nA,169,2,9.074713872730882,8.589159979092912,9.214866409267103,32.619897320603734,32.423040145040055,32.647267592952055,0.41420118343195267
ml_shuffled_target_control,control,current_group,nominal_current_20nA,65315,19,5.002907480513155,4.420323266703552,10.557219618477792,20.611127901440025,16.048302008464667,29.67483679335283,0.31602235321136035
