method,action_label,n,total,support_fraction
cnn_tail_knockout_surrogate,accept,2301,13351,0.17234664070107109
cnn_tail_knockout_surrogate,diagnostic_only,6714,13351,0.5028836791251592
cnn_tail_knockout_surrogate,veto,4336,13351,0.3247696801737698
control_gated_cnn_gbt_ensemble,accept,3921,13351,0.2936858662272489
control_gated_cnn_gbt_ensemble,diagnostic_only,2330,13351,0.17451876263950267
control_gated_cnn_gbt_ensemble,veto,7100,13351,0.5317953711332485
gradient_boosted_trees_tail_surrogate,accept,3702,13351,0.2772826005542656
gradient_boosted_trees_tail_surrogate,diagnostic_only,5945,13351,0.44528499737847355
gradient_boosted_trees_tail_surrogate,veto,3704,13351,0.2774324020672609
mlp_tail_surrogate,accept,1409,13351,0.10553516590517564
mlp_tail_surrogate,diagnostic_only,8196,13351,0.6138866002546626
mlp_tail_surrogate,veto,3746,13351,0.2805782338401618
ridge_tail_surrogate,accept,3458,13351,0.2590068159688413
ridge_tail_surrogate,diagnostic_only,6459,13351,0.4837839862182608
ridge_tail_surrogate,veto,3434,13351,0.2572091978128979
sentinel_amplitude_only_ridge,accept,2902,13351,0.2173619953561531
sentinel_amplitude_only_ridge,diagnostic_only,7015,13351,0.525428806830949
sentinel_amplitude_only_ridge,veto,3434,13351,0.2572091978128979
sentinel_run_only_ridge,accept,2944,13351,0.220507827129054
sentinel_run_only_ridge,diagnostic_only,3917,13351,0.2933862632012583
sentinel_run_only_ridge,veto,6490,13351,0.48610590966968764
sentinel_shuffled_current_ridge,accept,3979,13351,0.29803011010411207
sentinel_shuffled_current_ridge,diagnostic_only,6434,13351,0.4819114673058198
sentinel_shuffled_current_ridge,veto,2938,13351,0.22005842259006816
sentinel_shuffled_live10_ridge,accept,347,13351,0.0259905625046813
sentinel_shuffled_live10_ridge,diagnostic_only,3290,13351,0.24642348887723767
sentinel_shuffled_live10_ridge,veto,9714,13351,0.727585948618081
