method,n_runs,n_rows,q_template_mse,q_template_mse_ci_low,q_template_mse_ci_high,tail_mse,tail_mse_ci_low,tail_mse_ci_high,live10_abs_error_ns,live10_abs_error_ns_ci_low,live10_abs_error_ns_ci_high,tau_eff_abs_error_ns,tau_eff_abs_error_ns_ci_low,tau_eff_abs_error_ns_ci_high,timing_abs_error_ns,timing_abs_error_ns_ci_low,timing_abs_error_ns_ci_high,secondary_abs_error,secondary_abs_error_ci_low,secondary_abs_error_ci_high,timing_sigma68_ns,timing_sigma68_ns_ci_low,timing_sigma68_ns_ci_high
sentinel_amplitude_only_ridge,21,13351,0.08194780711568526,0.07223140319453175,0.09213495216788134,0.1440995017128894,0.12331036338989854,0.16691506995895516,24.752824009327842,22.345685839816948,27.220534552951857,10.750014878773406,9.704608054576129,11.821727950803789,0.6418549489773608,0.5966784228049676,0.6946113137324451,0.0536819766574281,0.04996873083229337,0.05742227972764237,0.5164584459927019,0.4863888899526604,0.550424826239173
gradient_boosted_trees_tail_surrogate,21,13351,0.08475027916944824,0.07353752082366219,0.09540129824838553,0.14812863446232022,0.12487839256182952,0.1717449346043361,25.74142325421539,23.149995832855936,28.154336305615686,11.17935807564179,10.053915446292608,12.227272899177276,0.6187022272377692,0.5801909788372214,0.6557635203867853,0.05445181804292601,0.05037952290989036,0.05835589087981834,0.3435178007105585,0.31124627305563674,0.37876313038530085
sentinel_shuffled_current_ridge,21,13351,0.08367380213498812,0.07366076472027035,0.0936626084469112,0.14969091529132614,0.12673588209973632,0.17292588805311418,24.633430788979343,22.202288090452747,26.942287892130707,10.698163061999395,9.64233120330991,11.700886961401155,0.6474740054537542,0.5839707895086498,0.7238568508244015,0.05080473902909581,0.04697624850687622,0.05461417698391651,0.6143650925529046,0.5537852187034811,0.6931043450136027
ridge_tail_surrogate,21,13351,0.08455386171313121,0.07413760757236663,0.09570855121489052,0.15085376817414303,0.12733947823566003,0.17539135878682613,24.672111892042636,22.101963405997363,27.242507286853854,10.714962051613714,9.598760746452257,11.83127058788976,0.6339826887781705,0.5955032679544904,0.6739392865149119,0.05137759208118681,0.047866466739894704,0.05527799923692907,0.6079124240081362,0.569792520462646,0.6492952935055205
mlp_tail_surrogate,21,13351,0.10269242020419604,0.08332956739750691,0.12474975530337067,0.18557101512126697,0.15319642074794562,0.2187950451705022,24.713530449089554,22.541088278410292,26.900576960538917,10.732949902387585,9.789470255407661,11.682772133975798,1.286071544517903,1.0381937896225788,1.6225670002705217,0.05753586109633433,0.052342580838713355,0.0635768936997011,1.204027078276539,1.0196134406618085,1.4393062651325994
cnn_tail_knockout_surrogate,21,13351,0.1058940449248801,0.09073992403665403,0.12129417536919082,0.18976124160340574,0.1601444959424021,0.22142240066485624,25.265562852100764,22.914932861553307,27.54374298360613,10.972694528847146,9.951828894956092,11.96209558874155,0.9350427315791844,0.8178908476465876,1.0663040526778504,0.054101202712836215,0.05098909126740848,0.05729529622072495,0.9528178438801824,0.7975129447409749,1.1505503143195663
control_gated_cnn_gbt_ensemble,21,13351,0.15790983870052122,0.14077916910992588,0.17542414455992913,0.24486971527346396,0.21477828798553772,0.2735916986239805,23.849888101377456,21.614552667271145,25.939592078644406,10.357874796438253,9.387080952203071,11.26542170257657,0.5767236102580199,0.507233729065865,0.6442118960970926,0.049139354406849675,0.04627646453530256,0.05182682546026438,0.48643411067357656,0.41280798027256144,0.5888722872513502
sentinel_run_only_ridge,21,13351,0.16675414837813468,0.14981293739749818,0.18450598309304372,0.25049414342551446,0.22101778854211987,0.2810050894476841,29.51136104493666,26.968772071790607,31.907107269839866,12.816621255270574,11.712388894485185,13.857080620786583,0.6619966909546809,0.6352068485841981,0.6938175791602327,0.07704198032658384,0.07339175579078279,0.08062455320020295,0.11694343103630335,0.11372367488155155,0.12055245674401574
traditional_empirical_template,21,13351,0.16946040321159958,0.14730708585874905,0.1884631100684888,0.2726062072816697,0.23102118429310697,0.3098330408073368,27.157924594719876,24.58127941713215,29.206435608407393,11.79453679143145,10.675514008982478,12.684193820793977,0.2709918906607297,0.23364356353992466,0.30792462118398783,0.05013655650856946,0.04612706025836904,0.05331361153982865,0.10931339943842486,0.10520202908518064,0.11365304297814904
sentinel_shuffled_live10_ridge,21,13351,0.18522254844474154,0.1646013991266831,0.20372521560372006,0.28180307965243323,0.24947452189680985,0.3140667894897374,26.800264411108326,24.27658753290019,28.94505993047946,11.639206947292447,10.54318800497983,12.570679806166153,1.2882702203818621,1.2566064415577916,1.3232353162712642,0.05013655644582452,0.046373200494305364,0.053368558599639244,1.1910045358508092,1.1584631144327884,1.223121104928635
