heldout_run,n_eval,n_train_pool,n_fit,traditional_templates,cnn_device,control_gated_accept_fraction
44,410,638699,9000,82,cpu,0.7121951219512195
45,704,616404,9000,82,cpu,0.6519886363636364
46,251,640050,9000,82,cpu,0.7330677290836654
47,415,635461,9000,80,cpu,0.672289156626506
48,670,626737,9000,82,cpu,0.6611940298507463
49,662,625922,9000,82,cpu,0.648036253776435
50,677,605520,9000,82,cpu,0.6469719350073855
51,584,625997,9000,82,cpu,0.666095890410959
52,491,633585,9000,82,cpu,0.7128309572301426
53,670,608537,9000,82,cpu,0.6537313432835821
54,671,610297,9000,82,cpu,0.6482861400894188
55,623,623350,9000,82,cpu,0.6629213483146067
56,689,600589,9000,82,cpu,0.6589259796806967
57,676,626904,9000,82,cpu,0.6538461538461539
58,673,623956,9000,82,cpu,0.687964338781575
59,758,619360,9000,82,cpu,0.6899736147757256
60,802,623708,9000,82,cpu,0.7032418952618454
61,767,621772,9000,82,cpu,0.7079530638852672
62,762,621648,9000,82,cpu,0.7034120734908137
63,736,621920,9000,82,cpu,0.6739130434782609
65,660,627699,9000,82,cpu,0.6803030303030303
