method,current_stratum,saturation_bin,amp_bin_label,peak_phase_bin,q_proxy_bin,n,n_runs,q_delta,tail_delta,live10_delta_ns,timing_delta_ns,secondary_error_delta,action_label,reason
cnn_tail_knockout_surrogate,high_20nA,boundary,a4700_6800,late,q_low,250,12,-0.005078406688717066,-0.007403049745342947,-10.0,0.13215142726794965,-0.01816865133433076,accept,reconstruction_and_controls_pass
cnn_tail_knockout_surrogate,high_20nA,boundary,a6800_10000,late,q_low,172,12,-0.008674144353679344,-0.01263291357091508,-10.0,0.352449116166737,-0.004276500736494906,accept,reconstruction_and_controls_pass
cnn_tail_knockout_surrogate,high_20nA,saturated_proxy,a6800_10000,late,q_mid,232,12,-0.006883570171109929,-0.010067782748804174,-10.0,0.16055834370576386,-0.0020691602418027276,accept,reconstruction_and_controls_pass
cnn_tail_knockout_surrogate,high_20nA,saturated_proxy,a6800_10000,nominal,q_mid,73,12,-0.007094664436875334,-0.010121592987099129,-10.0,0.47539300699561515,-0.006335550921467133,accept,reconstruction_and_controls_pass
cnn_tail_knockout_surrogate,high_20nA,unsaturated,a1000_1500,late,q_high,261,12,-0.21300075159487702,-0.3017382294789126,1.7241379310344827,0.40706283190698783,-0.008221790996483328,accept,reconstruction_and_controls_pass
cnn_tail_knockout_surrogate,high_20nA,unsaturated,a2200_3200,early,q_high,46,12,-0.14947847011161672,-0.1559171400291465,-27.608695652173914,0.4185594143325275,0.0028768947509042776,accept,reconstruction_and_controls_pass
cnn_tail_knockout_surrogate,sample_ii,boundary,a4700_6800,late,q_low,192,7,-0.00678461530611826,-0.010351750117931232,-10.0,0.41125330620712913,-0.011670329056239846,accept,reconstruction_and_controls_pass
cnn_tail_knockout_surrogate,sample_ii,boundary,a6800_10000,late,q_low,197,7,-0.006538562143946941,-0.010010020256327851,-9.593908629441625,0.35750886105837165,0.008784679457726652,accept,reconstruction_and_controls_pass
cnn_tail_knockout_surrogate,sample_ii,saturated_proxy,a6800_10000,late,q_high,46,7,-0.02743826027060815,-0.039963188122576994,-8.478260869565217,-0.332878145613087,-0.013495755018397395,accept,reconstruction_and_controls_pass
cnn_tail_knockout_surrogate,sample_ii,saturated_proxy,a6800_10000,late,q_mid,128,7,-0.0032223947321101294,-0.004805834043178369,-9.453125,0.44561239084753884,0.016459831516084447,accept,reconstruction_and_controls_pass
cnn_tail_knockout_surrogate,sample_ii,unsaturated,a1000_1500,late,q_high,108,7,-0.17063363489932287,-0.2373292258538214,-6.203703703703703,0.4810315603288552,-0.026520825946789593,accept,reconstruction_and_controls_pass
cnn_tail_knockout_surrogate,sample_ii,unsaturated,a3200_4700,very_late,q_low,62,7,-0.14405157488315115,-0.51574831586592,-4.838709677419355,0.27744026374713937,-0.012367310354873172,accept,reconstruction_and_controls_pass
cnn_tail_knockout_surrogate,sample_ii,unsaturated,a4700_6800,late,q_low,125,7,-0.0016263610091863893,-0.003003936167467724,-8.32,0.2091977410436741,-0.013295826775590784,accept,reconstruction_and_controls_pass
cnn_tail_knockout_surrogate,sample_ii,unsaturated,a4700_6800,late,q_mid,345,7,-0.0015280140121447562,-0.002907777734617811,-8.927536231884059,0.20569990986786246,-0.015906373021031008,accept,reconstruction_and_controls_pass
cnn_tail_knockout_surrogate,sample_ii,unsaturated,a4700_6800,very_late,q_mid,64,6,-0.0062372739116350814,-0.010565485675922697,-6.09375,0.3187094022801199,-0.01916529267270723,accept,reconstruction_and_controls_pass
cnn_tail_knockout_surrogate,high_20nA,boundary,a4700_6800,late,q_high,7,6,-0.03942136835901677,-0.05166563251754502,-7.142857142857143,0.13391332978195297,-0.0179084030001079,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,boundary,a4700_6800,late,q_mid,25,11,-0.0050864913728015096,-0.006861082536704612,-10.0,0.09750292637549265,-0.0019658216172662667,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,boundary,a4700_6800,nominal,q_high,10,7,-0.02559602191562162,-0.03549932428659537,6.0,0.4778872123820723,0.009459242617237986,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,boundary,a4700_6800,nominal,q_low,88,12,-0.002598737452408289,-0.004029419902839105,-10.0,0.5368998351781544,-0.005932604473767204,diagnostic_only,reconstruction_gain_control_failure
cnn_tail_knockout_surrogate,high_20nA,boundary,a4700_6800,nominal,q_mid,16,7,0.0048131900959346875,0.006115354158026047,3.75,0.4933167015393716,0.016565211827052805,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,boundary,a4700_6800,very_late,q_high,2,2,-0.009494524668244755,-0.0152113934357961,-5.0,5.637149805463081,-0.0007721844251134674,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,boundary,a4700_6800,very_late,q_low,7,5,-0.09906578083019275,-0.47490652104218806,-10.0,1.140106756949251,-0.03214027260464918,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,boundary,a6800_10000,early,q_high,2,2,-0.009560340084135532,-0.007464006543159464,10.0,0.4209701231546381,-0.0020663380045217034,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,boundary,a6800_10000,late,q_high,20,8,-0.024928096018950734,-0.0354687783298341,-7.0,0.20435013615722464,-0.0008702686882862326,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,boundary,a6800_10000,late,q_mid,73,12,-0.009349025929261129,-0.013412057439498557,-10.0,0.6056647835516303,-0.002708887284298965,diagnostic_only,reconstruction_gain_control_failure
cnn_tail_knockout_surrogate,high_20nA,boundary,a6800_10000,nominal,q_high,17,10,-0.007144033739659099,-0.011203518959793343,-1.7647058823529411,-0.29956131634212735,0.010085969795530945,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,boundary,a6800_10000,nominal,q_low,100,12,-0.006653202359619384,-0.009717637377325446,-10.0,0.7498449098190615,-0.004855652089489753,diagnostic_only,reconstruction_gain_control_failure
cnn_tail_knockout_surrogate,high_20nA,boundary,a6800_10000,nominal,q_mid,20,9,-0.004633468115592704,-0.006822428236811016,-8.0,0.9075813385095965,-0.0030682288220326426,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,boundary,a6800_10000,very_late,q_high,4,3,-0.06102274314445609,-0.08355427330190487,-10.0,0.29527587991014514,-0.006992241092555196,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,boundary,a6800_10000,very_late,q_low,19,9,-0.0012078631971731088,0.02978909333192166,-8.421052631578947,1.503531508738593,0.012815788405123513,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,boundary,a6800_10000,very_late,q_mid,1,1,0.0018046895662943568,-0.002298184803553982,-10.0,0.24830775470124244,0.010282048577065994,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,saturated_proxy,a10000_15000,early,q_high,1,1,0.01429256796836853,0.10418607638432428,10.0,-2.223200282139386,0.1061567058516884,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,saturated_proxy,a10000_15000,nominal,q_high,3,3,0.01922391325819726,-0.01286418694588873,-10.0,0.3547937332834887,0.055594868474579444,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,saturated_proxy,a6800_10000,early,q_high,1,1,0.015454374253749847,0.03639181875265562,10.0,1.6615275184529787,0.09054766416546903,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,saturated_proxy,a6800_10000,late,q_high,29,11,-0.02723205780221289,-0.03772071223820093,-9.310344827586206,0.09001451986497876,0.001121457010936253,diagnostic_only,low_support
cnn_tail_knockout_surrogate,high_20nA,saturated_proxy,a6800_10000,late,q_low,7,7,-0.008049018908010309,-0.011480066939398193,-10.0,0.3086882669457428,-0.0027120906299405606,diagnostic_only,low_support
