lowering_axis,anomaly_taxon,saturation_stratum,method,n,bias_median_frac,charge_res68_abs_frac,charge_full_rms_frac,within_25pct,coverage68,coverage90,mean_width90_frac,abstention_coverage,retained_coverage90,retained_charge_res68_abs_frac
dynamic_only,baseline_lowering,below_sat,strong_traditional_huber,13180,0.06543978648548748,0.7097640235493037,38.75480266958229,0.3418816388467375,0.6613050075872534,0.8823216995447648,6.256537177573714,0.0,,
dynamic_only,baseline_lowering,below_sat,ridge,13180,-0.10714573005480585,0.4125906711099075,116.17983194938752,0.40606980273141124,0.6682094081942337,0.8834597875569044,2.010973907252646,0.0,,
dynamic_only,baseline_lowering,below_sat,gradient_boosted_trees,13180,0.012986118934736219,0.1278603420914917,0.21945463815609373,0.8679059180576632,0.6572837632776934,0.8877086494688923,0.5527322468030261,0.0,,
dynamic_only,baseline_lowering,below_sat,mlp,13180,-0.009853958910087843,0.23937829802036242,227503.26701979572,0.6952959028831563,0.6574355083459787,0.8862670713201821,0.9318794383043194,0.0,,
dynamic_only,baseline_lowering,below_sat,cnn_1d,13180,0.16043933491935267,1.006086446173951,322.17601398484686,0.22776934749620636,0.6148710166919575,0.8153262518968134,167.69645651242672,0.0,,
dynamic_only,baseline_lowering,below_sat,wavegate_interval_net,13180,0.14608091840761162,0.8281378515900749,322.35415406279384,0.29301972685887706,0.6102427921092565,0.8140364188163884,159.71854670578028,0.007890743550834597,0.8557692307692307,0.4379901415071718
dynamic_only,template_shift,below_sat,strong_traditional_huber,250,0.23706867303201556,0.40747373362670597,0.801110905509828,0.48,0.708,0.932,3.6411881790554204,0.0,,
dynamic_only,template_shift,below_sat,ridge,250,0.005003843837832196,0.1114609461844153,0.1493833631901527,0.896,0.736,0.948,0.6257827591115097,0.0,,
dynamic_only,template_shift,below_sat,gradient_boosted_trees,250,0.06029192983696149,0.10084926236236696,0.1256328985923288,0.94,0.68,0.896,0.39959548892926633,0.0,,
dynamic_only,template_shift,below_sat,mlp,250,-0.05290460374979725,0.5299558277108392,0.46542673738419926,0.416,0.564,0.836,1.1435947307254426,0.0,,
dynamic_only,template_shift,below_sat,cnn_1d,250,-0.795914929350349,0.8893173476956003,27.375004495575602,0.0,0.592,0.78,48.501154079986954,0.168,0.8571428571428571,0.8373122881927124
dynamic_only,template_shift,below_sat,wavegate_interval_net,250,-0.8799026311176121,0.94074607174822,27.387807477510403,0.0,0.692,0.812,48.28108685174212,0.128,0.8125,0.8330975484477191
median_selected,baseline_lowering,below_sat,strong_traditional_huber,15345,0.21395442853607924,0.7934564062441193,1.4383785649911314,0.31645487129358096,0.6825676115998697,0.9007494297816878,4.668886447358151,0.0,,
median_selected,baseline_lowering,below_sat,ridge,15345,-0.07719874434124259,0.40197558846483994,0.8682677693955586,0.4013033561420658,0.7014011078527208,0.9047246660149886,2.6624345923456874,0.0,,
median_selected,baseline_lowering,below_sat,gradient_boosted_trees,15345,0.012795768871644924,0.13258762003656266,0.19453194328916798,0.8903225806451613,0.68217660475725,0.8975562072336266,0.5205782670122403,0.0,,
median_selected,baseline_lowering,below_sat,mlp,15345,-0.00635725951059408,0.18736049772138702,0.2864819664545446,0.7859889214727924,0.6430759204952753,0.8769631801889867,0.7516451489545062,0.0,,
median_selected,baseline_lowering,below_sat,cnn_1d,15345,0.14333229310146925,0.7133102849815164,72.94992768504997,0.3575757575757576,0.6261322906484197,0.8229390681003584,27.68540995882185,0.0,,
median_selected,baseline_lowering,below_sat,wavegate_interval_net,15345,0.10268277648492907,0.6694400771715624,73.9788438222728,0.2967741935483871,0.627109807754969,0.8177256435320951,26.542060590999128,0.0,,
median_selected,baseline_lowering,sat_boundary,strong_traditional_huber,1791,-0.10702627774140379,0.3785320812850437,0.43141911431908664,0.5577889447236181,0.6644332774986041,0.8799553322166388,1.204207319547816,0.0,,
median_selected,baseline_lowering,sat_boundary,ridge,1791,-0.14068040588459144,0.308517443704217,0.78364897871812,0.5979899497487438,0.6633165829145728,0.8838637632607482,1.0890693735057704,0.0,,
