method,event_n,proxy_bias_median,proxy_abs68,proxy_bias_median_ci95,proxy_abs68_ci95
gradient_boosted_trees,82958,0.004175964923800457,0.042444943722789785,"[0.0024114537062170705, 0.00701887436167019]","[0.03039032097203125, 0.06170015392307934]"
strong_traditional_huber,82958,0.0003193800313567863,0.0656083598557149,"[-0.0010373466301692778, 0.0020241622962806623]","[0.027246266259924445, 0.12332354645908307]"
ridge,82958,0.02037904540498392,0.1684456627472659,"[-0.0015509052814941522, 0.04117042907834475]","[0.12366179695739454, 0.2515935073878664]"
mlp,82958,-0.024896375313842256,0.19085903959761952,"[-0.14670066672043305, -0.0009749359133508516]","[0.08659964790894864, 0.4685846628754431]"
shuffled_target_gbt,82958,0.03105652661072167,1.1418370387886594,"[-0.14179926034545356, 0.23844225991076742]","[0.9978715117471141, 1.4645286607367747]"
wavegate_interval_net,82958,-0.016340134640800308,1.378431827131683,"[-0.16370222238547716, 1.7862294486127985]","[0.38989398038342893, 2.8118677986915785]"
cnn_1d,82958,-0.006652221097694699,1.4569782501066189,"[-0.17623112095669607, 1.6851224139532337]","[0.4465884215919843, 2.694208653602101]"
