heldout_run,fit_rows,calibration_rows,heldout_rows,calibration_runs,sampled_train_waveform_hash_overlap
58,517238,165465,17483,31 59 60 61 62 63 64 65,0
59,504357,172108,23721,31 32 60 61 62 63 64 65,0
60,478359,202610,19217,31 32 33 61 62 63 64 65,0
61,462859,216047,21280,31 32 33 34 62 63 64 65,0
62,470559,208329,21298,31 32 33 34 35 63 64 65,0
63,479944,199954,20288,31 32 33 34 35 36 64 65,0
64,471424,212981,15781,31 32 33 34 35 36 37 65,0
65,470286,215820,14080,31 32 33 34 35 36 37 39,0
