method,n,bias_median_frac,charge_res68_abs_frac,charge_full_rms_frac,within_25pct,coverage68,coverage90,mean_width90_frac,abstention_coverage,retained_coverage90,retained_charge_res68_abs_frac,run
strong_traditional_huber,17483,0.0004846537434444303,0.009295647913846822,0.28329356532995364,0.9519533260881999,0.8509409140307728,0.970771606703655,0.5181777044967779,0.9277583938683293,0.9710850801479655,0.008090621715904666,58
ridge,17483,0.04582582278791446,0.08370381617501492,0.19013078903438124,0.9583023508551164,0.7776125378939541,0.9569295887433507,0.4434696931671459,0.8410455871417949,0.955930359085963,0.074545201488033,58
gradient_boosted_trees,17483,0.0011864195356318943,0.017645831385101465,0.07665291233952254,0.9921066178573471,0.7748098152490991,0.9596751129668821,0.12532478845758496,0.9219241548933249,0.9635190470281673,0.015801787863463708,58
mlp,17483,-0.36507147010921254,0.4064299777439003,0.3808804722775713,0.13224275010009723,0.6315277698335526,0.8996167705771321,0.9304854727311973,0.8488245724418007,0.8931940700808625,0.40689675984906276,58
cnn_1d,17483,7.306888058714626,11.183893198660678,176.90900316188993,0.0,0.7789281015843963,0.9382829033918664,190.37788377651663,0.9129440027455242,0.9402293089405426,9.865182012689528,58
wavegate_interval_net,17483,6.929557326104205,10.630454014913074,168.86294665125556,0.0,0.7789281015843963,0.9382829033918664,181.63934206145376,0.9129440027455242,0.9402293089405426,9.371643751451892,58
shuffled_target_gbt,17483,-0.25025287974790245,0.5528804432781332,15.597123633079145,0.22084310473030944,0.7161242349711148,0.932048275467597,15.5067535131711,0.9277583938683293,0.931442663378545,0.5335883387295253,58
strong_traditional_huber,23721,0.0049603195879781925,0.06365858942511886,0.8295408388103646,0.81033683234265,0.6453353568567936,0.8808650562792463,1.406712992872882,0.7549850343577421,0.8715171143000726,0.024429760836628216,59
ridge,23721,0.0037472500703178368,0.11447933638361284,0.48950438397257506,0.8571729690991104,0.6636313814763289,0.8871042536149404,0.7708347166444188,0.6968087348762699,0.8800895395970718,0.08205280452923669,59
gradient_boosted_trees,23721,0.007295673090203146,0.03755368283896182,0.1395599359215372,0.962480502508326,0.6656127481977994,0.8842797521183762,0.21822850887449466,0.718013574469879,0.8831023954908408,0.02361356781680077,59
mlp,23721,0.0001841288617119383,0.086976742653115,2.8674088348332525,0.8914885544454281,0.6529657265713924,0.8858817081910544,0.47714049317357154,0.6932254120821213,0.8760034054974459,0.05102114037731871,59
cnn_1d,23721,0.032866796487859264,0.2535009492918772,0.5848867874398133,0.6763627165802454,0.6763205598414906,0.8965473630959909,1.3141672929325336,0.7567556173854391,0.8946576792379255,0.17951294318616207,59
wavegate_interval_net,23721,0.03735426460771503,0.2854259466436802,0.5922217820879967,0.6234981661818642,0.6817587791408457,0.9021963660891194,1.3335426790135327,0.7751359554824839,0.9000924566269647,0.2393628280780184,59
shuffled_target_gbt,23721,0.3305187663140606,1.104730320995563,27.043370401665687,0.2520129842755364,0.666750980144176,0.8930905105181063,38.820050189994,0.7514017115635935,0.8877917414721723,0.537018790846505,59
strong_traditional_huber,19217,9.401047203857188e-05,0.05321306804644648,0.9063307300079587,0.8198990477181662,0.6722693448509133,0.8844772857365873,1.4785391339734522,0.6634750481344642,0.8815686274509804,0.021495057568243388,60
ridge,19217,-0.006411687669136802,0.12049860636365144,78.43597773475496,0.8503408440443357,0.6552531612634647,0.8786491127647396,0.7964088912094834,0.5285944736431285,0.8773380586729671,0.07913339183843378,60
gradient_boosted_trees,19217,0.0045985815876575156,0.03531577351188974,0.16235279329179966,0.9705989488473747,0.6683665504501223,0.8959775199042515,0.20986198678936296,0.6227819118488838,0.8904578877005348,0.021500532803215355,60
mlp,19217,-0.022736068641634334,0.060185379763083795,2.942179806788462,0.951345163136806,0.6540042670552115,0.8775563303325181,0.2680522445942684,0.7190508404017276,0.874945722970039,0.04352977761709933,60
cnn_1d,19217,-0.1130779173239036,0.28108444645419917,0.5677977975921491,0.6183587448613207,0.6648800541187491,0.8899411978976948,1.208541662290387,0.7190508404017276,0.8891301201331596,0.2384427039082491,60
wavegate_interval_net,19217,-0.05805354903144888,0.300116082662251,0.6019255130906305,0.6075349950564605,0.6324608419628454,0.8692824062028413,1.3580908578853392,0.7440287245667898,0.8654357252762624,0.2271747770262609,60
shuffled_target_gbt,19217,0.09706171131006303,0.8832212195303214,26.49758315561248,0.27933600457927876,0.7039079981266587,0.9102357287818078,38.4343595207483,0.6634750481344642,0.9146666666666666,0.4829826514998899,60
strong_traditional_huber,21280,0.000991747379851722,0.0473123007467392,1.037128975218954,0.8261748120300751,0.6398966165413534,0.8840225563909775,1.422664408040095,0.43167293233082704,0.8608752449379491,0.016523428840023186,61
ridge,21280,-0.0017828745102365256,0.12225270959516758,0.4534829246027939,0.8541823308270676,0.6528665413533835,0.8713345864661655,0.7564092808518492,0.43167293233082704,0.8588068800348356,0.08144019621172595,61
gradient_boosted_trees,21280,0.0023992120334858816,0.033415722879371675,0.1400147259489906,0.9723214285714286,0.6440319548872181,0.8887218045112782,0.19166267775927426,0.43167293233082704,0.8717613760069671,0.01790002174070284,61
