quantity,report_value,reproduced,delta,tolerance,pass
total selected B-stave pulses from raw HRDv,640737,640737,0,0,True
sample_i_analysis selected B-stave pulses,252266,252266,0,0,True
sample_i_calib selected B-stave pulses,248745,248745,0,0,True
sample_ii_analysis selected B-stave pulses,125096,125096,0,0,True
sample_ii_calib selected B-stave pulses,14630,14630,0,0,True
