method,max_leaf_nodes,learning_rate,l2_regularization,group_cv_mae
hist_gradient_boosted_trees,15,0.03,0.05,0.6916476941012056
hist_gradient_boosted_trees,15,0.03,0.0,0.6923018312558913
hist_gradient_boosted_trees,31,0.03,0.0,0.6943601925676032
hist_gradient_boosted_trees,31,0.03,0.05,0.6948148837482968
hist_gradient_boosted_trees,15,0.06,0.0,0.6971585097225599
hist_gradient_boosted_trees,15,0.06,0.05,0.6980455143102289
hist_gradient_boosted_trees,63,0.03,0.05,0.6981175134993656
hist_gradient_boosted_trees,63,0.03,0.0,0.6990875190667765
hist_gradient_boosted_trees,31,0.06,0.0,0.7123122115527216
hist_gradient_boosted_trees,15,0.1,0.05,0.7141986822147686
hist_gradient_boosted_trees,31,0.06,0.05,0.7146825833339207
hist_gradient_boosted_trees,15,0.1,0.0,0.7151442503113656
hist_gradient_boosted_trees,63,0.06,0.0,0.7328523210463381
hist_gradient_boosted_trees,63,0.06,0.05,0.73614212530943
hist_gradient_boosted_trees,31,0.1,0.05,0.7408969238721962
hist_gradient_boosted_trees,31,0.1,0.0,0.7450568570454681
hist_gradient_boosted_trees,63,0.1,0.05,0.7710709207023009
hist_gradient_boosted_trees,63,0.1,0.0,0.7747893604662334
