run,group,eventno,evt,trigger,stave,stave_idx,channel,baseline_adc,amplitude_adc,log_amp,area_adc_samples,positive_area_adc_samples,log_positive_area,area_over_amp,positive_area_over_amp,peak_sample,cfd10_sample,cfd20_sample,cfd50_sample,cfd10_phase,cfd20_phase,cfd50_phase,cfd_slew_20_50,pretrigger_ptp_adc,tail_area_frac,late_area_frac,early_area_frac,secondary_peak_frac,post_peak_min_frac,plateau_count,peak_edge_score,timing_residual_ns,charge_log_residual,saturation_harm_score,anomaly_dropout_score,coupling_burden
59,sample_ii_analysis,447750,13150,1,B8,3,6,6887.5,3481.5,8.155218514382602,29667.0,29673.0,10.297993,8.52132701421801,8.523050409306334,8,5.421747448979592,5.865816326530612,6.443460812086874,-2.578252551020408,-2.134183673469388,-1.5565391879131258,0.5776444855562621,12.0,0.4378054,0.7561925,0.0010784215,0.9347982191584088,0.307769639523194,1.0,2.0,0.0,0.34430257261895036,0.0,2.089807608549783,1.2387414896215887
64,sample_ii_calib,644935,144,1,B6,2,4,6970.0,1466.0,7.290292882446597,10183.0,10303.0,9.2401905,6.946111869031378,7.027967257844475,5,2.1618374558303888,2.4208480565371024,3.1944444444444446,-2.8381625441696112,-2.5791519434628976,-1.8055555555555554,0.7735963879073422,686.0,0.07327963,0.29321557,0.32408038,0.897680763983629,0.013642564802182811,1.0,2.0,1.4745846256229678,0.4551176069239986,0.0,11.499120244781853,3.7096715295219553
62,sample_ii_analysis,544492,5196,1,B4,1,2,7005.0,3310.0,8.104703468371108,28640.0,28648.0,10.262839,8.652567975830816,8.654984894259819,7,4.373170731707317,4.776829268292683,5.437601296596434,-2.626829268292683,-2.2231707317073166,-1.5623987034035656,0.660772028303751,8.0,0.32421112,0.65131944,0.030438425,0.9652567975830816,0.24712990936555893,1.0,1.0,-2.7019149045767143,0.283242899119557,0.0,1.8618881741895414,2.3850459178815764
55,sample_i_analysis,289986,13667,1,B4,1,2,8348.0,1875.0,7.536363938404511,3358.0,11234.0,9.3267,1.7909333333333333,5.991466666666667,3,1.6147490820073438,1.729498164014688,2.1138941398865785,-1.3852509179926562,-1.270501835985312,-0.8861058601134215,0.38439597587189045,3220.0,0.0,0.060441516,0.5236781,0.9450666666666667,-0.6544,1.0,4.0,-0.7802265712309087,0.1689870686416839,0.0,49.826719999999995,8.473626512480735
49,sample_i_analysis,107239,231,1,B6,2,4,6910.5,1961.5,7.581464765649607,13824.0,13836.5,9.535066,7.047667601325516,7.054040275299515,9,5.37657200811359,5.7744421906693715,6.54418472063854,-3.62342799188641,-3.2255578093306285,-2.4558152793614596,0.7697425299691689,14.0,0.34062082,0.7247136,0.0012647707,0.7940351771603364,0.1297476421106296,1.0,3.0,2.7374484059963677,0.3508293224774697,0.0,1.77595968094949,2.5698638769356146
64,sample_ii_calib,632003,4484,1,B4,1,2,7813.5,1026.5,6.933910236458988,-820.0,4963.0,8.509766,-0.7988309790550414,4.834875791524598,4,1.6389039242219214,1.7778078484438429,2.268691588785047,-2.361096075778079,-2.222192151556157,-1.731308411214953,0.4908837403412041,1672.0,0.0,0.015615555,0.6490026,0.7418412079883098,-0.7593765221626887,1.0,3.0,-0.8150470151618894,0.22326871254268532,0.0,26.425835362883582,5.0501782750612065
62,sample_ii_analysis,568944,11149,1,B4,1,2,7005.0,2642.0,7.879291485082271,19523.0,19530.0,9.879707,7.389477668433005,7.392127176381529,8,5.102059496567506,5.404347826086957,6.237970253718285,-2.897940503432494,-2.5956521739130434,-1.7620297462817147,0.8336224276313287,10.0,0.31930363,0.6892985,0.009472607,0.9386828160484482,0.13815291445874336,2.0,2.0,-3.3654709890311363,0.2260821547261962,0.35,1.851165916466695,2.8302395090138024
47,sample_i_analysis,59986,5368,1,B4,1,2,7020.5,2119.5,7.658935490792691,2959.0,2972.5,7.9971585,1.3960839820712432,1.4024534088228355,17,15.26259044862518,15.56931982633864,16.24195278969957,-1.7374095513748191,-1.4306801736613597,-0.758047210300429,0.6726329633609307,24.0,0.97140455,0.9783011,0.0107653495,0.014390186364708658,0.0,1.0,11.0,-2.39921092417271,-1.3378069500748087,0.8999999999999999,2.1257964180651405,5.780576178267582
60,sample_ii_analysis,493021,6271,1,B6,2,4,6958.5,3444.5,8.14453403503325,30750.0,30787.0,10.334847,8.927275366526347,8.938017128755988,5,2.3260591133004924,2.665418719211823,3.3344985535197686,-2.6739408866995076,-2.334581280788177,-1.6655014464802314,0.6690798343079458,1052.0,0.18088804,0.44383994,0.24650015,0.9460008709536943,0.13107853099143563,1.0,2.0,1.4991980006268113,0.37870739919765484,0.0,17.24079952048146,4.39783294829701
61,sample_ii_analysis,508569,4302,1,B6,2,4,6910.0,2836.0,7.950149887652017,21386.0,21390.0,9.970679,7.540902679830747,7.542313117066291,9,5.22078239608802,5.567481662591687,6.385271317829457,-3.77921760391198,-3.432518337408313,-2.6147286821705427,0.8177896552377701,7.0,0.33884993,0.7163628,0.00514259,0.8603667136812412,0.16325811001410437,3.0,3.0,0.0,0.2810177190757912,0.7,1.747369933937097,1.5559015942728505
