method,delta_mae_vs_traditional,ci_low,ci_high
one_dimensional_cnn,-0.24660183682081227,-0.2742822650532735,-0.2121509181645424
phase_gated_residual_cnn,-0.23970750981677857,-0.2678446884575554,-0.2132223411517028
hist_gradient_boosted_trees,-0.22137705672689034,-0.25112474742436947,-0.18868415785687026
mlp,-0.21225485133960842,-0.2353787472620666,-0.18673923756563698
peak_phase_dropout_hgb,-0.1980244411286538,-0.22230109913554266,-0.16870982222979505
ridge,-0.12190026234707219,-0.1583225202507142,-0.08322004402186368
amplitude_only_hgb,0.029548566717533697,0.01180143710888436,0.044719227074064165
run_only_hgb,0.6327457643037556,0.564083309638556,0.6990047295151608
shuffled_target_hgb,0.7916200809161672,0.7202999968758389,0.8695558742888743
