B2,B4,B6,B8,run,group,events_total,selected_pulses
26948,592,237,94,31,sample_i_calib,39990,27871
27316,605,224,95,32,sample_i_calib,41921,28240
47724,559,318,136,33,sample_i_calib,57173,48737
33373,412,244,89,34,sample_i_calib,39765,34118
11029,403,163,72,35,sample_i_calib,27786,11667
9847,340,143,61,36,sample_i_calib,21764,10391
22956,997,423,161,37,sample_i_calib,50513,24537
13174,663,273,108,39,sample_i_calib,30321,14218
13575,707,310,116,40,sample_i_calib,32613,14708
14963,758,298,127,41,sample_i_calib,33997,16146
16977,711,307,117,42,sample_i_calib,33972,18112
1884,93,44,17,44,sample_i_analysis,4294,2038
22786,969,401,177,45,sample_i_analysis,48181,24333
675,7,3,2,46,sample_i_analysis,1441,687
5116,85,50,25,47,sample_i_analysis,10970,5276
13044,599,245,112,48,sample_i_analysis,31713,14000
13779,640,281,115,49,sample_i_analysis,32354,14815
34088,659,330,140,50,sample_i_analysis,44804,35217
14200,303,177,60,51,sample_i_analysis,20569,14740
6893,148,76,35,52,sample_i_analysis,10005,7152
31225,559,296,120,53,sample_i_analysis,39612,32200
29493,536,298,113,54,sample_i_analysis,37413,30440
16735,372,199,81,55,sample_i_analysis,24416,17387
38730,825,421,172,56,sample_i_analysis,51823,40148
12774,656,273,130,57,sample_i_analysis,31284,13833
15791,591,285,114,58,sample_ii_analysis,34141,16781
13565,4527,2366,919,59,sample_ii_analysis,42303,21377
9873,4040,2189,927,60,sample_ii_analysis,36074,17029
11015,4401,2490,1059,61,sample_ii_analysis,36535,18965
11635,4183,2342,929,62,sample_ii_analysis,37584,19089
14566,2645,1153,453,63,sample_ii_analysis,37030,18817
11907,1689,763,271,64,sample_ii_calib,35943,14630
11768,842,323,105,65,sample_ii_analysis,38424,13038
