method,method_alias,stratum,value,n_events,pid_purity,pid_efficiency,pid_specificity,pid_balanced_accuracy,energy_fractional_bias_proxy,timing_separation_sigma68_ns,pileup_recovery_efficiency
1d_cnn,1d_cnn,spacing_bin,merged_lt2,182,0.7160493827160493,0.6666666666666666,0.7578947368421053,0.712280701754386,1.144769447097449e-16,1.4116270220722624,0.6043956043956045
1d_cnn,1d_cnn,spacing_bin,close_2_6,148,0.8481012658227848,0.8589743589743589,0.8285714285714286,0.8437728937728938,1.7221243606345155e-16,1.4922381134931921,0.8445945945945946
1d_cnn,1d_cnn,pedestal_bin,"(-4320.819, -170.068]",220,0.8163265306122449,0.7547169811320755,0.8421052631578947,0.7984111221449851,0.0019765366799132885,2.469780817246425,0.5863636363636364
1d_cnn,1d_cnn,pedestal_bin,"(-170.068, -8.932]",220,0.780952380952381,0.7592592592592593,0.7946428571428571,0.7769510582010581,1.1600895399526408e-16,1.5715129901736022,0.36818181818181817
1d_cnn,1d_cnn,pedestal_bin,"(-8.932, 609.332]",220,0.7678571428571429,0.7543859649122807,0.7547169811320755,0.7545514730221781,1.2406738832111712e-16,1.7367887018501222,0.49090909090909096
1d_cnn,1d_cnn,saturation_bin,saturated,240,0.7520661157024794,0.7711864406779662,0.7540983606557377,0.762642400666852,0.10455387600178997,1.8604252594139594,0.5583333333333333
1d_cnn,1d_cnn,saturation_bin,unsaturated,420,0.8092783505154639,0.7476190476190476,0.8238095238095238,0.7857142857142857,0.0,1.8075841166830866,0.4380952380952381
1d_cnn,1d_cnn,pid_truth,deuteron,328,1.0,0.7560975609756098,0.0,0.3780487804878049,1.696388570399121e-16,1.9217441953129617,0.4664634146341463
1d_cnn,1d_cnn,pid_truth,proton,332,0.0,0.0,0.7981927710843374,0.3990963855421687,1.2356642431279894e-16,1.7681958941478202,0.4969879518072289
deltaE_over_E_likelihood_template,sparse_nn_template_bayesian_deltaE_E_likelihood_traditional,spacing_bin,merged_lt2,182,0.7283950617283951,0.6781609195402298,0.7684210526315789,0.7232909860859044,1.144769447097449e-16,2.170413723353155,0.20329670329670335
deltaE_over_E_likelihood_template,sparse_nn_template_bayesian_deltaE_E_likelihood_traditional,spacing_bin,close_2_6,148,0.8769230769230769,0.7307692307692307,0.8857142857142857,0.8082417582417583,1.7221243606345155e-16,1.5678786627599488,0.44594594594594594
deltaE_over_E_likelihood_template,sparse_nn_template_bayesian_deltaE_E_likelihood_traditional,pedestal_bin,"(-4320.819, -170.068]",220,0.8163265306122449,0.7547169811320755,0.8421052631578947,0.7984111221449851,0.0019765366799132885,1.891953876287751,0.20454545454545459
deltaE_over_E_likelihood_template,sparse_nn_template_bayesian_deltaE_E_likelihood_traditional,pedestal_bin,"(-170.068, -8.932]",220,0.7777777777777778,0.7129629629629629,0.8035714285714286,0.7582671957671958,1.1600895399526408e-16,2.4466473019478654,0.1454545454545455
deltaE_over_E_likelihood_template,sparse_nn_template_bayesian_deltaE_E_likelihood_traditional,pedestal_bin,"(-8.932, 609.332]",220,0.79,0.6929824561403509,0.8018867924528302,0.7474346242965906,1.2406738832111712e-16,1.395729469254063,0.25909090909090904
deltaE_over_E_likelihood_template,sparse_nn_template_bayesian_deltaE_E_likelihood_traditional,saturation_bin,saturated,240,0.7557251908396947,0.8389830508474576,0.7377049180327869,0.7883439844401223,0.10455387600178997,2.4392509888451337,0.1958333333333333
deltaE_over_E_likelihood_template,sparse_nn_template_bayesian_deltaE_E_likelihood_traditional,saturation_bin,unsaturated,420,0.8253012048192772,0.6523809523809524,0.861904761904762,0.7571428571428571,0.0,1.8484302479688934,0.20714285714285718
deltaE_over_E_likelihood_template,sparse_nn_template_bayesian_deltaE_E_likelihood_traditional,pid_truth,deuteron,328,1.0,0.7195121951219512,0.0,0.3597560975609756,1.696388570399121e-16,1.9612750909371275,0.2042682926829268
deltaE_over_E_likelihood_template,sparse_nn_template_bayesian_deltaE_E_likelihood_traditional,pid_truth,proton,332,0.0,0.0,0.8162650602409639,0.40813253012048195,1.2356642431279894e-16,2.046070571340793,0.2018072289156626
gradient_boosted_trees,gradient_boosted_trees,spacing_bin,merged_lt2,182,0.7395833333333334,0.8160919540229885,0.7368421052631579,0.7764670296430731,1.144769447097449e-16,1.172562675690037,0.6098901098901099
gradient_boosted_trees,gradient_boosted_trees,spacing_bin,close_2_6,148,0.8488372093023255,0.9358974358974359,0.8142857142857143,0.8750915750915751,1.7221243606345155e-16,1.3059450252936902,0.7972972972972973
gradient_boosted_trees,gradient_boosted_trees,pedestal_bin,"(-4320.819, -170.068]",220,0.8173913043478261,0.8867924528301887,0.8157894736842105,0.8512909632571997,0.0019765366799132885,1.7612066531846908,0.5727272727272728
gradient_boosted_trees,gradient_boosted_trees,pedestal_bin,"(-170.068, -8.932]",220,0.8016528925619835,0.8981481481481481,0.7857142857142857,0.841931216931217,1.1600895399526408e-16,1.3686869008501152,0.4136363636363637
gradient_boosted_trees,gradient_boosted_trees,pedestal_bin,"(-8.932, 609.332]",220,0.8062015503875969,0.9122807017543859,0.7641509433962265,0.8382158225753062,1.2406738832111712e-16,1.2875823073862809,0.42272727272727273
gradient_boosted_trees,gradient_boosted_trees,saturation_bin,saturated,240,0.7762237762237763,0.940677966101695,0.7377049180327869,0.839191442067241,0.10455387600178997,1.7105397609547242,0.6375
gradient_boosted_trees,gradient_boosted_trees,saturation_bin,unsaturated,420,0.8288288288288288,0.8761904761904762,0.819047619047619,0.8476190476190476,0.0,1.354142265056268,0.3738095238095238
gradient_boosted_trees,gradient_boosted_trees,pid_truth,deuteron,328,1.0,0.899390243902439,0.0,0.4496951219512195,1.696388570399121e-16,1.4200559819746477,0.448170731707317
gradient_boosted_trees,gradient_boosted_trees,pid_truth,proton,332,0.0,0.0,0.7891566265060241,0.39457831325301207,1.2356642431279894e-16,1.5381443483016883,0.49096385542168675
joint_sequence_transformer,sequence_transformer,spacing_bin,merged_lt2,182,0.4418604651162791,0.21839080459770116,0.7473684210526316,0.48287961282516634,1.144769447097449e-16,1.7096531617369228,0.5714285714285714
joint_sequence_transformer,sequence_transformer,spacing_bin,close_2_6,148,0.6153846153846154,0.20512820512820512,0.8571428571428571,0.5311355311355311,1.7221243606345155e-16,1.7292886583417237,0.7837837837837838
joint_sequence_transformer,sequence_transformer,pedestal_bin,"(-4320.819, -170.068]",220,0.5161290322580645,0.4528301886792453,0.6052631578947368,0.5290466732869911,0.0019765366799132885,2.3360157370587404,0.5409090909090909
joint_sequence_transformer,sequence_transformer,pedestal_bin,"(-170.068, -8.932]",220,0.4742268041237113,0.42592592592592593,0.5446428571428571,0.4852843915343915,1.1600895399526408e-16,2.100453567692928,0.34090909090909094
joint_sequence_transformer,sequence_transformer,pedestal_bin,"(-8.932, 609.332]",220,0.5543478260869565,0.4473684210526316,0.6132075471698113,0.5302879841112215,1.2406738832111712e-16,1.7609529763859013,0.44999999999999996
joint_sequence_transformer,sequence_transformer,saturation_bin,saturated,240,0.5185185185185185,0.3559322033898305,0.680327868852459,0.5181300361211447,0.10455387600178997,2.2701506734992547,0.5166666666666666
joint_sequence_transformer,sequence_transformer,saturation_bin,unsaturated,420,0.5124378109452736,0.49047619047619045,0.5333333333333333,0.5119047619047619,0.0,2.1259911577714585,0.4023809523809524
