method,method_alias,rate_sideband,n_events,pid_purity,median_pedestal_adc,median_energy_mev,mean_saturation_fraction,mean_failed_fraction
1d_cnn,1d_cnn,clean_same_run_control,330,0.7935483870967742,-50.843490381171975,61.26392872628499,0.2909090909090909,0.7484848484848485
1d_cnn,1d_cnn,controlled_overlap_high_rate,330,0.78125,-48.11712633741591,59.717352703723144,0.43636363636363634,0.2878787878787879
deltaE_over_E_likelihood_template,sparse_nn_template_bayesian_deltaE_E_likelihood_traditional,clean_same_run_control,330,0.7947019867549668,-50.843490381171975,61.26392872628499,0.2909090909090909,0.906060606060606
deltaE_over_E_likelihood_template,sparse_nn_template_bayesian_deltaE_E_likelihood_traditional,controlled_overlap_high_rate,330,0.7945205479452054,-48.11712633741591,59.717352703723144,0.43636363636363634,0.6878787878787879
gradient_boosted_trees,gradient_boosted_trees,clean_same_run_control,330,0.825136612021858,-50.843490381171975,61.26392872628499,0.2909090909090909,0.7545454545454545
gradient_boosted_trees,gradient_boosted_trees,controlled_overlap_high_rate,330,0.7912087912087912,-48.11712633741591,59.717352703723144,0.43636363636363634,0.30606060606060603
joint_sequence_transformer,sequence_transformer,clean_same_run_control,330,0.5164319248826291,-50.843490381171975,61.26392872628499,0.2909090909090909,0.7787878787878788
joint_sequence_transformer,sequence_transformer,controlled_overlap_high_rate,330,0.5072463768115942,-48.11712633741591,59.717352703723144,0.43636363636363634,0.3333333333333333
mlp,mlp,clean_same_run_control,330,0.7605633802816901,-50.843490381171975,61.26392872628499,0.2909090909090909,0.7090909090909091
mlp,mlp,controlled_overlap_high_rate,330,0.7071428571428572,-48.11712633741591,59.717352703723144,0.43636363636363634,0.296969696969697
ridge,ridge,clean_same_run_control,330,0.7945205479452054,-50.843490381171975,61.26392872628499,0.2909090909090909,0.7181818181818181
ridge,ridge,controlled_overlap_high_rate,330,0.7724137931034483,-48.11712633741591,59.717352703723144,0.43636363636363634,0.28484848484848485
template_residual_boosted_stack_new,causal_template_residual_boosted_stack_new,clean_same_run_control,330,0.8181818181818182,-50.843490381171975,61.26392872628499,0.2909090909090909,0.7515151515151515
template_residual_boosted_stack_new,causal_template_residual_boosted_stack_new,controlled_overlap_high_rate,330,0.8044692737430168,-48.11712633741591,59.717352703723144,0.43636363636363634,0.3393939393939394
