mask,samples,method,family,joint_score,energy_res68,energy_mae,energy_bias,timing_res68_samples,timing_mae_samples,pid_auc,stress_auc,n_events,n_runs,energy_res68_ci_low,energy_res68_ci_high,timing_res68_samples_ci_low,timing_res68_samples_ci_high,pid_auc_ci_low,pid_auc_ci_high,stress_auc_ci_low,stress_auc_ci_high
all_0_17,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",gradient_boosted_trees,tree,0.0799642576979721,0.03395565851527378,0.048978223719848134,0.0036454379654236035,0.6738823053221816,0.6426227014654965,0.9959292989572431,0.9937219916415959,4200,7,0.023705502495866997,0.04968038431968318,0.6212485496682445,0.7084319327043307,0.9947838208911615,0.9972856007601404,0.9910665610513032,0.9955022863515534
pretrigger_0_3,"0,1,2,3",traditional_charge_depth_timewalk,traditional,0.0955408007134997,0.13427696228027344,0.7759909629821777,-0.6545839309692383,0.0,0.0,0.9195410161394437,1.0,4200,7,0.1244250659942627,0.1511267013549805,0.0,0.0,0.9083927203992206,0.9308099365707801,1.0,1.0
peak_charge_8_11,"8,9,10,11",traditional_charge_depth_timewalk,traditional,0.0955408007134997,0.13427696228027344,0.7759909629821777,-0.6545839309692383,0.0,0.0,0.9195410161394437,1.0,4200,7,0.12438773918151856,0.14860466527938843,0.0,0.0,0.9063753399730763,0.9302296174276473,0.9999999999999999,1.0
rising_edge_4_7,"4,5,6,7",traditional_charge_depth_timewalk,traditional,0.0955408007134997,0.13427696228027344,0.7759909629821777,-0.6545839309692383,0.0,0.0,0.9195410161394437,1.0,4200,7,0.12123242568969728,0.1515423002243042,0.0,0.0,0.907138955030876,0.929931409448404,1.0,1.0
causal_0_11,"0,1,2,3,4,5,6,7,8,9,10,11",traditional_charge_depth_timewalk,traditional,0.0955408007134997,0.13427696228027344,0.7759909629821777,-0.6545839309692383,0.0,0.0,0.9195410161394437,1.0,4200,7,0.1229178457260132,0.15089497327804566,0.0,0.0,0.9090037564502788,0.9335126218662719,1.0,1.0
late_tail_12_17,"12,13,14,15,16,17",traditional_charge_depth_timewalk,traditional,0.0955408007134997,0.13427696228027344,0.7759909629821777,-0.6545839309692383,0.0,0.0,0.9195410161394437,1.0,4200,7,0.12255063009262086,0.15072707462310794,0.0,0.0,0.9104053365032266,0.9320280929541572,0.9999999999999999,1.0
all_0_17,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",traditional_charge_depth_timewalk,traditional,0.0955408007134997,0.13427696228027344,0.7759909629821777,-0.6545839309692383,0.0,0.0,0.9195410161394437,1.0,4200,7,0.12317089366912845,0.1511267013549805,0.0,0.0,0.906963064672544,0.9318301579245282,1.0,1.0
all_0_17,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",residual_cnn_gru_new,new_architecture,0.09641004781989171,0.0275635748320685,0.06401957281246554,0.001747066906798267,0.8404693082000172,0.7970084736272678,0.9893504464221364,0.9939716693933663,4200,7,0.015360888938725396,0.04898435336887961,0.7930853235435148,0.8909356742937519,0.9872717257702655,0.9914730377209862,0.9914982194171374,0.9967372282907717
causal_0_11,"0,1,2,3,4,5,6,7,8,9,10,11",gradient_boosted_trees,tree,0.1276777861553106,0.05432677105652834,0.0813857775398323,0.00525418331385108,0.9672452614681946,0.9517377152685299,0.959658859946865,0.9817823511119865,4200,7,0.0386901924720928,0.07281840332720477,0.8648194607525901,1.0685735585540737,0.9533305475939007,0.9645963185743502,0.9758964485344596,0.9873759740848452
causal_0_11,"0,1,2,3,4,5,6,7,8,9,10,11",residual_cnn_gru_new,new_architecture,0.13424353080415702,0.04646664585601802,0.08846018976155709,0.0028666782180222228,1.0419666831451229,1.0177367199057206,0.9536854232892218,0.9823796862181159,4200,7,0.025756781209762613,0.08196246640783718,0.9456875332032909,1.15594925235955,0.9497078434419405,0.9596831560291179,0.9749751963570379,0.9884071009828838
all_0_17,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",attention_transformer_small,attention,0.15590918384442323,0.08825068221860903,0.129055558307668,0.016485595808381603,1.1820693933461817,1.127909004113292,0.979121014771361,0.9731962106483274,4200,7,0.05921589955123683,0.14145456148540825,1.0955280261211502,1.3063778336781573,0.9730280962703309,0.9853419010387705,0.9616725003811433,0.9816670670241082
causal_0_11,"0,1,2,3,4,5,6,7,8,9,10,11",attention_transformer_small,attention,0.17738295464507675,0.1162468806036279,0.1485285197279761,0.014260142839076728,1.1811191278585247,1.19091577343726,0.9418422045105318,0.9564718364757002,4200,7,0.0722615124611252,0.17074557263355442,1.0718121054419811,1.2439944790498652,0.9383569459567357,0.9460255968880185,0.9450777233560516,0.9721349216275152
