axis,method,levels,worst_level,worst_sigma68_ns,best_level,best_sigma68_ns,sigma68_span_ns,highest_tail_level,highest_tail_fraction_abs_gt_5ns
energy_bin,edge_attention_cnn_new,4,q4_high,6.948138733931609,q3,4.459102247204909,2.4890364867267003,q4_high,0.5269406392694064
energy_bin,1d_cnn,4,q4_high,6.10054918167094,q3,4.745443454715318,1.355105726955622,q4_high,0.4155251141552511
energy_bin,waveform_transformer,4,q3,6.60175859524378,q2,5.437555080102311,1.1642035151414687,q2,0.48440610484406105
energy_bin,mlp,4,q2,4.773303941952429,q4_high,3.8810624442394888,0.8922414977129405,q2,0.2906436629064366
energy_bin,gradient_boosted_trees,4,q2,4.001759749040662,q4_high,3.3317871255792393,0.669972623461423,q2,0.22694094226940942
energy_bin,ridge,4,q2,4.538385205372734,q4_high,3.922653556695618,0.6157316486771158,q2,0.2727272727272727
energy_bin,traditional_cfd_template_timewalk,4,q4_high,0.9942324615574885,q2,0.5767753525344232,0.4174571090230652,q1_low,0.0
pedestal_drift_bin,edge_attention_cnn_new,3,high,7.914032073622636,mid,5.7805313507136304,2.1335007229090053,high,0.5082938388625592
pedestal_drift_bin,1d_cnn,3,high,6.668809252510073,mid,5.284200429362823,1.38460882314725,high,0.42890995260663506
pedestal_drift_bin,waveform_transformer,3,high,7.13628066785863,mid,6.5076865551762175,0.6285941126824124,high,0.47985781990521326
pedestal_drift_bin,gradient_boosted_trees,3,high,3.9652800935813346,low,3.4964365214459745,0.4688435721353601,high,0.22867298578199052
pedestal_drift_bin,mlp,3,mid,4.4453317404265,low,4.14736552858037,0.2979662118461297,mid,0.256811301715439
pedestal_drift_bin,ridge,3,high,4.402796645878453,mid,4.150725961108845,0.2520706847696079,high,0.273696682464455
pedestal_drift_bin,traditional_cfd_template_timewalk,3,low,0.8283433123648767,mid,0.7982655800939531,0.030077732270923585,high,0.0
pid_sideband,edge_attention_cnn_new,3,high_duplicate,10.574243780809248,low_duplicate,5.871548837396382,4.702694943412865,high_duplicate,0.6217142857142857
pid_sideband,1d_cnn,3,high_duplicate,7.897362235387919,low_duplicate,5.083748020480073,2.8136142149078465,high_duplicate,0.49028571428571427
pid_sideband,ridge,3,high_duplicate,4.604807224147622,low_duplicate,3.872419168052425,0.7323880560951972,high_duplicate,0.2914285714285714
pid_sideband,gradient_boosted_trees,3,high_duplicate,4.071835224783126,low_duplicate,3.4938057600975956,0.5780294646855308,high_duplicate,0.24457142857142858
pid_sideband,waveform_transformer,3,low_duplicate,7.011153608860037,central,6.477838525971935,0.5333150828881026,low_duplicate,0.4762456546929316
pid_sideband,mlp,3,high_duplicate,4.357373847914155,low_duplicate,4.31001100559804,0.047362842316115206,central,0.2508047210300429
pid_sideband,traditional_cfd_template_timewalk,3,low_duplicate,0.8444522219609412,central,0.8088409321953466,0.03561128976559458,central,0.0
pileup_separation_bin,waveform_transformer,4,late,29.90600078453668,mid,6.096909838880817,23.80909094565586,late,1.0
pileup_separation_bin,1d_cnn,4,late,25.95152734667861,mid,5.361291781402945,20.590235565275666,mid,0.40186125211505924
pileup_separation_bin,mlp,4,late,24.120470796669757,mid,3.98597222198633,20.134498574683427,late,1.0
pileup_separation_bin,edge_attention_cnn_new,4,late,18.530372590132593,none,6.11278854083701,12.417584049295584,mid,0.47292724196277497
pileup_separation_bin,gradient_boosted_trees,4,none,4.04973025523582,close,3.234073861686726,0.8156563935490944,late,0.3333333333333333
pileup_separation_bin,traditional_cfd_template_timewalk,4,close,0.879607366980433,late,0.5206599673030432,0.35894739967738976,close,0.0
pileup_separation_bin,ridge,4,none,4.1691945373684645,close,4.087996041790226,0.08119849557823855,late,0.6666666666666666
pulse_shape_class,waveform_transformer,3,late_tail,8.353242470619964,nominal,5.845592233563991,2.507650237055973,late_tail,0.4920808301474604
pulse_shape_class,edge_attention_cnn_new,3,compact,7.632203626566933,nominal,5.5487801088310995,2.0834235177358336,compact,0.49920508744038156
pulse_shape_class,1d_cnn,3,compact,6.374323472023329,nominal,4.656527403175164,1.7177960688481653,late_tail,0.4188967777170945
pulse_shape_class,gradient_boosted_trees,3,late_tail,4.63456592238084,nominal,3.1564053145782647,1.4781606078025757,late_tail,0.2818132168214091
pulse_shape_class,ridge,3,compact,4.660332183590341,nominal,3.5971828768373113,1.0631493067530293,late_tail,0.2976515565264883
pulse_shape_class,mlp,3,late_tail,4.739136753559599,nominal,3.7993451365376796,0.9397916170219194,late_tail,0.3233205898416166
pulse_shape_class,traditional_cfd_template_timewalk,3,nominal,0.8856763329247637,late_tail,0.7081309623058154,0.17754537061894826,compact,0.0
saturation_onset_bin,waveform_transformer,2,linear,6.865358474883831,near_saturation,6.304907110300343,0.5604513645834883,linear,0.4772151898734177
saturation_onset_bin,1d_cnn,2,linear,5.8111259483768025,near_saturation,5.255111370598536,0.5560145777782664,linear,0.3906329113924051
saturation_onset_bin,edge_attention_cnn_new,2,linear,6.45554494527441,near_saturation,6.046940186415451,0.4086047588589583,linear,0.4316455696202532
saturation_onset_bin,mlp,2,near_saturation,4.449532790353936,linear,4.284190241999923,0.16534254835401274,near_saturation,0.2598944591029024
saturation_onset_bin,traditional_cfd_template_timewalk,2,near_saturation,0.8772893438537404,linear,0.7579399716185327,0.1193493722352077,linear,0.0
saturation_onset_bin,gradient_boosted_trees,2,linear,3.7505628768882744,near_saturation,3.695278320662145,0.05528455622612949,near_saturation,0.20844327176781002
saturation_onset_bin,ridge,2,near_saturation,4.287630925638352,linear,4.280117959942231,0.007512965696120588,near_saturation,0.25065963060686014
