stratum,subset,definition,method,n,bias_frac,res68_frac,mae_mev,res68_ci95,bias_ci95,mae_mev_ci95
adc_saturation_onset,in_stratum,any_saturated,old_power_law,106217,-0.43264974661325023,0.4514886826499681,10.74809055102447,"[0.4461977578455021, 0.45612999829920614]","[-0.4369600072328358, -0.42707324092562554]","[10.598429091085206, 10.907515611330581]"
adc_saturation_onset,in_stratum,any_saturated,geant4_birks_lookup,106217,-0.04040286138300166,0.04849758577247676,1.2845669095942986,"[0.047483981104086324, 0.05084049655075616]","[-0.04180026200416902, -0.03959390974414935]","[1.1730660472282768, 1.5903473395386278]"
adc_saturation_onset,in_stratum,any_saturated,ridge,106217,-0.01942108437531994,0.049284733553066284,1.1910038322009058,"[0.047681992697438336, 0.05498509744988025]","[-0.024603651889012444, -0.0077881847363255735]","[1.069900125222596, 1.5823836995779867]"
adc_saturation_onset,in_stratum,any_saturated,gradient_boosted_trees,106217,-0.032871825594181864,0.04886444983537531,1.2979012686320783,"[0.04447536305301642, 0.054174068900857]","[-0.034711291511063586, -0.03113365868250714]","[1.1688584576054009, 1.5468591564110352]"
adc_saturation_onset,in_stratum,any_saturated,mlp,106217,-0.5954533457023865,0.6217079148890468,14.489931950566081,"[0.6151371415363645, 0.6291016992504735]","[-0.5988507848624465, -0.5907443033258543]","[14.252557664633228, 14.645832316448534]"
adc_saturation_onset,in_stratum,any_saturated,1d_cnn,106217,-0.04375935536993366,0.08346898260935205,2.0837675318922644,"[0.0752284070873159, 0.10115211052170882]","[-0.050915701009462536, -0.034309599787679695]","[1.8577215956699111, 2.5420607753077102]"
adc_saturation_onset,in_stratum,any_saturated,transformer,106217,0.0888325758923742,0.1153201915777189,2.5063938672875015,"[0.10780966132311286, 0.12752853237652045]","[0.08326042977080726, 0.09685182386238946]","[2.336802146869832, 2.892947307094461]"
adc_saturation_onset,in_stratum,any_saturated,physics_residual_mlp,106217,-0.005695235660785076,0.04522648391638037,1.0727313343300051,"[0.04205833515349383, 0.05209455050632608]","[-0.011079997472293126, 0.0035307594440399256]","[0.9629653633169306, 1.343690964471616]"
adc_saturation_onset,complement,any_saturated,old_power_law,226635,-0.06992081092910171,0.5675353665438522,6.5105513179755805,"[0.3957587939404061, 0.8134067915663022]","[-0.19048306261205872, 0.10088598929111178]","[6.114454403276402, 6.981366457937103]"
adc_saturation_onset,complement,any_saturated,geant4_birks_lookup,226635,-0.016697327129098678,0.033521464781308276,0.9877032705175862,"[0.032740185397264254, 0.03470211627473405]","[-0.01920283973472963, -0.01440945424511147]","[0.8142841988843704, 1.1992234115787057]"
