run,method,n,bias_frac,res68_frac,mae_mev
44,old_power_law,1911,-0.03900190618480932,0.6084803219681588,6.961935078370352
44,geant4_birks_lookup,1911,-0.016009789425381102,0.04366557622491936,1.1383764986254754
44,ridge,1911,-0.011722491390101656,0.1376663835193206,1.414477601106407
44,gradient_boosted_trees,1911,-0.0027248607382249425,0.06525236672031362,0.8913866225383268
44,mlp,1911,-0.46672125287173394,0.5946618667655779,7.230170713367805
44,1d_cnn,1911,-0.16959008915088253,0.2922613406824544,3.0974286712823145
44,transformer,1911,0.061685078703944754,0.1537739808125988,1.72659747002812
44,physics_residual_mlp,1911,-0.0028930477271422493,0.06707880519570045,0.9634602631678711
45,old_power_law,22999,-0.11235312625208334,0.4959724335312766,7.208754401001551
45,geant4_birks_lookup,22999,-0.01655946839131517,0.04481774655477042,1.1907520201056092
45,ridge,22999,-0.01696623568952301,0.12079809736423659,1.3688442264203444
45,gradient_boosted_trees,22999,-0.005727090209196714,0.06294697175989791,0.9015856663370497
45,mlp,22999,-0.4997734509624254,0.6059583529374825,7.835251480140335
45,1d_cnn,22999,-0.1584387195147036,0.28740043851469205,3.082225009460477
45,transformer,22999,0.0597497791570755,0.1448056245076141,1.7041017115691897
45,physics_residual_mlp,22999,-0.007859303981512735,0.0661700639654071,1.004582486819369
46,old_power_law,676,-0.07018025427558619,0.47654937856548685,6.38579466169846
46,geant4_birks_lookup,676,-0.01127704433722905,0.034423437526879944,0.8247892153907044
46,ridge,676,-0.052309880339289266,0.10914368613834127,1.1158295808878378
46,gradient_boosted_trees,676,0.007254595619139529,0.05235695483928488,0.7374136488510507
46,mlp,676,-0.5603347141425111,0.6310376660461512,8.07966288809862
46,1d_cnn,676,-0.2178468282864115,0.3107912742199681,3.159120560412237
46,transformer,676,0.020127378818008114,0.09039360700670504,1.2109786565846852
46,physics_residual_mlp,676,-0.026939610854294756,0.06284405393997616,0.7802975861526649
47,old_power_law,5160,-0.12700407516357318,0.4757251622227587,6.711857132044786
47,geant4_birks_lookup,5160,-0.01225782529658558,0.03679790856911235,0.8728905227917872
47,ridge,5160,-0.05288797332675704,0.10056916741249262,1.1278010683848068
47,gradient_boosted_trees,5160,0.0034423824534311896,0.05244576966897943,0.7513294304679103
47,mlp,5160,-0.567365631583181,0.623422413981481,8.419180684392517
47,1d_cnn,5160,-0.22084392809372672,0.30073754064969116,3.1161986062147164
47,transformer,5160,0.019459361080044833,0.09128962975745286,1.2763598438922186
47,physics_residual_mlp,5160,-0.028477540915069318,0.06008600840535437,0.8351938046040024
48,old_power_law,13175,0.05110967190628228,0.6498007897433824,6.6781500375236105
48,geant4_birks_lookup,13175,-0.014262596341095514,0.0425107907080153,1.1564626831336573
48,ridge,13175,-0.009225350259282658,0.1352387297128394,1.3630213264458573
48,gradient_boosted_trees,13175,0.00341753694361315,0.0641123496234941,0.833087417588578
48,mlp,13175,-0.460181407846525,0.592383369848977,6.775813640798176
48,1d_cnn,13175,-0.17064381402599368,0.29685276078102735,3.045587369054092
48,transformer,13175,0.06413186542722706,0.16017775033480028,1.684373210777663
48,physics_residual_mlp,13175,-0.0022737793335898854,0.06736835284744315,0.9606524714747382
49,old_power_law,13921,0.020131142882228847,0.6485443571477683,6.754968244568531
49,geant4_birks_lookup,13921,-0.014634146341463395,0.042711564977905334,1.153451841629979
49,ridge,13921,-0.01037907882475444,0.13332381197949186,1.3611377795655952
49,gradient_boosted_trees,13921,0.001210132956508636,0.062858252903265,0.8304445871397739
49,mlp,13921,-0.4648511230863627,0.5927550684495435,6.8654421263799135
49,1d_cnn,13921,-0.17638118270182188,0.29637617502995595,3.066406221731653
49,transformer,13921,0.06169604405305738,0.15904151684890191,1.6729922613861818
49,physics_residual_mlp,13921,-0.0028872889623355606,0.06905619588370318,0.9591500712023228
50,old_power_law,34254,-0.39667910455787736,0.4466195700076881,8.794896238353022
50,geant4_birks_lookup,34254,-0.030698849726009007,0.041934901066062416,0.9349486581144649
50,ridge,34254,-0.03551570870149788,0.06340550025667589,1.0721938313242714
50,gradient_boosted_trees,34254,-0.023994087803598654,0.04481346993038252,0.9424635766763287
50,mlp,34254,-0.5826109601856339,0.6165717566195876,12.094501042193476
50,1d_cnn,34254,-0.10277341443390606,0.2287268946972314,2.971365782706936
50,transformer,34254,0.05532092594587139,0.09156207822375996,1.6398483989230364
50,physics_residual_mlp,34254,-0.020564475736975535,0.04725820872388471,0.889780535988697
51,old_power_law,14294,-0.38008856009390934,0.44673216831310203,8.495996100508407
51,geant4_birks_lookup,14294,-0.028748818406576684,0.04178651657212351,0.9658901066232533
51,ridge,14294,-0.031380735210176765,0.06759946820269098,1.1178797722982734
51,gradient_boosted_trees,14294,-0.02122059895054096,0.045135656536146325,0.8955535976666495
51,mlp,14294,-0.5753027537709636,0.6147076586231754,11.33171671906333
51,1d_cnn,14294,-0.1069219595298859,0.2325754506886748,2.9751000189936034
51,transformer,14294,0.0586250923991006,0.09836683123458248,1.676294967631233
51,physics_residual_mlp,14294,-0.017094338051692075,0.04836659604830833,0.8980788755573829
52,old_power_law,6933,-0.3836845312390826,0.4464005996818484,8.5541550230224
52,geant4_birks_lookup,6933,-0.02947136121978145,0.04211362910590765,0.984504483341289
52,ridge,6933,-0.031668165787139026,0.06693699818558793,1.108883072024055
52,gradient_boosted_trees,6933,-0.021791819065182478,0.04483897415838575,0.9206185127135643
52,mlp,6933,-0.5790167784902938,0.6169333210834795,11.455454059704222
52,1d_cnn,6933,-0.10699394686049431,0.23185311150791663,2.974461357515241
52,transformer,6933,0.059177504873831686,0.09967991029322384,1.7002101843944262
52,physics_residual_mlp,6933,-0.017324087167162727,0.04848512908372574,0.9015339098469811
53,old_power_law,31382,-0.36717084872958167,0.41997408271641656,8.011704284538652
53,geant4_birks_lookup,31382,-0.03133958011652793,0.03884274125900108,0.7943303335721497
53,ridge,31382,-0.030028521768361245,0.06089360303438171,1.013352665167006
53,gradient_boosted_trees,31382,-0.019988338923264695,0.0340014782838525,0.7062566657894199
53,mlp,31382,-0.5664218072529672,0.5997644767477259,11.315670753540067
53,1d_cnn,31382,-0.1762432090049066,0.23892900823095253,3.144163283195103
53,transformer,31382,0.05200364877812512,0.09601450294641699,1.6135393822702637
53,physics_residual_mlp,31382,-0.0140097271364851,0.042122169922031896,0.780416201967599
54,old_power_law,29664,-0.3675748462207623,0.420137040761597,7.991799926475919
54,geant4_birks_lookup,29664,-0.03131424604877148,0.03864883259994556,0.7936389833725188
54,ridge,29664,-0.029705388676089167,0.06032472143203581,1.0059284187811768
54,gradient_boosted_trees,29664,-0.019981147849970175,0.034147178344101775,0.70263490147673
54,mlp,29664,-0.5672582397251329,0.5995039076537922,11.38646452320204
54,1d_cnn,29664,-0.17877456943451586,0.23923453179696225,3.1627271715063947
54,transformer,29664,0.052100073298178194,0.0960585760789249,1.6216827623571495
54,physics_residual_mlp,29664,-0.01361899588495434,0.04189185406892012,0.7754972055262189
55,old_power_law,16836,-0.37667838246926005,0.4417652811494438,8.377831159755921
55,geant4_birks_lookup,16836,-0.02835607305009298,0.04104964865616976,0.9333088546047354
55,ridge,16836,-0.03315030246879466,0.06800020257392944,1.1030619950365403
55,gradient_boosted_trees,16836,-0.02069483590124909,0.043076194080779874,0.8625378416605698
55,mlp,16836,-0.5773924717492245,0.6163732404261382,11.252500278065463
55,1d_cnn,16836,-0.11107301829108665,0.23693897330734695,2.961307789030845
55,transformer,16836,0.05862974068199337,0.09932311157586278,1.670018292421745
55,physics_residual_mlp,16836,-0.017579403834714,0.04840875236335358,0.8878411640418755
56,old_power_law,38925,-0.39302262628941753,0.44629623827818854,8.712977625181102
56,geant4_birks_lookup,38925,-0.028246499086718203,0.04111076784996156,0.9216230656097578
56,ridge,38925,-0.03814976101785413,0.06549975431543888,1.0980906510023012
56,gradient_boosted_trees,38925,-0.02226731746397347,0.04505293220368272,0.9399451906838144
56,mlp,38925,-0.5874638996177256,0.6255586516151519,12.051480385001252
56,1d_cnn,38925,-0.10921722039195599,0.23316801184517164,3.0411626896997834
56,transformer,38925,0.053245377014651936,0.09116921949348718,1.6250654059290623
56,physics_residual_mlp,38925,-0.02425917308458697,0.0497381374234048,0.9222596234236444
57,old_power_law,12928,0.03870409466509211,0.67178983582533,6.727455189404691
57,geant4_birks_lookup,12928,-0.014610989471741902,0.04212259266504666,1.128338482146188
57,ridge,12928,-0.006767789487171693,0.13536301174898388,1.354638137934472
57,gradient_boosted_trees,12928,0.001511937135335615,0.06338108024765236,0.8294969239085787
57,mlp,12928,-0.45492017839537774,0.5914163012349906,6.694179042470566
57,1d_cnn,12928,-0.17123099815585752,0.29746767293183457,3.039773389920026
57,transformer,12928,0.06541669348502945,0.1638740302343556,1.6734223789124651
57,physics_residual_mlp,12928,-0.0013777644413793299,0.06806374691204004,0.9534351617995891
58,old_power_law,15919,-0.010090762566226546,0.4649026889152026,5.617358076510891
58,geant4_birks_lookup,15919,-0.02496666172766343,0.03351413737570772,0.6067979690657366
58,ridge,15919,0.05787121929174936,0.11638911878920395,1.2798706549837127
