method,family,res68_frac,res68_ci_low,res68_ci_high,delta_vs_birks,delta_ci_conservative_low,delta_ci_conservative_high,beats_birks_ci
geant4_birks_lookup,traditional_geant4_birks,0.0402439783091376,0.03885442055147856,0.04166439307853137,0.0,-0.002809972527052812,0.002809972527052812,False
gradient_boosted_trees,ml_tree,0.0520384581370809,0.04407365786784419,0.0632146894582223,0.0117944798279433,0.0024092647893128177,0.02436026890674374,False
physics_residual_mlp,neural_physics_residual,0.0545188264198305,0.04880770366533209,0.06254275382030709,0.014274848110692906,0.007143310586800719,0.023688333268828535,False
ridge,ml_linear,0.0853888317548781,0.07438479562823815,0.11515744652807515,0.045144853445740506,0.032720402549706776,0.07630302597659659,False
transformer,neural_waveform_attention,0.1340584457823841,0.111358557220359,0.1710212142435038,0.09381446747324651,0.06969416414182764,0.13216679369202525,False
1d_cnn,neural_waveform,0.2468687512716806,0.23871004824723283,0.26205114603226426,0.206624772962543,0.19704565516870146,0.2231967254807857,False
old_power_law,traditional_empirical,0.4623578427082702,0.4457562519005668,0.5558938582674989,0.42211386439913257,0.4040918588220354,0.5170394377160203,False
mlp,neural_tabular,0.5993708209881664,0.5805660689352949,0.6106645566646908,0.5591268426790288,0.5389016758567635,0.5718101361132122,False
