method,s17b_truth_res68_frac,s14g_data_only_res68_frac,delta_res68_frac,s17b_truth_bias_frac,s14g_data_only_bias_frac,delta_bias_frac
geant4_birks_lookup,0.040243978309137673,0.040247678,-3.6996908623285196e-06,-0.02309863561869246,-0.0231054174,6.781781307540341e-06
gradient_boosted_trees,0.052038458137080926,0.0580915061,-0.006053047962919077,-0.014538019910980193,-0.0167978973,0.0022598773890198064
physics_residual_mlp,0.05451882641983056,0.058682585,-0.004163758580169444,-0.005220344679600293,-0.0145969604,0.009376615720399707
ridge,0.08538883175487814,0.0966917384,-0.01130290664512186,-0.017931881959828352,-0.0236552039,0.005723321940171649
1d_cnn,0.2468687512716806,0.1077539773,0.1391147739716806,-0.10881608319001759,-6.5609e-05,-0.1087504741900176
old_power_law,0.46235784270827024,0.462323774,3.406870827021846e-05,-0.2976285931210332,-0.2976044988,-2.409432103317455e-05
mlp,0.5993708209881664,0.1832730998,0.4160977211881664,-0.5240065793229212,0.0205958663,-0.5446024456229211
