model,candidate,inner_run_cv_auc,n_folds,outer_heldout_run,selected
ridge,alpha_0.1,0.4414549006245617,7,44,False
ridge,alpha_1,0.44226636835864847,7,44,True
ridge,alpha_10,0.4394217506479831,7,44,False
gradient_boosted_trees,depth2_lr0.05,0.4822279197834823,7,44,True
gradient_boosted_trees,depth2_lr0.10,0.4513367201709388,7,44,False
gradient_boosted_trees,depth3_lr0.05,0.47086966094599747,7,44,False
mlp,h24,0.6262884016709533,7,44,True
mlp,h48_16,0.562016489419979,7,44,False
ridge,alpha_0.1,0.46402353348471864,7,45,True
ridge,alpha_1,0.4609134072655074,7,45,False
ridge,alpha_10,0.4516082141582115,7,45,False
gradient_boosted_trees,depth2_lr0.05,0.3500175694573464,7,45,False
gradient_boosted_trees,depth2_lr0.10,0.3501706184072388,7,45,True
gradient_boosted_trees,depth3_lr0.05,0.3460169312387832,7,45,False
mlp,h24,0.5526912791510086,7,45,False
mlp,h48_16,0.5687456547060776,7,45,True
ridge,alpha_0.1,0.4400204946477394,7,46,False
ridge,alpha_1,0.43971096751437494,7,46,False
ridge,alpha_10,0.4427902254532004,7,46,True
gradient_boosted_trees,depth2_lr0.05,0.46975661457795986,7,46,True
gradient_boosted_trees,depth2_lr0.10,0.4477625575617662,7,46,False
gradient_boosted_trees,depth3_lr0.05,0.41881651232578493,7,46,False
mlp,h24,0.5316745229670745,7,46,False
mlp,h48_16,0.5402728706652029,7,46,True
ridge,alpha_0.1,0.368899635639341,7,47,False
ridge,alpha_1,0.3692399117657773,7,47,True
ridge,alpha_10,0.36544215345319797,7,47,False
gradient_boosted_trees,depth2_lr0.05,0.45321373542966903,7,47,False
gradient_boosted_trees,depth2_lr0.10,0.4540785616417434,7,47,True
gradient_boosted_trees,depth3_lr0.05,0.45027757780883204,7,47,False
mlp,h24,0.5015254512727567,7,47,False
mlp,h48_16,0.5025506421583723,7,47,True
ridge,alpha_0.1,0.4951536300265521,7,48,True
ridge,alpha_1,0.493251037005538,7,48,False
ridge,alpha_10,0.489339946529974,7,48,False
gradient_boosted_trees,depth2_lr0.05,0.3754822005030749,7,48,False
gradient_boosted_trees,depth2_lr0.10,0.35489717083530253,7,48,False
gradient_boosted_trees,depth3_lr0.05,0.41335484330471,7,48,True
mlp,h24,0.49582069028073084,7,48,False
mlp,h48_16,0.5688124704090797,7,48,True
ridge,alpha_0.1,0.3894582306474697,7,49,False
ridge,alpha_1,0.3908019042709053,7,49,False
ridge,alpha_10,0.39477751020217816,7,49,True
gradient_boosted_trees,depth2_lr0.05,0.44361244153273327,7,49,False
gradient_boosted_trees,depth2_lr0.10,0.4366754270037777,7,49,False
gradient_boosted_trees,depth3_lr0.05,0.4515409979230113,7,49,True
mlp,h24,0.5346835822865244,7,49,True
mlp,h48_16,0.5339962950706346,7,49,False
ridge,alpha_0.1,0.4527156714487267,8,50,False
ridge,alpha_1,0.45316498765867286,8,50,True
ridge,alpha_10,0.4494675620007822,8,50,False
gradient_boosted_trees,depth2_lr0.05,0.4913314507138079,8,50,False
gradient_boosted_trees,depth2_lr0.10,0.5028147436815431,8,50,True
gradient_boosted_trees,depth3_lr0.05,0.4901693931467541,8,50,False
mlp,h24,0.532809336950781,8,50,True
mlp,h48_16,0.5223190111579952,8,50,False
ridge,alpha_0.1,0.45194449834522377,8,51,True
ridge,alpha_1,0.45099409869005436,8,51,False
ridge,alpha_10,0.44798797613818453,8,51,False
gradient_boosted_trees,depth2_lr0.05,0.47586421160864933,8,51,False
gradient_boosted_trees,depth2_lr0.10,0.46109712198810565,8,51,False
gradient_boosted_trees,depth3_lr0.05,0.49184172823815964,8,51,True
mlp,h24,0.5194444805336844,8,51,False
mlp,h48_16,0.5328804333634788,8,51,True
ridge,alpha_0.1,0.46172246087004487,8,52,False
ridge,alpha_1,0.4617277656034442,8,52,True
ridge,alpha_10,0.4554314468924389,8,52,False
gradient_boosted_trees,depth2_lr0.05,0.4800617237272865,8,52,False
gradient_boosted_trees,depth2_lr0.10,0.4398856378988635,8,52,False
gradient_boosted_trees,depth3_lr0.05,0.4972586165382014,8,52,True
mlp,h24,0.5091259711480451,8,52,False
mlp,h48_16,0.5420277138930322,8,52,True
ridge,alpha_0.1,0.461372805749092,8,53,False
ridge,alpha_1,0.4615081887375696,8,53,True
ridge,alpha_10,0.4579851146180292,8,53,False
gradient_boosted_trees,depth2_lr0.05,0.4503381259583328,8,53,False
gradient_boosted_trees,depth2_lr0.10,0.47028090580429976,8,53,False
gradient_boosted_trees,depth3_lr0.05,0.500784855388826,8,53,True
mlp,h24,0.5558445972149157,8,53,False
mlp,h48_16,0.5936039965609512,8,53,True
ridge,alpha_0.1,0.45221159460569343,8,54,False
ridge,alpha_1,0.4522117293498463,8,54,True
ridge,alpha_10,0.4468198512604725,8,54,False
gradient_boosted_trees,depth2_lr0.05,0.4943460464796764,8,54,False
gradient_boosted_trees,depth2_lr0.10,0.4785068613927925,8,54,False
gradient_boosted_trees,depth3_lr0.05,0.514801016631785,8,54,True
mlp,h24,0.52916201323743,8,54,False
mlp,h48_16,0.590008921470005,8,54,True
ridge,alpha_0.1,0.4560659674799122,8,55,False
ridge,alpha_1,0.45612153474495176,8,55,True
ridge,alpha_10,0.45343154289557974,8,55,False
gradient_boosted_trees,depth2_lr0.05,0.49726775585312327,8,55,True
gradient_boosted_trees,depth2_lr0.10,0.4729392938361387,8,55,False
gradient_boosted_trees,depth3_lr0.05,0.4953278836437925,8,55,False
mlp,h24,0.5421587449866903,8,55,False
mlp,h48_16,0.548819623738334,8,55,True
ridge,alpha_0.1,0.511251529169651,7,56,True
ridge,alpha_1,0.5107869282070688,7,56,False
ridge,alpha_10,0.5021477544583516,7,56,False
gradient_boosted_trees,depth2_lr0.05,0.5224174070608699,7,56,False
gradient_boosted_trees,depth2_lr0.10,0.48095565475447033,7,56,False
gradient_boosted_trees,depth3_lr0.05,0.5323804708457612,7,56,True
mlp,h24,0.5394439122794602,7,56,True
mlp,h48_16,0.49871439597273554,7,56,False
ridge,alpha_0.1,0.49461040585488875,7,57,False
ridge,alpha_1,0.49529526719403166,7,57,False
ridge,alpha_10,0.5032751828876431,7,57,True
gradient_boosted_trees,depth2_lr0.05,0.5181220500444139,7,57,False
gradient_boosted_trees,depth2_lr0.10,0.49927980002721,7,57,False
gradient_boosted_trees,depth3_lr0.05,0.5843404916275384,7,57,True
mlp,h24,0.5088189986623762,7,57,True
mlp,h48_16,0.47996154950993064,7,57,False
