method,pid_proxy,pedestal_bin,pileup_bin,n_pair_residuals,timing_sigma68_ns,ci_low,ci_high
trapezoid_template,low_dE_proxy,0,mild_pileup,90,2.391440027779513,2.0232176780700684,2.5847132956183865
trapezoid_template,mid_dE_proxy,0,mild_pileup,297,2.550114946911757,2.023217678070065,2.8310718023086174
ridge,low_dE_proxy,0,mild_pileup,90,1.6105699186038265,1.2478390370000376,2.0633077777543747
ridge,mid_dE_proxy,0,mild_pileup,297,1.5449341569099795,1.3260319290361373,1.641877152200013
gradient_boosted_trees,low_dE_proxy,0,mild_pileup,90,1.0421401706719904,0.9857278233039892,1.289422871898445
gradient_boosted_trees,mid_dE_proxy,0,mild_pileup,297,1.4591490390980728,1.2589217564405786,1.6640200164506123
mlp,low_dE_proxy,0,mild_pileup,90,1.1752796473645595,1.0737178443728654,1.2232491358378372
mlp,mid_dE_proxy,0,mild_pileup,297,1.5421306869261584,1.3683815935403842,1.8286645474378993
cnn_1d,low_dE_proxy,0,mild_pileup,90,1.33309698152542,1.191427884674072,1.3916014406680877
cnn_1d,mid_dE_proxy,0,mild_pileup,297,1.6220606756210325,1.4842981110898534,1.7540222334958706
shape_residual_fusion,low_dE_proxy,0,mild_pileup,90,1.1010201531733765,0.9621527800846188,1.345747057853411
shape_residual_fusion,mid_dE_proxy,0,mild_pileup,297,1.3898589806115669,1.2534752776502611,1.5118860820447502
