fold,test_runs,train_n,test_n,q_selected_column,q_retention_quantile,q_threshold
1,"31,44,52,58,61",7920,1977,q_all_max,0.55,0.0930697372404066
2,"32,35,49,50,53,59",7914,1983,q_all_max,0.55,0.08925453520323336
3,"34,39,42,47,51,62,65",7910,1987,q_all_max,0.6,0.10153031071702065
4,"36,40,41,45,54,60",7922,1975,q_all_max,0.6,0.10433694938576306
5,"33,37,48,55,56,57,63,64",7922,1975,q_all_max,0.6,0.09823210446508092
