fold,low_run,high_run,method,n_matched_events,low_events,high_events,high_minus_low_score,current_family_auc,current_family_ap,low_gross_events,high_gross_events
holdout_low58_high60,58,60,traditional_curvature,102,51,51,-0.00026043354751798583,0.4728950403690888,0.5002398817345004,0,0
holdout_low58_high60,58,60,ml_waveform_rf,102,51,51,-0.11535021488295627,0.3902345251826221,0.45709568885086266,0,0
holdout_low58_high60,58,60,shuffled_label_rf,102,51,51,0.04444995748999625,0.6282199154171473,0.6182284184670673,0,0
holdout_low58_high61,58,61,traditional_curvature,128,64,64,0.018060553417862557,0.47216796875,0.5147683465384605,0,1
holdout_low58_high61,58,61,ml_waveform_rf,128,64,64,-0.12057363972115731,0.386962890625,0.46061893394323083,0,1
holdout_low58_high61,58,61,shuffled_label_rf,128,64,64,0.014281029890490127,0.5458984375,0.5503439999369079,0,1
holdout_low58_high62,58,62,traditional_curvature,128,64,64,-0.012903247481157497,0.512451171875,0.5153456365864697,0,0
holdout_low58_high62,58,62,ml_waveform_rf,128,64,64,-0.0986588381432707,0.391357421875,0.43308489334547234,0,0
holdout_low58_high62,58,62,shuffled_label_rf,128,64,64,-0.023749676875576886,0.4580078125,0.47959851618763927,0,0
holdout_low65_high60,65,60,traditional_curvature,110,55,55,0.03215997982127648,0.48462809917355365,0.5152262139869067,0,1
holdout_low65_high60,65,60,ml_waveform_rf,110,55,55,-0.07738526682869656,0.38776859504132233,0.493128196356107,0,1
holdout_low65_high60,65,60,shuffled_label_rf,110,55,55,-0.002722764876600392,0.45851239669421484,0.5174941925005782,0,1
holdout_low65_high61,65,61,traditional_curvature,110,55,55,0.017308947167835348,0.47801652892561985,0.4924143967735334,0,1
holdout_low65_high61,65,61,ml_waveform_rf,110,55,55,-0.09166114020266286,0.395702479338843,0.43772562563887685,0,1
holdout_low65_high61,65,61,shuffled_label_rf,110,55,55,-0.01324496016544921,0.45851239669421484,0.48115156917889057,0,1
holdout_low65_high62,65,62,traditional_curvature,110,55,55,0.0004638399094934473,0.5616528925619835,0.551369693217346,0,0
holdout_low65_high62,65,62,ml_waveform_rf,110,55,55,-0.06164616362815378,0.4009917355371901,0.47389690482263375,0,0
holdout_low65_high62,65,62,shuffled_label_rf,110,55,55,-0.00698775572981597,0.4905785123966942,0.5140846685180562,0,0
