event_key,run,eventno,run_family,d_t_ns,abs_c_t_ns,clean_label,gross_label,event_max_amp,b2_amp,event_charge,fold,family_label,traditional_curvature_tail_score,ml_waveform_tail_score,shuffled_label_tail_score
60:488882:2450:99870,60,488882,high_all_three_rate,3.8855809273596265,6.854605656787037,0,0,4056.5,2443.5,95565.0,holdout_low58_high60,1,0.008807034666497274,0.03253190562197823,0.286552309221053
60:495316:8383:106304,60,495316,high_all_three_rate,5.937060127115025,3.4355486884110533,0,0,4676.5,3254.5,120207.0,holdout_low58_high60,1,0.004657360790606787,0.07273329095979666,0.1970884372993754
60:469806:976:80794,60,469806,high_all_three_rate,2.156315780466514,3.293772987967195,1,0,5335.5,2627.0,95684.5,holdout_low58_high60,1,0.004535701009599066,0.3481482409208876,0.2682311965771426
60:485850:15958:96838,60,485850,high_all_three_rate,7.338531571218795,10.754879763106096,0,0,3973.0,2922.5,86948.5,holdout_low58_high60,1,0.018131235421068054,0.5022669369786753,0.060119012913228215
60:492231:5532:103219,60,492231,high_all_three_rate,2.9999126773342297,2.1662937113245206,1,0,3591.0,2467.0,80765.0,holdout_low58_high60,1,0.0036743421236207024,0.0017195767195767196,0.20627353366848672
60:477004:7691:87992,60,477004,high_all_three_rate,6.2517785969013175,7.132468758428487,0,0,2781.5,2044.0,62552.5,holdout_low58_high60,1,0.009273824484495754,0.47600424941045105,0.11291946295558183
58:392294:10722:3348,58,392294,low_all_three_rate_edge,4.967859348087487,6.345190185520195,0,0,2771.5,1852.5,53296.5,holdout_low58_high60,0,0.008010934981544097,0.42239429296515224,0.09532002681879116
60:474600:5462:85588,60,474600,high_all_three_rate,2.534607494084188,0.5488043735742529,1,0,2560.5,1962.0,46636.5,holdout_low58_high60,1,0.0027154539190549693,0.0031282209853638423,0.22375099785783076
58:406604:7705:17619,58,406604,low_all_three_rate_edge,1.118874284210662,1.734704881262111,1,0,4722.0,4722.0,126259.0,holdout_low58_high60,0,0.00338959649764617,0.10190391465042761,0.17428180721733638
58:418054:2008:29056,58,418054,low_all_three_rate_edge,5.754585857612582,5.285679723882382,0,0,5543.5,5543.5,109922.0,holdout_low58_high60,0,0.00657668011251405,0.5598005634863947,0.052128651397774006
58:416328:373:27330,58,416328,low_all_three_rate_edge,6.995621477472923,9.723625963254825,0,0,6220.0,6220.0,176139.0,holdout_low58_high60,0,0.014990363523752293,0.08630281279605309,0.3202739312217356
60:466856:14602:77844,60,466856,high_all_three_rate,5.2836764876266855,5.959600960415237,0,0,4106.0,3463.5,116065.0,holdout_low58_high60,1,0.007456195352296083,0.13792866506048046,0.12638802652760336
58:409157:10061:20168,58,409157,low_all_three_rate_edge,7.085679495221569,2.260308190596703,0,0,3209.0,2916.0,87059.0,holdout_low58_high60,0,0.003739463424407913,0.1000251602938203,0.293018919872891
58:391631:10103:2692,58,391631,low_all_three_rate_edge,4.0725850846936,4.393645038008664,0,0,7540.0,7540.0,149596.0,holdout_low58_high60,0,0.005569099863074306,0.15905268843538273,0.08004188933341078
58:392636:11042:3687,58,392636,low_all_three_rate_edge,7.036826736577353,8.131817066604171,0,0,4675.5,3946.5,117041.0,holdout_low58_high60,0,0.011164331348676157,0.5218953051373313,0.05133374301850625
58:406766:7856:17781,58,406766,low_all_three_rate_edge,5.20619789165265,4.66088938489834,0,0,3310.0,2595.0,74782.5,holdout_low58_high60,0,0.005853686709573999,0.7531753005303284,0.04053100700612587
58:392204:10642:3261,58,392204,low_all_three_rate_edge,5.036936657211463,5.160806749201065,0,0,3628.0,2897.5,100462.0,holdout_low58_high60,0,0.006425414275104016,0.08913701644131787,0.07876980187253829
60:481074:11502:92062,60,481074,high_all_three_rate,4.261003193989687,4.66916983365028,0,0,3728.0,2297.0,80373.0,holdout_low58_high60,1,0.0058627317003651334,0.07145717591667461,0.17357676539267633
58:404302:5557:15320,58,404302,low_all_three_rate_edge,4.878201604217907,6.586406384374214,0,0,3804.0,3804.0,91414.5,holdout_low58_high60,0,0.008378587928885007,0.20828604450788352,0.05504238349311668
60:498060:10918:109048,60,498060,high_all_three_rate,2.9602839994144574,4.202510182817122,1,0,3022.0,3022.0,63065.5,holdout_low58_high60,1,0.005374041536698759,0.701931205470681,0.05890587127574698
60:483932:14177:94920,60,483932,high_all_three_rate,4.735342030507432,3.9276409243405013,0,0,3145.5,3145.5,64299.5,holdout_low58_high60,1,0.005105384288247036,0.4474107473286904,0.13175096242125764
58:402594:3966:13616,58,402594,low_all_three_rate_edge,4.835515363143742,6.01752537134675,0,0,4135.5,3154.5,91665.0,holdout_low58_high60,0,0.00753702964516316,0.6902977561822565,0.09824456262211002
