method,n,bias,res68,mae,res68_ci95,bias_ci95,mae_ci95,timing_residual_res68,timing_residual_res68_ci95,shape_error_mae,shape_error_mae_ci95,energy_proxy_bias,energy_proxy_bias_ci95,saturation_sensitivity,pid_leakage_abs_delta,saturation_sensitivity_ci95,pid_leakage_abs_delta_ci95
mlp,167683,0.0029205530881881714,0.015900329399108886,0.05206427791218026,"[0.014162061414122578, 0.01841149074018001]","[0.0016701180413365266, 0.003975319374352687]","[0.041845816205733063, 0.0629174083976873]",0.015900329399108886,"[0.014162061414122578, 0.01841149074018001]",0.05206427791218026,"[0.041845816205733063, 0.0629174083976873]",0.0029205530881881714,"[0.0016701180413365266, 0.003975319374352687]",-0.003943639445304884,0.0002933198421953725,"[-0.006478132280707365, -0.001570100305080422]","[9.540268001363276e-05, 0.004695781394522311]"
traditional_clipped_template,167683,0.0011627489017526915,0.02996081570576483,0.14102418320441867,"[0.027511029857142204, 0.03303475614542952]","[-0.00017297738323740277, 0.0025326164483023828]","[0.11116764640502595, 0.17108123335358097]",0.02996081570576483,"[0.027511029857142204, 0.03303475614542952]",0.14102418320441867,"[0.11116764640502595, 0.17108123335358097]",0.0011627489017526915,"[-0.00017297738323740277, 0.0025326164483023828]",0.006718811711521607,0.13576779551077295,"[0.004167043527646669, 0.00912676011949084]","[0.10075940343985122, 0.1810730158397414]"
gradient_boosted_trees,167683,-0.013694568683334463,0.03320675386353347,0.07831394675086449,"[0.02984716186433946, 0.037954409174035676]","[-0.015822824996310908, -0.011690478889581852]","[0.06222091537900172, 0.0948179139665819]",0.03320675386353347,"[0.02984716186433946, 0.037954409174035676]",0.07831394675086449,"[0.06222091537900172, 0.0948179139665819]",-0.013694568683334463,"[-0.015822824996310908, -0.011690478889581852]",-0.0076905189442868956,0.03846727915971529,"[-0.009949897170462317, -0.004778400032789632]","[0.03111906014894034, 0.04709929246409914]"
1d_cnn,167683,-0.009512400925159453,0.038576413679122935,0.09426641468993771,"[0.0352931073100865, 0.042278885729908955]","[-0.010568653196096433, -0.008108760748058566]","[0.07738540283465561, 0.11061839473359782]",0.038576413679122935,"[0.0352931073100865, 0.042278885729908955]",0.09426641468993771,"[0.07738540283465561, 0.11061839473359782]",-0.009512400925159453,"[-0.010568653196096433, -0.008108760748058566]",-0.005445827937126169,0.008167235471931605,"[-0.0075312907320260886, -0.0025156372708082324]","[0.0009242772945742822, 0.018491375662398397]"
charge_tail_integration,167683,0.003826810714412876,0.04825985288238408,0.2057112553835769,"[0.04355560229268362, 0.053582388067677574]","[-0.0055180851850210825, 0.012641397166535888]","[0.1541255282490798, 0.25526635116998736]",0.04825985288238408,"[0.04355560229268362, 0.053582388067677574]",0.2057112553835769,"[0.1541255282490798, 0.25526635116998736]",0.003826810714412876,"[-0.0055180851850210825, 0.012641397166535888]",0.0036826242521949618,0.08369526073015017,"[-0.004946554592252249, 0.010729161055718663]","[0.03614432441657053, 0.1395698705724507]"
birks_huber_saturation,167683,-0.008352274082154026,0.050402002445170103,0.23515074856612886,"[0.04308824944601026, 0.058156388811403996]","[-0.014149162394341091, -0.0039765794816713305]","[0.17567817150905077, 0.3021244214861927]",0.050402002445170103,"[0.04308824944601026, 0.058156388811403996]",0.23515074856612886,"[0.17567817150905077, 0.3021244214861927]",-0.008352274082154026,"[-0.014149162394341091, -0.0039765794816713305]",-0.02088458705113634,0.1119559959230345,"[-0.025938007602366194, -0.014584492327451468]","[0.05545952486055529, 0.17648175816328487]"
gated_residual_cnn,167683,0.022718124091625214,0.062069056463241574,0.11352905378126552,"[0.05279361670196057, 0.07380660544693472]","[0.02040526939183473, 0.026324028000235544]","[0.09090577171366793, 0.13554186987700267]",0.062069056463241574,"[0.05279361670196057, 0.07380660544693472]",0.11352905378126552,"[0.09090577171366793, 0.13554186987700267]",0.022718124091625214,"[0.02040526939183473, 0.026324028000235544]",-0.033494526243209824,0.012074091793489746,"[-0.04152493171274664, -0.025008645605444954]","[0.005302258461850228, 0.020323761515633566]"
waveform_transformer,167683,0.04038924038410187,0.0730860678911209,0.10951717472852107,"[0.0667771150121093, 0.08059666297584772]","[0.03756075784564017, 0.043359984844923025]","[0.09213072729095051, 0.12504913034804818]",0.0730860678911209,"[0.0667771150121093, 0.08059666297584772]",0.10951717472852107,"[0.09213072729095051, 0.12504913034804818]",0.04038924038410187,"[0.03756075784564017, 0.043359984844923025]",-0.03366296371221543,0.014204794326102641,"[-0.03852421011030675, -0.02878286312520505]","[0.005546264979031659, 0.025055794130937656]"
ridge,167683,0.018039359642451847,0.16362470733955597,0.2105512580603239,"[0.13384319840125594, 0.20764489538537206]","[0.004502312697528382, 0.033863064859206364]","[0.17467821138023276, 0.24780456005356713]",0.16362470733955597,"[0.13384319840125594, 0.20764489538537206]",0.2105512580603239,"[0.17467821138023276, 0.24780456005356713]",0.018039359642451847,"[0.004502312697528382, 0.033863064859206364]",-0.07197391320287805,0.043305191469499245,"[-0.11266641639221794, -0.04146807107012613]","[0.019776802244391496, 0.05951352336988702]"
